Latitude,Longitude,Elevation
39.01819000,-77.2456300,53.0
39.01814000,-77.2456900,53.0
39.01808000,-77.2456900,53.0
39.01798000,-77.2460500,58.0
39.01752000,-77.2461300,62.0
39.01719000,-77.2462900,62.0
39.01670000,-77.2464600,61.0
39.01666000,-77.2465100,62.0
39.01647000,-77.2465300,62.0
39.01633000,-77.2465700,62.0
39.01629000,-77.2465900,62.0
39.01617000,-77.2466200,61.0
39.01610000,-77.2466400,61.0
39.01602000,-77.2466700,61.0
39.01580000,-77.2467200,59.0
39.01562000,-77.2467900,58.0
39.01537000,-77.2468200,55.0
39.01532000,-77.2468400,55.0
39.01522000,-77.2469100,55.0
39.01489000,-77.2471000,54.0
39.01433000,-77.2477300,58.0
39.01419000,-77.2479400,59.0
39.01380000,-77.2484100,63.0
39.01371000,-77.2485600,64.0
39.01365000,-77.2487200,65.0
39.01360000,-77.2490900,63.0
39.01356000,-77.2494100,65.0
39.01352000,-77.2494900,65.0
39.01344000,-77.2496700,66.0
39.01329000,-77.2498600,66.0
39.01310000,-77.2501400,68.0
39.01266000,-77.2506500,62.0
39.01260000,-77.2507100,61.0
39.01247000,-77.2507700,60.0
39.01236000,-77.2508500,62.0
39.01213000,-77.2510500,62.0
39.01205000,-77.2511700,64.0
39.01198000,-77.2512200,65.0
39.01185000,-77.2513400,59.0
39.01172000,-77.2514200,53.0
39.01145000,-77.2516500,52.0
39.01139000,-77.2516800,49.0
39.01131000,-77.2517300,51.0
39.01121000,-77.2517600,50.0
39.01105000,-77.2518400,48.0
39.01088000,-77.2520700,49.0
39.01077000,-77.2521900,48.0
39.01069000,-77.2522400,49.0
39.01046000,-77.2523900,53.0
39.01025000,-77.2525900,53.0
39.01017000,-77.2526400,57.0
39.00975000,-77.2529600,62.0
39.00962000,-77.2530400,60.0
39.00939000,-77.2532600,61.0
39.00929000,-77.2533300,63.0
39.00922000,-77.2533600,61.0
39.00914000,-77.2534100,60.0
39.00900000,-77.2534500,56.0
39.00889000,-77.2534800,54.0
39.00855000,-77.2536900,60.0
39.00837000,-77.2537600,58.0
39.00827000,-77.2538300,62.0
39.00811000,-77.2539000,66.0
39.00798000,-77.2539600,62.0
39.00791000,-77.2540100,61.0
39.00767000,-77.2540700,56.0
39.00743000,-77.2542700,59.0
39.00737000,-77.2543500,59.0
39.00726000,-77.2544400,58.0
39.00699000,-77.2545500,58.0
39.00683000,-77.2546400,60.0
39.00671000,-77.2546900,60.0
39.00652000,-77.2548600,62.0
39.00639000,-77.2549000,60.0
39.00624000,-77.2549500,57.0
39.00591000,-77.2551100,53.0
39.00553000,-77.2552800,53.0
39.00530000,-77.2554200,58.0
39.00522000,-77.2554600,59.0
39.00514000,-77.2555200,61.0
39.00505000,-77.2555600,62.0
39.00491000,-77.2556000,61.0
39.00484000,-77.2556100,60.0
39.00438000,-77.2557200,56.0
39.00397000,-77.2557600,55.0
39.00387000,-77.2557900,55.0
39.00355000,-77.2558100,54.0
39.00337000,-77.2558400,54.0
39.00316000,-77.2558600,53.0
39.00305000,-77.2558900,53.0
39.00298000,-77.2559000,51.0
39.00290000,-77.2558700,48.0
39.00283000,-77.2558700,46.0
39.00266000,-77.2558700,45.0
39.00255000,-77.2559000,45.0
39.00245000,-77.2559300,46.0
39.00224000,-77.2559400,47.0
39.00206000,-77.2559500,44.0
39.00198000,-77.2559400,42.0
39.00181000,-77.2559300,42.0
39.00173000,-77.2559300,42.0
39.00119000,-77.2559200,44.0
39.00085000,-77.2559700,45.0
39.00069000,-77.2560500,50.0
39.00048000,-77.2561200,54.0
39.00012000,-77.2561100,54.0
38.99995000,-77.2561000,54.0
38.99982000,-77.2560800,54.0
38.99969000,-77.2559600,53.0
38.99958000,-77.2558800,51.0
38.99936000,-77.2557100,46.0
38.99897000,-77.2553800,44.0
38.99866000,-77.2552200,42.0
38.99814000,-77.2548700,42.0
38.99778000,-77.2546500,42.0
38.99726000,-77.2546100,50.0
38.99721000,-77.2545900,50.0
38.99714000,-77.2545600,50.0
38.99685000,-77.2545300,49.0
38.99665000,-77.2545100,49.0
38.99647000,-77.2545200,49.0
38.99641000,-77.2543300,47.0
38.99639000,-77.2541000,44.0
38.99637000,-77.2539200,39.0
38.99638000,-77.2537300,39.0
38.99635000,-77.2538500,39.0
38.99635000,-77.2539500,40.0
38.99637000,-77.2541800,47.0
38.99638000,-77.2544600,49.0
38.99650000,-77.2544700,49.0
38.99670000,-77.2544800,49.0
38.99701000,-77.2545000,49.0
38.99711000,-77.2545200,49.0
38.99717000,-77.2545500,50.0
38.99767000,-77.2545600,43.0
38.99804000,-77.2547300,42.0
38.99856000,-77.2550900,42.0
38.99886000,-77.2552500,42.0
38.99924000,-77.2555700,42.0
38.99946000,-77.2557500,48.0
38.99956000,-77.2558200,51.0
38.99969000,-77.2559600,53.0
38.99982000,-77.2560300,53.0
38.99995000,-77.2560700,53.0
39.00000000,-77.2560900,53.0
39.00035000,-77.2561300,54.0
39.00057000,-77.2561200,53.0
39.00073000,-77.2560800,50.0
39.00104000,-77.2560000,46.0
39.00109000,-77.2559500,44.0
39.00162000,-77.2559300,42.0
39.00169000,-77.2559300,42.0
39.00186000,-77.2559300,42.0
39.00193000,-77.2559500,42.0
39.00210000,-77.2559500,45.0
39.00231000,-77.2559500,47.0
39.00241000,-77.2559300,46.0
39.00251000,-77.2559100,46.0
39.00269000,-77.2558800,45.0
39.00277000,-77.2558800,45.0
39.00285000,-77.2559200,48.0
39.00292000,-77.2559200,50.0
39.00303000,-77.2559000,52.0
39.00324000,-77.2558900,54.0
39.00342000,-77.2558700,54.0
39.00376000,-77.2558700,55.0
39.00386000,-77.2558500,55.0
39.00426000,-77.2558400,57.0
39.00472000,-77.2557200,60.0
39.00479000,-77.2557000,61.0
39.00492000,-77.2556700,63.0
39.00502000,-77.2556300,64.0
39.00511000,-77.2555800,63.0
39.00518000,-77.2555400,62.0
39.00540000,-77.2554400,59.0
39.00578000,-77.2552700,54.0
39.00611000,-77.2550600,56.0
39.00626000,-77.2550100,59.0
39.00639000,-77.2549700,62.0
39.00658000,-77.2548200,62.0
39.00669000,-77.2547700,63.0
39.00685000,-77.2546900,62.0
39.00712000,-77.2545800,62.0
39.00726000,-77.2544900,61.0
39.00731000,-77.2544200,59.0
39.00753000,-77.2542200,59.0
39.00779000,-77.2541400,63.0
39.00785000,-77.2540800,61.0
39.00797000,-77.2540200,64.0
39.00814000,-77.2539600,67.0
39.00824000,-77.2539000,66.0
39.00841000,-77.2538400,63.0
39.00876000,-77.2536100,60.0
39.00887000,-77.2535600,57.0
39.00901000,-77.2535200,59.0
39.00910000,-77.2534600,60.0
39.00917000,-77.2534300,62.0
39.00926000,-77.2533900,63.0
39.00949000,-77.2531800,60.0
39.00962000,-77.2531000,63.0
39.01005000,-77.2527600,67.0
39.01013000,-77.2527100,62.0
39.01032000,-77.2525400,52.0
39.01057000,-77.2523600,54.0
39.01064000,-77.2523000,52.0
39.01074000,-77.2522200,48.0
39.01091000,-77.2519800,48.0
39.01107000,-77.2518800,48.0
39.01118000,-77.2518400,51.0
39.01127000,-77.2517800,52.0
39.01132000,-77.2517600,53.0
39.01158000,-77.2515700,58.0
39.01171000,-77.2514800,57.0
39.01185000,-77.2513400,59.0
39.01193000,-77.2512900,64.0
39.01200000,-77.2512000,65.0
39.01222000,-77.2509800,62.0
39.01234000,-77.2508900,62.0
39.01248000,-77.2508200,61.0
39.01254000,-77.2507600,61.0
39.01297000,-77.2502600,66.0
39.01315000,-77.2499800,66.0
39.01331000,-77.2497900,65.0
39.01341000,-77.2496000,64.0
39.01345000,-77.2495200,64.0
39.01349000,-77.2492000,62.0
39.01354000,-77.2488400,62.0
39.01359000,-77.2486700,64.0
39.01368000,-77.2485200,62.0
39.01407000,-77.2480400,59.0
39.01422000,-77.2478300,56.0
39.01478000,-77.2472200,52.0
39.01510000,-77.2470300,55.0
39.01522000,-77.2469300,55.0
39.01526000,-77.2469000,55.0
39.01548000,-77.2468900,58.0
39.01565000,-77.2468400,60.0
39.01590000,-77.2467700,61.0
39.01597000,-77.2467400,61.0
39.01604000,-77.2467000,61.0
39.01616000,-77.2466800,62.0
39.01621000,-77.2466600,62.0
39.01633000,-77.2466200,62.0
39.01655000,-77.2466000,64.0
39.01660000,-77.2465800,64.0
39.01708000,-77.2464300,63.0
39.01742000,-77.2462600,64.0
39.01788000,-77.2461600,60.0
39.01799000,-77.2458200,55.0
39.01802000,-77.2457600,54.0
39.01810000,-77.2457100,54.0
39.01819000,-77.2456300,53.0
