Latitude,Longitude,Elevation
37.70728000,-79.8934200,367.0
37.70712000,-79.8931900,366.0
37.70721000,-79.8931700,365.0
37.70726000,-79.8931900,365.0
37.70730000,-79.8932300,366.0
37.70734000,-79.8932600,366.0
37.70739000,-79.8932600,366.0
37.70742000,-79.8932100,365.0
37.70746000,-79.8931900,365.0
37.70750000,-79.8931500,365.0
37.70756000,-79.8931200,365.0
37.70761000,-79.8931400,365.0
37.70766000,-79.8931700,365.0
37.70770000,-79.8931900,365.0
37.70774000,-79.8932100,365.0
37.70778000,-79.8932500,366.0
37.70784000,-79.8932600,366.0
37.70789000,-79.8932600,366.0
37.70793000,-79.8932700,367.0
37.70798000,-79.8932800,367.0
37.70799000,-79.8932200,367.0
37.70799000,-79.8931600,367.0
37.70801000,-79.8931000,368.0
37.70803000,-79.8930400,368.0
37.70805000,-79.8929200,370.0
37.70802000,-79.8929000,370.0
37.70801000,-79.8928500,370.0
37.70803000,-79.8928100,371.0
37.70800000,-79.8928500,370.0
37.70799000,-79.8927000,372.0
37.70804000,-79.8925900,374.0
37.70808000,-79.8925600,375.0
37.70811000,-79.8925100,375.0
37.70816000,-79.8924800,376.0
37.70820000,-79.8925100,375.0
37.70825000,-79.8925400,375.0
37.70829000,-79.8925400,375.0
37.70834000,-79.8925400,375.0
37.70838000,-79.8925800,376.0
37.70842000,-79.8926200,376.0
37.70847000,-79.8926500,377.0
37.70852000,-79.8926900,377.0
37.70855000,-79.8927300,378.0
37.70859000,-79.8927800,378.0
37.70863000,-79.8928300,379.0
37.70867000,-79.8928500,379.0
37.70872000,-79.8928700,380.0
37.70875000,-79.8929200,380.0
37.70879000,-79.8929500,381.0
37.70884000,-79.8929900,382.0
37.70888000,-79.8930300,382.0
37.70892000,-79.8930700,383.0
37.70896000,-79.8930900,383.0
37.70901000,-79.8931000,383.0
37.70904000,-79.8931400,383.0
37.70909000,-79.8931200,383.0
37.70914000,-79.8931300,384.0
37.70919000,-79.8931100,384.0
37.70923000,-79.8930900,384.0
37.70928000,-79.8930900,384.0
37.70933000,-79.8931000,385.0
37.70938000,-79.8930800,385.0
37.70941000,-79.8930300,385.0
37.70944000,-79.8930000,385.0
37.70948000,-79.8929600,386.0
37.70952000,-79.8929200,386.0
37.70957000,-79.8928900,387.0
37.70959000,-79.8928300,387.0
37.70963000,-79.8927900,388.0
37.70968000,-79.8928000,389.0
37.70973000,-79.8928100,390.0
37.70977000,-79.8928200,391.0
37.70982000,-79.8928000,392.0
37.70985000,-79.8927500,392.0
37.70988000,-79.8927100,393.0
37.70992000,-79.8926700,393.0
37.70995000,-79.8926300,394.0
37.70999000,-79.8925800,395.0
37.71003000,-79.8925500,395.0
37.71007000,-79.8925100,396.0
37.71012000,-79.8924900,396.0
37.71017000,-79.8924900,397.0
37.71021000,-79.8924500,397.0
37.71026000,-79.8924300,397.0
37.71030000,-79.8924000,397.0
37.71033000,-79.8923600,397.0
37.71036000,-79.8923200,397.0
37.71038000,-79.8922700,396.0
37.71043000,-79.8922400,396.0
37.71047000,-79.8922700,397.0
37.71052000,-79.8923000,398.0
37.71057000,-79.8923300,399.0
37.71061000,-79.8923500,400.0
37.71066000,-79.8923500,400.0
37.71071000,-79.8923300,401.0
37.71076000,-79.8923100,401.0
37.71081000,-79.8923000,402.0
37.71086000,-79.8922900,403.0
37.71091000,-79.8922600,404.0
37.71096000,-79.8922400,404.0
37.71100000,-79.8922200,405.0
37.71105000,-79.8922300,406.0
37.71109000,-79.8922700,408.0
37.71108000,-79.8923300,408.0
