Latitude,Longitude,Elevation
36.80959000,-80.3502200,974.0
36.81009000,-80.3500400,977.0
36.81013000,-80.3498200,977.0
36.81030000,-80.3497300,978.0
36.81044000,-80.3495700,975.0
36.81045000,-80.3493500,969.0
36.81064000,-80.3493200,968.0
36.81083000,-80.3493100,969.0
36.81098000,-80.3492100,970.0
36.81110000,-80.3490000,968.0
36.81116000,-80.3487700,966.0
36.81123000,-80.3485600,967.0
36.81125000,-80.3483400,968.0
36.81128000,-80.3481000,970.0
36.81130000,-80.3478600,970.0
36.81129000,-80.3476200,968.0
36.81131000,-80.3473900,969.0
36.81133000,-80.3471600,970.0
36.81136000,-80.3469300,969.0
36.81141000,-80.3467000,968.0
36.81143000,-80.3464800,966.0
36.81151000,-80.3462700,966.0
36.81162000,-80.3460800,967.0
36.81181000,-80.3460400,968.0
36.81198000,-80.3460800,970.0
36.81216000,-80.3460000,968.0
36.81233000,-80.3459200,968.0
36.81244000,-80.3457400,968.0
36.81259000,-80.3456000,971.0
36.81271000,-80.3454100,970.0
36.81286000,-80.3452700,973.0
36.81304000,-80.3452300,980.0
36.81322000,-80.3451100,985.0
36.81336000,-80.3449500,990.0
36.81345000,-80.3447500,991.0
36.81354000,-80.3445400,992.0
36.81364000,-80.3443500,993.0
36.81374000,-80.3441600,992.0
36.81391000,-80.3440600,995.0
36.81409000,-80.3441600,1000.0
36.81427000,-80.3442000,1001.0
36.81444000,-80.3443000,1003.0
36.81461000,-80.3444300,1005.0
36.81479000,-80.3444900,1005.0
36.81497000,-80.3445000,1004.0
36.81516000,-80.3444500,1003.0
36.81534000,-80.3444000,1002.0
36.81552000,-80.3443900,1002.0
36.81571000,-80.3444300,1005.0
36.81589000,-80.3445000,1007.0
36.81609000,-80.3445200,1009.0
36.81627000,-80.3445100,1014.0
36.81645000,-80.3445900,1017.0
36.81663000,-80.3446700,1021.0
36.81682000,-80.3446400,1027.0
36.81683000,-80.3444000,1032.0
36.81680000,-80.3441700,1035.0
36.81669000,-80.3439600,1034.0
36.81688000,-80.3440100,1040.0
36.81705000,-80.3441000,1044.0
36.81718000,-80.3442800,1044.0
36.81733000,-80.3441400,1050.0
36.81728000,-80.3439100,1054.0
36.81720000,-80.3437000,1057.0
36.81715000,-80.3434900,1058.0
36.81732000,-80.3435500,1062.0
36.81751000,-80.3435700,1066.0
36.81767000,-80.3434200,1070.0
36.81780000,-80.3432400,1072.0
36.81792000,-80.3430600,1073.0
36.81810000,-80.3429900,1074.0
36.81827000,-80.3429100,1075.0
36.81845000,-80.3428400,1076.0
36.81860000,-80.3427100,1075.0
36.81879000,-80.3426900,1074.0
36.81897000,-80.3426900,1075.0
36.81915000,-80.3426100,1076.0
36.81933000,-80.3425800,1076.0
36.81951000,-80.3425400,1077.0
36.81964000,-80.3423800,1076.0
36.81981000,-80.3422500,1077.0
36.81994000,-80.3420700,1077.0
36.82005000,-80.3418900,1076.0
36.82019000,-80.3417400,1074.0
36.82057000,-80.3417400,1073.0
36.82074000,-80.3416200,1069.0
36.82093000,-80.3415900,1065.0
36.82111000,-80.3415400,1060.0
36.82130000,-80.3415300,1056.0
36.82148000,-80.3415800,1052.0
36.82165000,-80.3415100,1048.0
36.82184000,-80.3414900,1043.0
36.82203000,-80.3415000,1038.0
36.82221000,-80.3414400,1035.0
36.82239000,-80.3414700,1034.0
36.82258000,-80.3414900,1032.0
36.82276000,-80.3414500,1028.0
36.82294000,-80.3415400,1027.0
36.82311000,-80.3416100,1026.0
36.82328000,-80.3416900,1027.0
36.82346000,-80.3417400,1029.0
36.82363000,-80.3418700,1032.0
36.82376000,-80.3420300,1033.0
36.82390000,-80.3422000,1035.0
36.82404000,-80.3423700,1035.0
36.82421000,-80.3424300,1036.0
36.82439000,-80.3424900,1035.0
36.82455000,-80.3426000,1034.0
36.82468000,-80.3427700,1034.0
36.82481000,-80.3429500,1032.0
36.82496000,-80.3431000,1029.0
36.82513000,-80.3431700,1026.0
36.82530000,-80.3432600,1023.0
36.82546000,-80.3433900,1021.0
36.82562000,-80.3434900,1019.0
36.82581000,-80.3435400,1016.0
36.82600000,-80.3435600,1014.0
36.82618000,-80.3435500,1012.0
36.82636000,-80.3435400,1006.0
36.82655000,-80.3435300,1000.0
36.82674000,-80.3434800,996.0
36.82692000,-80.3434700,994.0
36.82710000,-80.3434300,993.0
36.82729000,-80.3434400,993.0
36.82747000,-80.3434700,993.0
36.82766000,-80.3434400,992.0
36.82784000,-80.3434300,991.0
36.82801000,-80.3435400,990.0
36.82817000,-80.3436500,990.0
36.82829000,-80.3438200,989.0
36.82843000,-80.3439900,987.0
36.82858000,-80.3441400,985.0
36.82872000,-80.3443000,982.0
36.82882000,-80.3445000,980.0
36.82890000,-80.3447200,977.0
36.82896000,-80.3449400,973.0
36.82901000,-80.3451800,968.0
36.82909000,-80.3454000,965.0
36.82920000,-80.3455900,963.0
36.82933000,-80.3457500,962.0
36.82942000,-80.3459500,961.0
36.82957000,-80.3460900,960.0
36.82974000,-80.3461900,958.0
36.82993000,-80.3461900,956.0
36.83013000,-80.3462000,953.0
36.83030000,-80.3461400,951.0
36.83049000,-80.3460900,948.0
36.83059000,-80.3459000,948.0
36.83066000,-80.3456900,949.0
36.83073000,-80.3454800,948.0
36.83079000,-80.3452700,947.0
36.83088000,-80.3450500,945.0
36.83100000,-80.3448800,943.0
36.83113000,-80.3447000,941.0
36.83121000,-80.3444900,940.0
36.83129000,-80.3442800,936.0
36.83137000,-80.3440700,932.0
36.83146000,-80.3438800,929.0
36.83159000,-80.3437100,928.0
36.83165000,-80.3434900,924.0
36.83172000,-80.3432700,921.0
36.83177000,-80.3430500,918.0
36.83188000,-80.3428600,917.0
36.83200000,-80.3426900,918.0
36.83209000,-80.3425000,918.0
36.83212000,-80.3422700,917.0
36.83211000,-80.3420400,915.0
36.83210000,-80.3418100,915.0
36.83203000,-80.3415900,914.0
36.83196000,-80.3413800,913.0
36.83190000,-80.3411600,911.0
36.83185000,-80.3409200,908.0
36.83181000,-80.3406900,907.0
36.83175000,-80.3404600,904.0
36.83167000,-80.3402400,902.0
36.83161000,-80.3400100,900.0
36.83159000,-80.3397700,898.0
36.83141000,-80.3396600,892.0
36.83126000,-80.3397800,890.0
36.83109000,-80.3397100,888.0
36.83106000,-80.3394900,887.0
36.83098000,-80.3392800,887.0
36.83092000,-80.3390600,886.0
36.83090000,-80.3388400,885.0
36.83084000,-80.3386300,884.0
36.83078000,-80.3384000,882.0
36.83080000,-80.3381600,879.0
36.83077000,-80.3379100,878.0
36.83076000,-80.3376800,877.0
36.83074000,-80.3374500,876.0
36.83069000,-80.3372300,875.0
36.83066000,-80.3369900,872.0
36.83068000,-80.3367700,870.0
36.83068000,-80.3365400,869.0
36.83068000,-80.3363100,869.0
36.83068000,-80.3360700,868.0
36.83068000,-80.3358500,867.0
36.83067000,-80.3356100,866.0
36.83067000,-80.3353900,865.0
36.83061000,-80.3351700,864.0
36.83055000,-80.3349300,862.0
36.83049000,-80.3347100,861.0
36.83041000,-80.3345000,861.0
36.83023000,-80.3344100,861.0
36.83008000,-80.3342500,862.0
36.82994000,-80.3341200,863.0
36.82976000,-80.3340800,866.0
36.82955000,-80.3340600,870.0
36.82948000,-80.3338500,868.0
36.82938000,-80.3336500,867.0
36.82919000,-80.3336000,871.0
36.82901000,-80.3335600,874.0
36.82882000,-80.3335400,877.0
36.82869000,-80.3333400,876.0
36.82860000,-80.3331200,875.0
36.82849000,-80.3329300,876.0
36.82842000,-80.3327200,878.0
36.82841000,-80.3324900,881.0
36.82825000,-80.3323700,884.0
36.82807000,-80.3323800,887.0
36.82790000,-80.3324600,888.0
36.82773000,-80.3325400,890.0
36.82757000,-80.3326500,891.0
36.82739000,-80.3326500,890.0
36.82720000,-80.3326300,889.0
36.82703000,-80.3327200,886.0
36.82694000,-80.3329100,882.0
36.82684000,-80.3331100,880.0
36.82672000,-80.3332800,878.0
36.82660000,-80.3334400,875.0
36.82643000,-80.3335400,869.0
36.82630000,-80.3337100,866.0
36.82625000,-80.3339400,865.0
36.82621000,-80.3341700,867.0
36.82621000,-80.3344000,866.0
36.82624000,-80.3346500,868.0
36.82622000,-80.3348800,869.0
36.82614000,-80.3350900,870.0
36.82604000,-80.3352800,871.0
36.82598000,-80.3354900,872.0
36.82582000,-80.3356300,872.0
36.82571000,-80.3354400,871.0
36.82566000,-80.3352200,869.0
36.82559000,-80.3350100,866.0
36.82552000,-80.3348100,864.0
36.82545000,-80.3345800,862.0
36.82541000,-80.3343500,859.0
36.82528000,-80.3341700,858.0
36.82510000,-80.3341500,861.0
36.82492000,-80.3342300,864.0
36.82482000,-80.3344400,868.0
36.82472000,-80.3346300,870.0
36.82454000,-80.3345500,870.0
36.82435000,-80.3345500,871.0
36.82416000,-80.3345100,874.0
36.82399000,-80.3344200,878.0
36.82388000,-80.3342200,878.0
36.82390000,-80.3340000,875.0
36.82394000,-80.3337700,872.0
36.82397000,-80.3335300,872.0
36.82398000,-80.3333000,874.0
36.82391000,-80.3330900,876.0
36.82383000,-80.3328800,878.0
36.82370000,-80.3327100,879.0
36.82350000,-80.3326800,878.0
36.82332000,-80.3326200,875.0
36.82314000,-80.3325900,874.0
36.82296000,-80.3326100,875.0
36.82276000,-80.3326300,878.0
36.82256000,-80.3325600,880.0
36.82246000,-80.3323500,876.0
36.82234000,-80.3321700,872.0
36.82220000,-80.3320100,868.0
36.82208000,-80.3318400,863.0
36.82194000,-80.3316900,861.0
36.82183000,-80.3315100,859.0
36.82174000,-80.3312900,856.0
36.82158000,-80.3311700,856.0
36.82141000,-80.3310900,856.0
36.82123000,-80.3310400,854.0
36.82103000,-80.3310400,854.0
36.82086000,-80.3309700,847.0
36.82068000,-80.3310400,844.0
36.82050000,-80.3310100,831.0
36.82031000,-80.3310800,821.0
36.82015000,-80.3311900,817.0
36.81996000,-80.3311700,804.0
36.81978000,-80.3312600,798.0
36.81963000,-80.3313900,794.0
36.81945000,-80.3314800,785.0
36.81936000,-80.3317000,785.0
36.81924000,-80.3318800,784.0
36.81915000,-80.3320800,789.0
36.81903000,-80.3322600,795.0
36.81887000,-80.3321400,784.0
36.81870000,-80.3320400,779.0
36.81860000,-80.3318600,769.0
36.81847000,-80.3317000,759.0
36.81836000,-80.3315200,749.0
36.81820000,-80.3314000,743.0
36.81801000,-80.3313200,740.0
36.81783000,-80.3313100,737.0
36.81765000,-80.3311900,729.0
36.81747000,-80.3311400,724.0
36.81728000,-80.3311100,716.0
36.81710000,-80.3311200,708.0
36.81695000,-80.3312400,705.0
36.81679000,-80.3313600,700.0
36.81664000,-80.3314800,695.0
36.81651000,-80.3316500,695.0
36.81638000,-80.3318100,694.0
36.81620000,-80.3317400,685.0
36.81602000,-80.3317000,675.0
36.81584000,-80.3318200,668.0
36.81570000,-80.3319800,665.0
36.81564000,-80.3322000,668.0
36.81562000,-80.3324300,673.0
36.81563000,-80.3326600,676.0
36.81567000,-80.3328800,680.0
36.81552000,-80.3327600,673.0
36.81535000,-80.3326700,664.0
36.81516000,-80.3325800,657.0
