Latitude,Longitude,Elevation
38.53406000,-78.4223000,935.0
38.53407000,-78.4222900,935.0
38.53408000,-78.4222000,935.0
38.53408000,-78.4221100,935.0
38.53408000,-78.4220600,935.0
38.53401000,-78.4217800,936.0
38.53389000,-78.4215300,936.0
38.53371000,-78.4212500,935.0
38.53353000,-78.4210800,934.0
38.53352000,-78.4208600,937.0
38.53347000,-78.4208800,936.0
38.53337000,-78.4209600,934.0
38.53332000,-78.4210300,933.0
38.53324000,-78.4211100,933.0
38.53308000,-78.4210500,932.0
38.53307000,-78.4210500,932.0
38.53297000,-78.4210200,931.0
38.53290000,-78.4209200,930.0
38.53279000,-78.4207300,928.0
38.53272000,-78.4205700,927.0
38.53260000,-78.4203200,925.0
38.53258000,-78.4201500,924.0
38.53256000,-78.4199900,923.0
38.53251000,-78.4197900,920.0
38.53244000,-78.4197200,917.0
38.53235000,-78.4196300,913.0
38.53232000,-78.4195200,911.0
38.53232000,-78.4193300,908.0
38.53233000,-78.4190600,902.0
38.53236000,-78.4189000,899.0
38.53240000,-78.4186300,898.0
38.53247000,-78.4183900,897.0
38.53253000,-78.4180800,893.0
38.53258000,-78.4179300,892.0
38.53269000,-78.4176400,892.0
38.53272000,-78.4174100,892.0
38.53276000,-78.4172900,892.0
38.53291000,-78.4170700,895.0
38.53326000,-78.4163100,896.0
38.53332000,-78.4160900,896.0
38.53333000,-78.4159200,894.0
38.53336000,-78.4157200,893.0
38.53334000,-78.4155200,890.0
38.53329000,-78.4153500,888.0
38.53322000,-78.4152900,887.0
38.53312000,-78.4151900,885.0
38.53302000,-78.4151000,882.0
38.53301000,-78.4149800,881.0
38.53306000,-78.4148800,880.0
38.53316000,-78.4148400,879.0
38.53358000,-78.4147800,879.0
38.53374000,-78.4147400,878.0
38.53385000,-78.4146600,877.0
38.53391000,-78.4146000,876.0
38.53393000,-78.4144800,874.0
38.53399000,-78.4143500,874.0
38.53408000,-78.4142200,873.0
38.53410000,-78.4141700,873.0
38.53417000,-78.4140600,870.0
38.53418000,-78.4139500,868.0
38.53413000,-78.4138500,866.0
38.53404000,-78.4137700,864.0
38.53395000,-78.4137300,864.0
38.53377000,-78.4137100,864.0
38.53356000,-78.4136800,864.0
38.53337000,-78.4135800,861.0
38.53321000,-78.4135200,858.0
38.53281000,-78.4133300,849.0
38.53267000,-78.4133200,847.0
38.53246000,-78.4133000,845.0
38.53224000,-78.4133300,843.0
38.53211000,-78.4133000,841.0
38.53204000,-78.4132100,840.0
38.53208000,-78.4131000,839.0
38.53215000,-78.4129800,838.0
38.53230000,-78.4127900,838.0
38.53241000,-78.4127300,837.0
38.53251000,-78.4125900,835.0
38.53260000,-78.4123700,831.0
38.53276000,-78.4120900,826.0
38.53295000,-78.4119200,821.0
38.53313000,-78.4116800,815.0
38.53328000,-78.4115800,813.0
38.53345000,-78.4115500,812.0
38.53361000,-78.4114900,811.0
38.53368000,-78.4113700,811.0
38.53375000,-78.4112500,807.0
38.53390000,-78.4111600,804.0
38.53408000,-78.4111500,800.0
38.53425000,-78.4111600,797.0
38.53448000,-78.4111700,793.0
38.53462000,-78.4111300,792.0
38.53466000,-78.4110600,791.0
38.53463000,-78.4109700,790.0
38.53455000,-78.4109100,789.0
38.53451000,-78.4108400,788.0
38.53433000,-78.4105900,783.0
38.53427000,-78.4103400,778.0
38.53422000,-78.4101500,775.0
38.53403000,-78.4099900,773.0
38.53390000,-78.4098500,772.0
38.53371000,-78.4096600,770.0
38.53343000,-78.4096100,770.0
