Latitude,Longitude,Elevation
37.92510000,-79.1376200,541.0
37.92510000,-79.1374600,543.0
37.92510000,-79.1373900,544.0
37.92508000,-79.1373300,544.0
37.92506000,-79.1372700,544.0
37.92504000,-79.1372100,544.0
37.92501000,-79.1371400,544.0
37.92499000,-79.1370900,543.0
37.92497000,-79.1370400,544.0
37.92496000,-79.1369800,544.0
37.92496000,-79.1369200,545.0
37.92496000,-79.1368600,546.0
37.92497000,-79.1367800,547.0
37.92497000,-79.1367200,548.0
37.92497000,-79.1366600,549.0
37.92496000,-79.1365900,549.0
37.92496000,-79.1365300,550.0
37.92494000,-79.1364700,550.0
37.92493000,-79.1364200,550.0
37.92491000,-79.1363500,549.0
37.92491000,-79.1362900,549.0
37.92491000,-79.1362300,549.0
37.92491000,-79.1361700,549.0
37.92492000,-79.1361000,549.0
37.92492000,-79.1360400,549.0
37.92490000,-79.1359900,548.0
37.92487000,-79.1359300,547.0
37.92485000,-79.1358700,546.0
37.92483000,-79.1358100,545.0
37.92480000,-79.1357400,544.0
37.92479000,-79.1356700,545.0
37.92479000,-79.1356000,546.0
37.92479000,-79.1355300,547.0
37.92480000,-79.1354800,548.0
37.92480000,-79.1354200,549.0
37.92482000,-79.1352100,552.0
37.92482000,-79.1351400,552.0
37.92483000,-79.1350800,553.0
37.92484000,-79.1350000,553.0
37.92484000,-79.1349400,552.0
37.92484000,-79.1348600,552.0
37.92484000,-79.1348000,551.0
37.92482000,-79.1347200,550.0
37.92481000,-79.1346600,549.0
37.92479000,-79.1346100,548.0
37.92477000,-79.1345400,547.0
37.92474000,-79.1344700,545.0
37.92472000,-79.1344100,544.0
37.92470000,-79.1343500,544.0
37.92468000,-79.1342800,544.0
37.92467000,-79.1342200,544.0
37.92466000,-79.1340800,545.0
37.92465000,-79.1339400,547.0
37.92465000,-79.1338700,547.0
37.92465000,-79.1338000,549.0
37.92465000,-79.1337500,550.0
37.92465000,-79.1336900,551.0
37.92465000,-79.1336200,552.0
37.92464000,-79.1335600,553.0
37.92463000,-79.1335000,553.0
37.92463000,-79.1334200,554.0
37.92463000,-79.1333600,555.0
37.92465000,-79.1333000,555.0
37.92467000,-79.1332300,555.0
37.92470000,-79.1331700,555.0
37.92473000,-79.1331200,556.0
37.92476000,-79.1330700,556.0
37.92478000,-79.1330300,556.0
37.92482000,-79.1329700,555.0
37.92486000,-79.1329300,554.0
37.92489000,-79.1328800,553.0
37.92493000,-79.1328300,552.0
37.92496000,-79.1327900,552.0
37.92499000,-79.1327500,551.0
37.92502000,-79.1327000,551.0
37.92505000,-79.1326600,551.0
37.92508000,-79.1326100,551.0
37.92509000,-79.1325900,551.0
37.92521000,-79.1323400,553.0
37.92522000,-79.1322800,554.0
37.92525000,-79.1322300,556.0
37.92527000,-79.1321700,556.0
37.92529000,-79.1321100,556.0
37.92532000,-79.1320500,557.0
37.92534000,-79.1319900,557.0
37.92537000,-79.1319300,558.0
37.92540000,-79.1318800,558.0
37.92544000,-79.1318400,560.0
37.92547000,-79.1317900,559.0
37.92550000,-79.1317400,559.0
37.92552000,-79.1316900,559.0
37.92554000,-79.1316300,557.0
37.92556000,-79.1315700,556.0
37.92558000,-79.1315100,554.0
37.92560000,-79.1314300,552.0
37.92561000,-79.1313700,550.0
37.92562000,-79.1313100,549.0
37.92562000,-79.1312600,549.0
37.92562000,-79.1311900,548.0
37.92562000,-79.1311200,547.0
37.92561000,-79.1310600,547.0
37.92561000,-79.1310100,548.0
37.92560000,-79.1309500,548.0
37.92560000,-79.1308900,548.0
37.92557000,-79.1306700,549.0
37.92557000,-79.1305700,549.0
37.92556000,-79.1305000,549.0
37.92555000,-79.1304400,550.0
37.92553000,-79.1303800,551.0
37.92551000,-79.1303100,552.0
37.92550000,-79.1302500,553.0
37.92548000,-79.1301900,554.0
37.92545000,-79.1301300,556.0
