Latitude,Longitude,Elevation
38.95879000,-77.2050500,65.0
38.95935000,-77.2049900,67.0
38.95991000,-77.2052500,62.0
38.95993000,-77.2052300,63.0
38.96002000,-77.2053800,62.0
38.96028000,-77.2054700,61.0
38.96044000,-77.2054500,62.0
38.96128000,-77.2052400,60.0
38.96183000,-77.2051100,59.0
38.96219000,-77.2050000,58.0
38.96279000,-77.2048000,64.0
38.96303000,-77.2046700,62.0
38.96350000,-77.2045600,60.0
38.96369000,-77.2045200,61.0
38.96412000,-77.2044600,62.0
38.96467000,-77.2043900,62.0
38.96498000,-77.2042300,64.0
38.96524000,-77.2039900,64.0
38.96533000,-77.2038800,62.0
38.96535000,-77.2037800,60.0
38.96536000,-77.2036500,58.0
38.96535000,-77.2033200,53.0
38.96535000,-77.2031300,53.0
38.96536000,-77.2030700,53.0
38.96537000,-77.2029200,55.0
38.96541000,-77.2027400,58.0
38.96548000,-77.2025500,62.0
38.96557000,-77.2024000,65.0
38.96562000,-77.2022800,67.0
38.96566000,-77.2021200,69.0
38.96568000,-77.2019700,72.0
38.96577000,-77.2017800,74.0
38.96588000,-77.2017200,75.0
38.96620000,-77.2017300,72.0
38.96648000,-77.2017800,67.0
38.96708000,-77.2019400,50.0
38.96738000,-77.2021700,38.0
38.96759000,-77.2022900,31.0
38.96743000,-77.2022400,37.0
38.96721000,-77.2021000,45.0
38.96659000,-77.2018700,65.0
38.96632000,-77.2017900,70.0
38.96600000,-77.2017300,75.0
38.96589000,-77.2017300,75.0
38.96578000,-77.2018500,74.0
38.96575000,-77.2019700,72.0
38.96572000,-77.2021400,69.0
38.96570000,-77.2022600,68.0
38.96562000,-77.2024100,65.0
38.96554000,-77.2025900,61.0
38.96549000,-77.2027700,58.0
38.96543000,-77.2029400,55.0
38.96538000,-77.2030100,54.0
38.96536000,-77.2031700,53.0
38.96536000,-77.2035100,56.0
38.96536000,-77.2036400,57.0
38.96537000,-77.2037400,60.0
38.96534000,-77.2038500,61.0
38.96511000,-77.2040700,64.0
38.96478000,-77.2042500,62.0
38.96422000,-77.2043300,62.0
38.96379000,-77.2044000,60.0
38.96361000,-77.2044400,60.0
38.96314000,-77.2045300,61.0
38.96289000,-77.2046500,62.0
38.96228000,-77.2048500,60.0
38.96191000,-77.2049700,58.0
38.96135000,-77.2051100,60.0
38.96051000,-77.2053900,63.0
38.96035000,-77.2054500,61.0
38.96009000,-77.2053900,61.0
38.96001000,-77.2053100,62.0
38.95996000,-77.2052700,62.0
38.95991000,-77.2052500,62.0
38.95935000,-77.2049900,67.0
38.95879000,-77.2050500,65.0
