Latitude,Longitude,Elevation
38.81248000,-77.5215800,85.0
38.81224000,-77.5222100,80.0
38.81197000,-77.5237500,77.0
38.81190000,-77.5245100,80.0
38.81179000,-77.5250600,80.0
38.81148000,-77.5265500,82.0
38.81123000,-77.5277500,74.0
38.81113000,-77.5281100,72.0
38.81093000,-77.5286000,70.0
38.81075000,-77.5287900,70.0
38.81055000,-77.5292400,70.0
38.81039000,-77.5294900,69.0
38.81005000,-77.5297700,68.0
38.80958000,-77.5299800,67.0
38.80926000,-77.5301400,67.0
38.80908000,-77.5302400,67.0
38.80888000,-77.5302700,69.0
38.80852000,-77.5304700,68.0
38.80830000,-77.5305400,69.0
38.80817000,-77.5306100,69.0
38.80797000,-77.5307500,68.0
38.80774000,-77.5309300,68.0
38.80692000,-77.5313400,70.0
38.80643000,-77.5314600,71.0
38.80621000,-77.5315300,69.0
38.80602000,-77.5315600,68.0
38.80607000,-77.5318800,67.0
38.80607000,-77.5321300,66.0
38.80605000,-77.5321900,66.0
38.80600000,-77.5323300,66.0
38.80568000,-77.5324200,67.0
38.80557000,-77.5324800,67.0
38.80548000,-77.5325700,68.0
38.80584000,-77.5335600,77.0
38.80617000,-77.5346300,82.0
38.80619000,-77.5347200,82.0
38.80620000,-77.5351300,83.0
38.80623000,-77.5352100,84.0
38.80646000,-77.5356100,86.0
38.80660000,-77.5357700,86.0
38.80638000,-77.5359000,88.0
38.80500000,-77.5368200,88.0
38.80499000,-77.5368400,88.0
38.80481000,-77.5369400,88.0
38.80449000,-77.5371000,87.0
38.80421000,-77.5373500,87.0
38.80365000,-77.5378100,85.0
38.80345000,-77.5386300,88.0
38.80319000,-77.5395300,93.0
38.80292000,-77.5396800,94.0
38.80270000,-77.5399400,95.0
38.80266000,-77.5400700,94.0
38.80254000,-77.5402800,93.0
38.80252000,-77.5403600,92.0
38.80253000,-77.5404600,91.0
38.80296000,-77.5406800,90.0
38.80345000,-77.5407500,88.0
38.80405000,-77.5411600,80.0
38.80429000,-77.5412800,78.0
38.80502000,-77.5413700,80.0
38.80535000,-77.5417300,77.0
38.80551000,-77.5417700,77.0
38.80582000,-77.5419000,80.0
38.80609000,-77.5420200,82.0
38.80625000,-77.5421600,82.0
38.80677000,-77.5423000,81.0
38.80724000,-77.5424700,79.0
38.80734000,-77.5431400,73.0
38.80736000,-77.5433200,72.0
38.80763000,-77.5432500,72.0
38.80773000,-77.5434000,70.0
38.80777000,-77.5435900,70.0
38.80805000,-77.5436600,70.0
38.80836000,-77.5436900,72.0
38.80875000,-77.5437100,74.0
38.80900000,-77.5438000,76.0
38.80918000,-77.5439400,79.0
38.80947000,-77.5440300,82.0
38.80952000,-77.5441000,82.0
38.80953000,-77.5441700,82.0
38.80955000,-77.5443000,83.0
38.80956000,-77.5443700,83.0
38.80962000,-77.5443800,83.0
38.80971000,-77.5444300,83.0
38.80975000,-77.5444600,83.0
38.80979000,-77.5445200,83.0
38.80980000,-77.5446100,83.0
38.80980000,-77.5447500,84.0
38.80981000,-77.5448900,85.0
38.80982000,-77.5449700,85.0
38.80983000,-77.5450600,85.0
38.80984000,-77.5451700,85.0
38.80989000,-77.5452500,85.0
38.80994000,-77.5452500,85.0
38.81004000,-77.5452800,85.0
38.81008000,-77.5453000,85.0
38.81012000,-77.5453300,84.0
38.81017000,-77.5453600,84.0
38.81024000,-77.5453900,83.0
38.81029000,-77.5454000,83.0
38.81037000,-77.5454200,83.0
38.81041000,-77.5454500,83.0
38.81044000,-77.5455000,83.0
38.81049000,-77.5455900,82.0
38.81054000,-77.5456500,82.0
38.81058000,-77.5456900,81.0
38.81060000,-77.5457500,81.0
38.81062000,-77.5458100,80.0
38.81067000,-77.5458700,80.0
38.81072000,-77.5459300,80.0
38.81075000,-77.5459700,80.0
38.81082000,-77.5460200,80.0
38.81087000,-77.5460700,79.0
38.81092000,-77.5461200,79.0
38.81098000,-77.5461600,79.0
38.81104000,-77.5461800,79.0
38.81108000,-77.5462100,78.0
38.81117000,-77.5462400,78.0
38.81124000,-77.5462800,77.0
38.81130000,-77.5463100,77.0
38.81137000,-77.5463500,76.0
38.81144000,-77.5463900,76.0
38.81155000,-77.5464700,75.0
38.81159000,-77.5465200,75.0
38.81164000,-77.5465600,75.0
38.81170000,-77.5466000,75.0
38.81173000,-77.5466700,75.0
38.81177000,-77.5467400,75.0
38.81179000,-77.5468200,75.0
38.81181000,-77.5469100,75.0
38.81186000,-77.5470900,75.0
38.81189000,-77.5471900,74.0
38.81192000,-77.5473400,74.0
38.81197000,-77.5474400,74.0
38.81200000,-77.5475700,74.0
38.81203000,-77.5476800,74.0
38.81205000,-77.5478100,74.0
38.81207000,-77.5479000,74.0
38.81211000,-77.5480300,74.0
38.81214000,-77.5481300,74.0
38.81217000,-77.5482200,74.0
38.81219000,-77.5483000,75.0
38.81220000,-77.5483700,75.0
38.81222000,-77.5484600,75.0
38.81225000,-77.5485800,75.0
38.81228000,-77.5487300,76.0
38.81232000,-77.5487600,75.0
38.81239000,-77.5487800,75.0
38.81247000,-77.5488100,75.0
38.81256000,-77.5488300,75.0
38.81266000,-77.5488400,75.0
38.81278000,-77.5488300,75.0
38.81282000,-77.5488500,75.0
38.81289000,-77.5488600,75.0
38.81298000,-77.5488600,75.0
38.81302000,-77.5488400,75.0
38.81453000,-77.5488700,73.0
38.81470000,-77.5488100,73.0
38.81485000,-77.5486700,72.0
38.81507000,-77.5486500,72.0
38.81523000,-77.5488000,71.0
38.81534000,-77.5488700,71.0
38.81906000,-77.5489100,84.0
38.81925000,-77.5492100,85.0
38.81924000,-77.5507900,76.0
38.81928000,-77.5509200,76.0
38.81945000,-77.5511100,76.0
38.81958000,-77.5511900,77.0
38.81988000,-77.5512800,80.0
38.82001000,-77.5516000,82.0
38.82005000,-77.5517300,82.0
38.82052000,-77.5534300,93.0
38.82073000,-77.5536600,96.0
38.82074000,-77.5539600,97.0
38.82077000,-77.5540200,97.0
38.82082000,-77.5540200,97.0
38.82089000,-77.5540700,98.0
38.82094000,-77.5541000,99.0
38.82115000,-77.5539200,101.0
38.82176000,-77.5530300,101.0
38.82186000,-77.5530100,100.0
38.82193000,-77.5529800,99.0
38.82211000,-77.5527500,98.0
38.82219000,-77.5526400,97.0
38.82227000,-77.5524100,95.0
38.82233000,-77.5523200,95.0
38.82239000,-77.5522600,94.0
38.82253000,-77.5521900,94.0
38.82261000,-77.5521400,94.0
38.82269000,-77.5520600,94.0
38.82273000,-77.5520000,94.0
38.82279000,-77.5519700,93.0
38.82284000,-77.5519400,93.0
38.82292000,-77.5518500,92.0
38.82299000,-77.5517900,92.0
38.82302000,-77.5517400,92.0
38.82305000,-77.5516100,92.0
38.82306000,-77.5513800,92.0
38.82325000,-77.5513200,92.0
38.82333000,-77.5512400,92.0
38.82335000,-77.5511500,92.0
38.82339000,-77.5510800,93.0
38.82344000,-77.5511000,93.0
38.82356000,-77.5510000,94.0
38.82367000,-77.5508600,95.0
38.82373000,-77.5508300,95.0
38.82380000,-77.5507700,96.0
38.82392000,-77.5506300,96.0
38.82401000,-77.5505500,96.0
38.82412000,-77.5504500,96.0
38.82423000,-77.5503600,96.0
38.82437000,-77.5502200,95.0
38.82442000,-77.5501800,95.0
38.82450000,-77.5501100,95.0
38.82457000,-77.5500500,95.0
38.82461000,-77.5499800,95.0
38.82468000,-77.5498900,96.0
38.82471000,-77.5498300,96.0
38.82474000,-77.5497100,96.0
38.82476000,-77.5496600,96.0
38.82479000,-77.5496000,96.0
38.82487000,-77.5494900,96.0
38.82492000,-77.5494100,96.0
38.82497000,-77.5493700,96.0
38.82502000,-77.5492900,96.0
38.82506000,-77.5492300,96.0
38.82510000,-77.5491700,96.0
38.82514000,-77.5491000,95.0
38.82519000,-77.5490600,95.0
38.82524000,-77.5490500,94.0
38.82531000,-77.5490700,94.0
38.82535000,-77.5491000,93.0
38.82540000,-77.5490900,93.0
38.82548000,-77.5490900,92.0
38.82560000,-77.5489600,89.0
38.82567000,-77.5487400,87.0
38.82569000,-77.5486500,87.0
38.82570000,-77.5484900,86.0
38.82570000,-77.5483700,86.0
38.82571000,-77.5482200,87.0
38.82572000,-77.5481000,88.0
38.82578000,-77.5475500,91.0
38.82582000,-77.5473700,91.0
38.82584000,-77.5471900,92.0
38.82585000,-77.5470000,92.0
38.82585000,-77.5468600,92.0
38.82582000,-77.5465700,93.0
38.82550000,-77.5451000,92.0
38.82539000,-77.5447500,91.0
38.82535000,-77.5446200,90.0
38.82532000,-77.5444900,89.0
38.82531000,-77.5443600,88.0
38.82531000,-77.5442400,88.0
38.82530000,-77.5441400,87.0
38.82529000,-77.5440600,87.0
38.82528000,-77.5439700,87.0
38.82527000,-77.5438200,86.0
38.82526000,-77.5436900,84.0
38.82526000,-77.5431300,81.0
38.82527000,-77.5424200,80.0
38.82528000,-77.5420600,82.0
38.82530000,-77.5418500,83.0
38.82531000,-77.5417500,84.0
38.82531000,-77.5416200,84.0
38.82529000,-77.5414400,84.0
38.82526000,-77.5410700,83.0
38.82522000,-77.5408800,83.0
