Latitude,Longitude,Elevation
39.05116000,-77.3341600,122.0
39.05116000,-77.3341500,122.0
39.05108000,-77.3339800,124.0
39.05109000,-77.3340300,124.0
39.05112000,-77.3340200,124.0
39.05104000,-77.3340300,124.0
39.05094000,-77.3340500,124.0
39.05082000,-77.3340600,124.0
39.05072000,-77.3340600,123.0
39.05065000,-77.3340300,123.0
39.05056000,-77.3339500,123.0
39.05048000,-77.3338200,123.0
39.05042000,-77.3337200,124.0
39.05033000,-77.3336500,125.0
39.05022000,-77.3336200,126.0
39.05007000,-77.3336100,127.0
39.04996000,-77.3335900,128.0
39.04988000,-77.3335400,128.0
39.04981000,-77.3334400,128.0
39.04977000,-77.3332800,127.0
39.04969000,-77.3331600,126.0
39.04957000,-77.3330700,125.0
39.04947000,-77.3329000,125.0
39.04940000,-77.3327100,126.0
39.04936000,-77.3325200,127.0
39.04935000,-77.3323200,126.0
39.04941000,-77.3321400,125.0
39.04941000,-77.3319400,124.0
39.04941000,-77.3317500,122.0
39.04939000,-77.3316100,121.0
39.04935000,-77.3313500,120.0
39.04935000,-77.3311100,119.0
39.04937000,-77.3309100,118.0
39.04934000,-77.3308300,118.0
39.04933000,-77.3306600,116.0
39.04933000,-77.3304600,113.0
39.04934000,-77.3302100,112.0
39.04937000,-77.3301300,112.0
39.04939000,-77.3300400,112.0
39.04936000,-77.3299500,113.0
39.04932000,-77.3298600,114.0
39.04929000,-77.3297800,114.0
39.04927000,-77.3297100,115.0
39.04933000,-77.3295700,116.0
39.04939000,-77.3294300,117.0
39.04945000,-77.3293000,119.0
39.04950000,-77.3291300,119.0
39.04952000,-77.3289200,120.0
39.04955000,-77.3288200,120.0
39.04958000,-77.3286400,121.0
39.04959000,-77.3284600,121.0
39.04963000,-77.3283400,121.0
39.04975000,-77.3282200,121.0
39.04986000,-77.3281400,119.0
39.04996000,-77.3280100,118.0
39.05001000,-77.3278700,117.0
39.05002000,-77.3277800,116.0
39.04997000,-77.3276800,117.0
39.04991000,-77.3276100,117.0
39.04986000,-77.3275100,118.0
39.04981000,-77.3273600,119.0
39.04979000,-77.3272000,119.0
39.04978000,-77.3269800,119.0
39.04973000,-77.3268300,119.0
39.04959000,-77.3267000,118.0
39.04945000,-77.3266600,117.0
39.04923000,-77.3266400,116.0
39.04908000,-77.3265800,115.0
39.04886000,-77.3265000,114.0
39.04873000,-77.3263500,113.0
39.04865000,-77.3261500,113.0
39.04862000,-77.3259300,113.0
39.04867000,-77.3258100,114.0
39.04871000,-77.3256900,114.0
39.04871000,-77.3255500,113.0
39.04871000,-77.3253900,113.0
39.04873000,-77.3250700,112.0
39.04877000,-77.3249400,112.0
39.04882000,-77.3248500,112.0
39.04883000,-77.3247500,111.0
39.04886000,-77.3246400,111.0
39.04888000,-77.3245300,111.0
39.04890000,-77.3244600,110.0
39.04892000,-77.3243700,110.0
39.04890000,-77.3242900,110.0
39.04886000,-77.3242000,111.0
39.04879000,-77.3241400,111.0
39.04875000,-77.3240800,111.0
39.04875000,-77.3240000,111.0
39.04874000,-77.3239000,111.0
39.04867000,-77.3236900,110.0
39.04853000,-77.3235000,111.0
39.04844000,-77.3233100,110.0
39.04837000,-77.3231400,110.0
39.04835000,-77.3229800,109.0
39.04835000,-77.3228500,109.0
39.04833000,-77.3227700,109.0
39.04830000,-77.3227100,110.0
39.04825000,-77.3226900,111.0
39.04817000,-77.3226900,112.0
39.04810000,-77.3226800,113.0
39.04806000,-77.3226600,113.0
39.04803000,-77.3225900,113.0
39.04803000,-77.3224100,114.0
39.04801000,-77.3222300,114.0
39.04799000,-77.3220900,114.0
39.04794000,-77.3219200,114.0
39.04788000,-77.3218100,114.0
39.04788000,-77.3216900,113.0
39.04792000,-77.3215800,113.0
39.04796000,-77.3215100,112.0
39.04796000,-77.3214300,112.0
39.04795000,-77.3212600,111.0
39.04796000,-77.3210800,110.0
39.04795000,-77.3207900,108.0
39.04793000,-77.3205600,107.0
39.04791000,-77.3204200,108.0
39.04792000,-77.3202500,109.0
39.04795000,-77.3200100,108.0
39.04805000,-77.3196800,105.0
39.04813000,-77.3194100,102.0
39.04822000,-77.3192500,101.0
39.04826000,-77.3191700,100.0
39.04830000,-77.3191200,100.0
39.04829000,-77.3190400,100.0
39.04824000,-77.3190100,100.0
39.04817000,-77.3190400,99.0
39.04808000,-77.3190500,99.0
39.04800000,-77.3190600,99.0
39.04794000,-77.3190500,100.0
39.04790000,-77.3190300,100.0
39.04787000,-77.3189500,100.0
39.04787000,-77.3188300,99.0
39.04789000,-77.3187000,99.0
39.04792000,-77.3184800,97.0
39.04798000,-77.3182600,96.0
39.04807000,-77.3180200,96.0
39.04812000,-77.3177700,97.0
39.04816000,-77.3175200,97.0
39.04818000,-77.3173100,96.0
39.04819000,-77.3172000,96.0
39.04820000,-77.3170700,95.0
39.04822000,-77.3169400,95.0
39.04823000,-77.3168500,95.0
39.04829000,-77.3167800,94.0
39.04847000,-77.3165800,94.0
39.04860000,-77.3164500,93.0
39.04871000,-77.3163300,91.0
39.04879000,-77.3162000,90.0
39.04888000,-77.3160300,89.0
39.04899000,-77.3159100,89.0
39.04905000,-77.3157500,88.0
39.04913000,-77.3155400,87.0
39.04917000,-77.3154300,85.0
39.04917000,-77.3153300,84.0
39.04914000,-77.3151300,83.0
39.04911000,-77.3149900,83.0
39.04909000,-77.3148100,81.0
39.04903000,-77.3146100,80.0
39.04899000,-77.3144400,79.0
39.04897000,-77.3143000,78.0
39.04898000,-77.3142100,77.0
39.04904000,-77.3141600,75.0
39.04919000,-77.3140800,71.0
39.04930000,-77.3139900,69.0
39.04938000,-77.3138500,67.0
39.04942000,-77.3136500,66.0
39.04941000,-77.3134100,66.0
39.04940000,-77.3132300,66.0
39.04942000,-77.3131100,65.0
39.04946000,-77.3129900,64.0
39.04952000,-77.3129200,63.0
39.04956000,-77.3128900,62.0
