Latitude,Longitude,Elevation
37.44303000,-79.6093500,795.0
37.44188000,-79.6091900,804.0
37.44126000,-79.6088700,823.0
37.44089000,-79.6088900,832.0
37.44072000,-79.6091500,836.0
37.44067000,-79.6095600,835.0
37.44064000,-79.6098100,834.0
37.44022000,-79.6102600,834.0
37.43992000,-79.6103800,831.0
37.43919000,-79.6101400,843.0
37.43858000,-79.6096000,858.0
37.43684000,-79.6089400,918.0
37.43667000,-79.6091500,922.0
37.43672000,-79.6103800,923.0
37.43658000,-79.6104600,923.0
37.43581000,-79.6092800,965.0
37.43556000,-79.6091900,971.0
37.43498000,-79.6092500,980.0
37.43512000,-79.6089500,985.0
37.43497000,-79.6084800,1004.0
37.43494000,-79.6086300,1003.0
37.43474000,-79.6087800,1006.0
37.43395000,-79.6086500,1030.0
37.43314000,-79.6078500,1048.0
37.43272000,-79.6075600,1055.0
37.43213000,-79.6075700,1047.0
37.43196000,-79.6073400,1058.0
37.43138000,-79.6070900,1069.0
37.43088000,-79.6071000,1066.0
37.43210000,-79.6060700,1108.0
37.43223000,-79.6057600,1114.0
37.43256000,-79.6055900,1129.0
37.43279000,-79.6057300,1137.0
37.43288000,-79.6055500,1142.0
37.43334000,-79.6054100,1153.0
37.43335000,-79.6052100,1157.0
37.43337000,-79.6053500,1154.0
37.43294000,-79.6054800,1143.0
37.43291000,-79.6056400,1140.0
37.43269000,-79.6055000,1135.0
37.43234000,-79.6056800,1118.0
37.43218000,-79.6059600,1112.0
37.43087000,-79.6070300,1067.0
37.43136000,-79.6070200,1071.0
37.43195000,-79.6072300,1062.0
37.43211000,-79.6074900,1051.0
37.43262000,-79.6074900,1057.0
37.43306000,-79.6077300,1052.0
37.43387000,-79.6086000,1032.0
37.43464000,-79.6087100,1013.0
37.43485000,-79.6086100,1007.0
37.43490000,-79.6084500,1008.0
37.43504000,-79.6088100,993.0
37.43493000,-79.6092100,983.0
37.43545000,-79.6091500,973.0
37.43571000,-79.6092400,967.0
37.43648000,-79.6104900,922.0
37.43666000,-79.6104000,924.0
37.43662000,-79.6091600,924.0
37.43676000,-79.6089600,920.0
37.43851000,-79.6095200,861.0
37.43912000,-79.6101400,843.0
37.43983000,-79.6104200,830.0
37.44012000,-79.6103100,833.0
37.44056000,-79.6098700,836.0
37.44060000,-79.6096200,837.0
37.44064000,-79.6092200,838.0
37.44080000,-79.6089400,834.0
37.44119000,-79.6088900,825.0
37.44186000,-79.6092100,805.0
37.44303000,-79.6093500,795.0
