Latitude,Longitude,Elevation
38.93446000,-78.3200200,233.0
38.93447000,-78.3200200,233.0
38.93448000,-78.3201200,233.0
38.93482000,-78.3200000,233.0
38.93514000,-78.3198800,235.0
38.93516000,-78.3198700,235.0
38.93519000,-78.3198700,235.0
38.93520000,-78.3198700,235.0
38.93523000,-78.3199100,235.0
38.93530000,-78.3199300,236.0
38.93560000,-78.3199100,239.0
38.93571000,-78.3199600,241.0
38.93585000,-78.3200400,244.0
38.93614000,-78.3203300,250.0
38.93623000,-78.3204000,252.0
38.93632000,-78.3204900,254.0
38.93637000,-78.3205600,255.0
38.93641000,-78.3206700,255.0
38.93633000,-78.3211400,254.0
38.93636000,-78.3218100,264.0
38.93636000,-78.3220000,267.0
38.93634000,-78.3225000,270.0
38.93636000,-78.3227400,271.0
38.93650000,-78.3232200,280.0
38.93654000,-78.3234900,284.0
38.93648000,-78.3240100,293.0
38.93650000,-78.3251200,304.0
38.93669000,-78.3255300,312.0
38.93687000,-78.3256900,317.0
38.93697000,-78.3256900,316.0
38.93701000,-78.3256000,314.0
38.93701000,-78.3250900,309.0
38.93711000,-78.3245800,311.0
38.93719000,-78.3243200,312.0
38.93738000,-78.3239500,319.0
38.93748000,-78.3237100,322.0
38.93764000,-78.3230900,322.0
38.93777000,-78.3229200,326.0
38.93791000,-78.3228700,333.0
38.93828000,-78.3228200,349.0
38.93903000,-78.3227900,365.0
38.93937000,-78.3226400,369.0
38.93952000,-78.3224900,368.0
38.93968000,-78.3219400,360.0
38.93990000,-78.3216300,363.0
38.94004000,-78.3215700,367.0
38.94036000,-78.3216000,378.0
38.94046000,-78.3216000,381.0
38.94071000,-78.3215900,387.0
38.94079000,-78.3215600,389.0
38.94083000,-78.3215000,388.0
38.94090000,-78.3212200,385.0
38.94095000,-78.3211200,385.0
38.94101000,-78.3210100,385.0
38.94117000,-78.3204500,382.0
38.94139000,-78.3202200,389.0
38.94225000,-78.3195900,410.0
38.94304000,-78.3185300,408.0
38.94315000,-78.3184600,409.0
38.94326000,-78.3184300,410.0
38.94350000,-78.3184600,414.0
38.94398000,-78.3187200,426.0
38.94456000,-78.3191100,438.0
38.94482000,-78.3192700,444.0
38.94492000,-78.3193400,448.0
38.94501000,-78.3193500,449.0
38.94509000,-78.3193000,450.0
38.94512000,-78.3191800,447.0
38.94518000,-78.3188800,445.0
38.94523000,-78.3184300,443.0
38.94531000,-78.3179000,443.0
38.94542000,-78.3173400,448.0
38.94551000,-78.3171800,451.0
38.94563000,-78.3171000,453.0
38.94583000,-78.3171000,460.0
38.94603000,-78.3171300,467.0
38.94621000,-78.3171800,473.0
38.94646000,-78.3170800,475.0
38.94667000,-78.3167900,471.0
38.94704000,-78.3163700,470.0
38.94708000,-78.3163700,470.0
38.94709000,-78.3164200,472.0
38.94706000,-78.3165300,474.0
38.94684000,-78.3168600,478.0
38.94661000,-78.3172700,486.0
38.94637000,-78.3175000,490.0
38.94607000,-78.3176900,482.0
38.94597000,-78.3178400,480.0
38.94592000,-78.3180600,482.0
38.94595000,-78.3189300,491.0
38.94589000,-78.3196600,494.0
38.94589000,-78.3197100,495.0
38.94601000,-78.3204000,513.0
38.94604000,-78.3206900,521.0
38.94603000,-78.3208300,525.0
38.94598000,-78.3209100,526.0
38.94591000,-78.3209800,527.0
38.94544000,-78.3210200,519.0
38.94535000,-78.3210500,520.0
38.94514000,-78.3211200,522.0
38.94477000,-78.3211700,528.0
