Latitude,Longitude,Elevation
38.99167000,-77.9662000,265.0
38.99168000,-77.9662200,265.0
38.99192000,-77.9664900,266.0
38.99200000,-77.9665600,267.0
38.99207000,-77.9666200,267.0
38.99212000,-77.9666700,267.0
38.99217000,-77.9667100,267.0
38.99222000,-77.9667500,267.0
38.99227000,-77.9667700,267.0
38.99232000,-77.9668200,267.0
38.99237000,-77.9668400,268.0
38.99242000,-77.9668600,268.0
38.99247000,-77.9668800,268.0
38.99252000,-77.9669000,268.0
38.99259000,-77.9669500,269.0
38.99264000,-77.9669900,269.0
38.99269000,-77.9670100,270.0
38.99274000,-77.9670500,270.0
38.99277000,-77.9671000,271.0
38.99280000,-77.9671600,272.0
38.99280000,-77.9672200,273.0
38.99280000,-77.9672900,274.0
38.99280000,-77.9673500,274.0
38.99280000,-77.9674200,275.0
38.99280000,-77.9674800,276.0
38.99279000,-77.9675500,276.0
38.99277000,-77.9676100,276.0
38.99275000,-77.9676700,276.0
38.99272000,-77.9677400,277.0
38.99270000,-77.9678000,277.0
38.99267000,-77.9678500,277.0
38.99264000,-77.9679100,278.0
38.99260000,-77.9679500,278.0
38.99259000,-77.9679800,278.0
38.99249000,-77.9682800,278.0
38.99250000,-77.9683400,279.0
38.99252000,-77.9684000,279.0
38.99254000,-77.9684700,280.0
38.99257000,-77.9685300,280.0
38.99259000,-77.9686000,281.0
38.99259000,-77.9686600,282.0
38.99259000,-77.9687300,283.0
38.99259000,-77.9687900,284.0
38.99260000,-77.9688500,285.0
38.99264000,-77.9689200,286.0
38.99267000,-77.9689600,287.0
38.99272000,-77.9690100,287.0
38.99275000,-77.9690500,288.0
38.99279000,-77.9691100,289.0
38.99284000,-77.9691600,290.0
38.99287000,-77.9692000,290.0
38.99292000,-77.9692200,290.0
38.99301000,-77.9692600,291.0
38.99306000,-77.9693100,292.0
38.99309000,-77.9693500,293.0
38.99316000,-77.9693900,294.0
38.99321000,-77.9693900,295.0
38.99326000,-77.9694100,296.0
38.99331000,-77.9694100,297.0
38.99336000,-77.9694100,298.0
38.99341000,-77.9694300,299.0
38.99346000,-77.9694300,301.0
38.99352000,-77.9694300,302.0
38.99357000,-77.9694300,303.0
38.99364000,-77.9694300,305.0
38.99371000,-77.9694300,307.0
38.99376000,-77.9694300,308.0
38.99381000,-77.9694600,309.0
38.99386000,-77.9694600,311.0
38.99391000,-77.9694800,312.0
38.99397000,-77.9694800,313.0
38.99402000,-77.9695000,314.0
38.99407000,-77.9695200,315.0
38.99412000,-77.9695400,316.0
38.99416000,-77.9695800,316.0
38.99419000,-77.9696300,317.0
38.99424000,-77.9696700,318.0
38.99431000,-77.9697300,320.0
38.99439000,-77.9697800,322.0
38.99446000,-77.9698400,323.0
38.99451000,-77.9698600,325.0
38.99456000,-77.9698600,326.0
38.99461000,-77.9698600,327.0
38.99467000,-77.9698600,328.0
38.99472000,-77.9698800,329.0
38.99477000,-77.9699100,330.0
38.99484000,-77.9699500,331.0
38.99489000,-77.9699700,331.0
38.99494000,-77.9700100,332.0
38.99499000,-77.9700400,332.0
38.99504000,-77.9700600,333.0
38.99509000,-77.9700800,334.0
38.99517000,-77.9701200,336.0
38.99526000,-77.9701600,337.0
38.99531000,-77.9701900,339.0
38.99536000,-77.9702100,340.0
38.99542000,-77.9702500,342.0
38.99547000,-77.9702700,343.0
38.99552000,-77.9702900,345.0
38.99559000,-77.9703600,347.0
38.99567000,-77.9704400,348.0
38.99572000,-77.9704900,349.0
38.99579000,-77.9705700,350.0
38.99584000,-77.9706800,352.0
38.99589000,-77.9707900,354.0
38.99592000,-77.9708300,355.0
38.99596000,-77.9708900,356.0
38.99601000,-77.9709800,357.0
38.99607000,-77.9710900,359.0
38.99612000,-77.9711700,360.0
38.99617000,-77.9712200,361.0
38.99622000,-77.9713000,362.0
38.99627000,-77.9713400,363.0
38.99636000,-77.9714500,366.0
