Latitude,Longitude,Elevation
38.87069000,-78.2044400,586.0
38.87065000,-78.2043700,586.0
38.87022000,-78.2041300,587.0
38.86978000,-78.2038900,587.0
38.86935000,-78.2036500,589.0
38.86891000,-78.2034100,590.0
38.86848000,-78.2031700,589.0
38.86799000,-78.2030100,590.0
38.86749000,-78.2028400,592.0
38.86700000,-78.2026800,591.0
38.86649000,-78.2027100,589.0
38.86599000,-78.2027300,586.0
38.86548000,-78.2027600,586.0
38.86537000,-78.2026500,588.0
38.86534000,-78.2026100,588.0
38.86499000,-78.2022700,594.0
38.86486000,-78.2021800,593.0
38.86468000,-78.2020800,594.0
38.86457000,-78.2019900,595.0
38.86446000,-78.2019000,596.0
38.86431000,-78.2017300,597.0
38.86420000,-78.2016300,597.0
38.86415000,-78.2015900,597.0
38.86408000,-78.2015600,596.0
38.86403000,-78.2015200,595.0
38.86380000,-78.2014500,594.0
38.86367000,-78.2014100,593.0
38.86339000,-78.2013500,593.0
38.86331000,-78.2013200,593.0
38.86317000,-78.2012300,592.0
38.86301000,-78.2011400,591.0
38.86284000,-78.2010700,592.0
38.86255000,-78.2010000,592.0
38.86238000,-78.2009600,591.0
38.86222000,-78.2009300,591.0
38.86211000,-78.2009100,591.0
38.86202000,-78.2008900,590.0
38.86194000,-78.2008700,590.0
38.86162000,-78.2008500,589.0
38.86126000,-78.2008300,589.0
38.86118000,-78.2008200,589.0
38.86103000,-78.2008200,590.0
38.86097000,-78.2008100,590.0
38.86084000,-78.2007900,591.0
38.86072000,-78.2007700,592.0
38.86056000,-78.2007400,594.0
38.86041000,-78.2007300,595.0
38.86018000,-78.2007200,596.0
38.86010000,-78.2007100,596.0
38.85979000,-78.2006900,598.0
38.85913000,-78.2005600,612.0
38.85907000,-78.2005000,612.0
38.85901000,-78.2004500,612.0
38.85897000,-78.2004100,612.0
38.85890000,-78.2003500,612.0
38.85885000,-78.2003100,611.0
38.85877000,-78.2002700,610.0
38.85867000,-78.2002500,609.0
38.85858000,-78.2002400,609.0
38.85849000,-78.2002500,607.0
38.85828000,-78.2003100,606.0
38.85813000,-78.2003800,607.0
38.85791000,-78.2004800,608.0
38.85776000,-78.2005300,608.0
38.85762000,-78.2005700,611.0
38.85755000,-78.2005800,612.0
38.85748000,-78.2005800,613.0
38.85743000,-78.2005800,614.0
38.85733000,-78.2005200,616.0
38.85722000,-78.2003900,615.0
38.85708000,-78.2001700,613.0
38.85701000,-78.2000900,612.0
38.85695000,-78.2000500,613.0
38.85689000,-78.2000100,613.0
38.85681000,-78.1999900,613.0
38.85674000,-78.1999800,614.0
38.85666000,-78.1999800,614.0
38.85656000,-78.2000000,615.0
38.85650000,-78.2000100,615.0
38.85645000,-78.2000400,616.0
38.85641000,-78.2001000,617.0
38.85637000,-78.2001700,619.0
38.85634000,-78.2002900,621.0
38.85629000,-78.2003700,623.0
38.85610000,-78.1995500,613.0
38.85550000,-78.1991600,617.0
38.85496000,-78.1987400,615.0
38.85441000,-78.1983200,619.0
38.85388000,-78.1982500,621.0
38.85334000,-78.1981900,625.0
38.85288000,-78.1987500,637.0
38.85251000,-78.1991600,635.0
38.85233000,-78.1997600,641.0
38.85219000,-78.2004000,652.0
38.85197000,-78.2007900,654.0
38.85192000,-78.2016900,666.0
38.85164000,-78.2022600,668.0
38.85136000,-78.2028300,667.0
38.85106000,-78.2034300,669.0
38.85075000,-78.2040300,670.0
38.85038000,-78.2044100,669.0
38.85000000,-78.2047800,675.0
38.84977000,-78.2051700,675.0
38.85022000,-78.2052900,682.0
38.85067000,-78.2054100,687.0
38.85113000,-78.2055200,696.0
38.85158000,-78.2056400,703.0
38.85203000,-78.2057600,708.0
38.85249000,-78.2058700,713.0
38.85294000,-78.2059900,716.0
38.85339000,-78.2061100,721.0
38.85393000,-78.2066900,717.0
38.85442000,-78.2067000,722.0
38.85490000,-78.2067100,723.0
38.85540000,-78.2063700,735.0
38.85617000,-78.2064600,727.0
38.85687000,-78.2060900,717.0
38.85749000,-78.2054500,708.0
38.85794000,-78.2052800,701.0
38.85841000,-78.2052600,693.0
38.85887000,-78.2052500,686.0
38.85934000,-78.2052300,676.0
38.85979000,-78.2046700,675.0
38.86023000,-78.2041000,671.0
38.86095000,-78.2041600,660.0
38.86149000,-78.2041200,652.0
38.86202000,-78.2040700,645.0
38.86247000,-78.2039300,638.0
38.86292000,-78.2037900,628.0
38.86347000,-78.2034300,618.0
38.86384000,-78.2028500,616.0
38.86424000,-78.2024400,604.0
38.86449000,-78.2022300,600.0
38.86467000,-78.2021200,594.0
38.86512000,-78.2024400,593.0
38.86556000,-78.2027600,585.0
38.86607000,-78.2027500,586.0
38.86659000,-78.2027300,589.0
38.86710000,-78.2027200,591.0
38.86762000,-78.2029500,592.0
38.86814000,-78.2031700,589.0
38.86866000,-78.2034000,588.0
38.86918000,-78.2036200,590.0
38.86968000,-78.2038900,588.0
38.87019000,-78.2041700,587.0
38.87069000,-78.2044400,586.0
