Latitude,Longitude,Elevation
38.38115000,-78.5169800,904.0
38.38116000,-78.5169800,904.0
38.38113000,-78.5169000,903.0
38.38112000,-78.5168400,903.0
38.38109000,-78.5167800,903.0
38.38107000,-78.5167200,903.0
38.38104000,-78.5166700,903.0
38.38100000,-78.5166200,903.0
38.38096000,-78.5165800,902.0
38.38092000,-78.5165600,902.0
38.38088000,-78.5165200,902.0
38.38083000,-78.5164900,902.0
38.38079000,-78.5164700,902.0
38.38074000,-78.5164400,901.0
38.38070000,-78.5164200,901.0
38.38064000,-78.5163900,900.0
38.38059000,-78.5163700,899.0
38.38053000,-78.5163500,898.0
38.38048000,-78.5163400,897.0
38.38043000,-78.5163200,895.0
38.38038000,-78.5163000,894.0
38.38033000,-78.5162700,893.0
38.38030000,-78.5162200,891.0
38.38027000,-78.5161600,890.0
38.38026000,-78.5161000,889.0
38.38024000,-78.5160300,888.0
38.38022000,-78.5159700,886.0
38.38021000,-78.5159200,885.0
38.38019000,-78.5158500,884.0
38.38016000,-78.5157800,882.0
38.38014000,-78.5157300,881.0
38.38012000,-78.5156800,880.0
38.38011000,-78.5156200,879.0
38.38009000,-78.5155500,877.0
38.38007000,-78.5154800,876.0
38.38006000,-78.5154200,875.0
38.38006000,-78.5153500,873.0
38.38006000,-78.5153000,872.0
38.38005000,-78.5152300,871.0
38.38005000,-78.5151600,870.0
38.38006000,-78.5150900,869.0
38.38008000,-78.5150200,868.0
38.38010000,-78.5149600,867.0
38.38011000,-78.5148900,867.0
38.38012000,-78.5148300,866.0
38.38013000,-78.5147700,865.0
38.38013000,-78.5147100,865.0
38.38012000,-78.5146500,864.0
38.38010000,-78.5145900,863.0
38.38007000,-78.5145200,861.0
38.38005000,-78.5144700,860.0
38.38002000,-78.5144100,858.0
38.37999000,-78.5143600,857.0
38.37996000,-78.5143100,856.0
38.37993000,-78.5142700,855.0
38.37989000,-78.5142200,854.0
38.37984000,-78.5142000,853.0
38.37979000,-78.5141700,852.0
38.37975000,-78.5141500,851.0
38.37971000,-78.5141300,850.0
38.37966000,-78.5140900,849.0
38.37963000,-78.5140500,849.0
38.37961000,-78.5140000,848.0
38.37958000,-78.5139400,847.0
38.37954000,-78.5138600,846.0
38.37952000,-78.5138000,844.0
38.37949000,-78.5137000,843.0
38.37948000,-78.5136000,841.0
38.37946000,-78.5135200,839.0
38.37945000,-78.5134500,838.0
38.37945000,-78.5133700,837.0
38.37946000,-78.5133000,836.0
38.37946000,-78.5132300,836.0
38.37946000,-78.5131700,835.0
38.37946000,-78.5131000,834.0
38.37947000,-78.5130200,833.0
38.37947000,-78.5129600,832.0
38.37948000,-78.5129400,832.0
38.37948000,-78.5127600,829.0
38.37948000,-78.5127000,829.0
38.37948000,-78.5126200,828.0
38.37948000,-78.5125700,828.0
38.37948000,-78.5125000,827.0
38.37949000,-78.5124400,827.0
38.37950000,-78.5123600,826.0
38.37951000,-78.5122800,826.0
38.37952000,-78.5122200,826.0
38.37954000,-78.5121600,825.0
38.37955000,-78.5120900,824.0
38.37955000,-78.5120100,823.0
38.37955000,-78.5119500,822.0
38.37956000,-78.5118800,820.0
38.37957000,-78.5118100,818.0
38.37958000,-78.5117400,817.0
38.37959000,-78.5116800,815.0
38.37959000,-78.5115800,812.0
38.37961000,-78.5115200,810.0
38.37963000,-78.5114700,809.0
38.37964000,-78.5114100,807.0
38.37966000,-78.5113500,806.0
38.37969000,-78.5113000,805.0
38.37972000,-78.5112500,804.0
38.37975000,-78.5112000,803.0
38.37980000,-78.5111700,803.0
38.37984000,-78.5111400,803.0
38.37989000,-78.5111100,803.0
38.37993000,-78.5111000,803.0
38.37998000,-78.5110800,803.0
38.38003000,-78.5110700,804.0
38.38007000,-78.5110600,804.0
38.38012000,-78.5110600,805.0
38.38008000,-78.5110200,803.0
38.38004000,-78.5109900,801.0
38.38000000,-78.5109700,800.0
38.37995000,-78.5109400,799.0
38.37991000,-78.5109000,798.0
38.37985000,-78.5108600,797.0
38.37981000,-78.5108400,797.0
38.37976000,-78.5108200,796.0
38.37971000,-78.5108100,796.0
38.37966000,-78.5108100,795.0
38.37956000,-78.5108000,793.0
38.37952000,-78.5108000,792.0
38.37947000,-78.5108100,792.0
38.37943000,-78.5108300,791.0
38.37936000,-78.5108600,788.0
38.37932000,-78.5108400,786.0
38.37933000,-78.5107800,785.0
38.37934000,-78.5107000,784.0
38.37937000,-78.5106500,785.0
38.37939000,-78.5105900,784.0
38.37941000,-78.5105300,784.0
38.37943000,-78.5104700,783.0
38.37944000,-78.5104100,782.0
38.37945000,-78.5103500,781.0
38.37947000,-78.5102900,779.0
38.37948000,-78.5102400,778.0
38.37950000,-78.5101800,776.0
38.37953000,-78.5101200,774.0
38.37956000,-78.5100800,773.0
38.37960000,-78.5100300,772.0
38.37964000,-78.5100000,771.0
38.37961000,-78.5099400,768.0
38.37956000,-78.5099300,767.0
38.37951000,-78.5099000,766.0
38.37943000,-78.5098800,764.0
38.37937000,-78.5098700,763.0
38.37929000,-78.5098700,762.0
38.37922000,-78.5099000,761.0
38.37918000,-78.5099300,761.0
38.37914000,-78.5100000,762.0
38.37911000,-78.5100600,763.0
38.37908000,-78.5101100,763.0
38.37904000,-78.5101600,763.0
38.37901000,-78.5102100,763.0
38.37898000,-78.5102600,763.0
38.37895000,-78.5103200,763.0
38.37892000,-78.5103700,762.0
38.37889000,-78.5104300,762.0
38.37884000,-78.5104800,763.0
38.37880000,-78.5105200,763.0
38.37876000,-78.5105500,763.0
38.37871000,-78.5105800,763.0
38.37867000,-78.5106100,764.0
38.37870000,-78.5105400,763.0
38.37872000,-78.5104800,762.0
38.37873000,-78.5104100,762.0
38.37874000,-78.5103200,761.0
38.37875000,-78.5102300,760.0
38.37876000,-78.5101000,759.0
38.37877000,-78.5100100,758.0
38.37877000,-78.5098700,755.0
38.37879000,-78.5098000,754.0
38.37880000,-78.5096700,752.0
38.37882000,-78.5095200,748.0
38.37885000,-78.5093800,745.0
38.37890000,-78.5092700,744.0
38.37901000,-78.5091100,742.0
38.37905000,-78.5090600,741.0
38.37909000,-78.5090100,740.0
38.37913000,-78.5089800,739.0
38.37917000,-78.5089500,739.0
38.37921000,-78.5089300,738.0
38.37926000,-78.5089200,738.0
38.37931000,-78.5089200,739.0
38.37935000,-78.5089200,739.0
38.37940000,-78.5089100,739.0
38.37945000,-78.5089000,739.0
38.37949000,-78.5088700,739.0
38.37952000,-78.5088200,739.0
38.37953000,-78.5087700,738.0
38.37954000,-78.5087000,737.0
38.37956000,-78.5086200,737.0
38.37956000,-78.5085600,736.0
38.37956000,-78.5084600,736.0
38.37956000,-78.5083900,736.0
38.37956000,-78.5083100,736.0
38.37956000,-78.5082400,736.0
38.37956000,-78.5081700,737.0
38.37956000,-78.5081100,737.0
38.37957000,-78.5080500,738.0
38.37958000,-78.5079900,739.0
38.37959000,-78.5079300,739.0
38.37961000,-78.5078700,739.0
38.37964000,-78.5078100,740.0
38.37966000,-78.5077600,740.0
38.37970000,-78.5077000,739.0
38.37974000,-78.5076200,738.0
38.37980000,-78.5074200,733.0
38.37982000,-78.5073500,731.0
38.37982000,-78.5072900,729.0
38.37982000,-78.5072300,727.0
38.37983000,-78.5071700,726.0
38.37984000,-78.5071000,726.0
38.37985000,-78.5070300,725.0
38.37986000,-78.5069700,724.0
38.37988000,-78.5069100,724.0
38.37990000,-78.5068500,724.0
38.37993000,-78.5068000,723.0
38.37995000,-78.5067500,723.0
38.37996000,-78.5066900,723.0
38.37998000,-78.5066300,721.0
38.37999000,-78.5065600,719.0
38.37999000,-78.5065000,717.0
38.38000000,-78.5064300,714.0
38.38000000,-78.5063500,712.0
38.37999000,-78.5062900,711.0
38.37999000,-78.5062300,710.0
38.38000000,-78.5061700,709.0
38.38001000,-78.5061100,708.0
38.38003000,-78.5060500,708.0
38.38003000,-78.5059800,708.0
38.38003000,-78.5059200,708.0
38.38003000,-78.5058700,707.0
38.38000000,-78.5057800,706.0
38.37998000,-78.5056900,705.0
38.37996000,-78.5056400,705.0
38.37994000,-78.5055800,704.0
38.37993000,-78.5055200,704.0
38.37993000,-78.5054600,704.0
38.37993000,-78.5053900,704.0
38.37994000,-78.5053300,703.0
38.37996000,-78.5052800,703.0
38.37999000,-78.5052300,701.0
38.38003000,-78.5051800,700.0
38.38006000,-78.5051400,700.0
38.38009000,-78.5050800,699.0
38.38011000,-78.5050300,698.0
38.38014000,-78.5049800,697.0
38.38015000,-78.5049300,696.0
38.38022000,-78.5048200,695.0
38.38027000,-78.5047800,694.0
38.38031000,-78.5047300,694.0
38.38034000,-78.5046900,695.0
38.38038000,-78.5046500,696.0
38.38041000,-78.5045900,697.0
38.38043000,-78.5045200,698.0
38.38043000,-78.5044500,698.0
38.38041000,-78.5043800,698.0
38.38038000,-78.5043400,697.0
38.38036000,-78.5042800,697.0
38.38035000,-78.5042200,697.0
38.38034000,-78.5041500,696.0
38.38034000,-78.5040900,696.0
38.38034000,-78.5040300,695.0
38.38034000,-78.5039700,694.0
38.38034000,-78.5038800,694.0
38.38035000,-78.5038100,693.0
38.38035000,-78.5037500,693.0
38.38034000,-78.5036800,693.0
38.38034000,-78.5036200,693.0
38.38035000,-78.5035400,692.0
38.38036000,-78.5034800,692.0
38.38037000,-78.5034100,692.0
38.38037000,-78.5033400,691.0
38.38035000,-78.5032800,690.0
38.38033000,-78.5032300,689.0
38.38030000,-78.5031600,688.0
38.38029000,-78.5031000,687.0
38.38029000,-78.5030900,686.0
38.38028000,-78.5029600,684.0
38.38025000,-78.5029000,685.0
38.38022000,-78.5028500,685.0
38.38020000,-78.5027800,684.0
38.38020000,-78.5026900,683.0
38.38022000,-78.5026200,682.0
38.38022000,-78.5025400,681.0
38.38022000,-78.5024600,681.0
38.38020000,-78.5024100,681.0
38.38017000,-78.5023600,682.0
38.38015000,-78.5022900,681.0
38.38015000,-78.5022200,681.0
38.38017000,-78.5021700,680.0
38.38019000,-78.5021200,680.0
38.38020000,-78.5020500,679.0
38.38017000,-78.5019900,678.0
38.38014000,-78.5019400,677.0
38.38010000,-78.5018900,677.0
38.38009000,-78.5018300,677.0
38.38008000,-78.5017700,676.0
38.38008000,-78.5016900,675.0
38.38010000,-78.5016300,675.0
38.38010000,-78.5015700,675.0
38.38009000,-78.5015100,674.0
38.38006000,-78.5014600,673.0
38.38005000,-78.5014000,673.0
38.38006000,-78.5013400,673.0
38.38008000,-78.5012800,674.0
38.38008000,-78.5012300,674.0
38.38006000,-78.5011700,673.0
38.38002000,-78.5011200,672.0
38.37999000,-78.5010800,671.0
38.37998000,-78.5010200,670.0
38.37998000,-78.5009500,670.0
38.38001000,-78.5008800,670.0
38.38003000,-78.5008000,671.0
38.38005000,-78.5007400,671.0
38.38005000,-78.5006800,670.0
38.38005000,-78.5006100,670.0
38.38004000,-78.5005500,668.0
38.38002000,-78.5005000,667.0
38.38001000,-78.5004400,666.0
38.37998000,-78.5003800,664.0
38.37997000,-78.5003200,663.0
38.37997000,-78.5002600,663.0
38.37998000,-78.5002000,664.0
38.37996000,-78.5001400,664.0
38.37993000,-78.5000700,664.0
38.37990000,-78.5000100,664.0
38.37987000,-78.4999800,663.0
38.37982000,-78.4999600,662.0
38.37978000,-78.4999400,660.0
38.37972000,-78.4998700,659.0
38.37969000,-78.4998400,658.0
38.37964000,-78.4997900,656.0
38.37961000,-78.4997500,655.0
38.37958000,-78.4997000,654.0
38.37954000,-78.4996700,652.0
38.37949000,-78.4996500,650.0
38.37945000,-78.4996700,648.0
38.37940000,-78.4996900,646.0
38.37945000,-78.4996800,648.0
38.37950000,-78.4996500,650.0
38.37951000,-78.4995900,650.0
38.37951000,-78.4995300,650.0
38.37951000,-78.4994700,649.0
38.37951000,-78.4993700,649.0
38.37952000,-78.4993100,650.0
38.37953000,-78.4992500,650.0
38.37956000,-78.4991800,652.0
38.37959000,-78.4991100,654.0
38.37962000,-78.4990100,655.0
38.37963000,-78.4989500,656.0
38.37965000,-78.4988600,657.0
38.37967000,-78.4987800,657.0
38.37970000,-78.4987000,659.0
38.37973000,-78.4986400,660.0
38.37975000,-78.4985300,660.0
38.37975000,-78.4984600,659.0
38.37975000,-78.4983900,658.0
38.37975000,-78.4982900,656.0
38.37975000,-78.4982000,655.0
38.37975000,-78.4981400,654.0
38.37976000,-78.4980600,654.0
38.37977000,-78.4979800,655.0
38.37980000,-78.4978800,656.0
38.37982000,-78.4978100,657.0
38.37985000,-78.4977400,659.0
38.37988000,-78.4977000,660.0
38.37991000,-78.4976500,661.0
38.37995000,-78.4976100,663.0
38.37998000,-78.4975700,663.0
38.38002000,-78.4975400,665.0
38.38020000,-78.4974200,671.0
38.38025000,-78.4973600,672.0
38.38030000,-78.4972900,673.0
38.38035000,-78.4972000,675.0
38.38038000,-78.4970800,674.0
38.38039000,-78.4970100,674.0
38.38041000,-78.4969300,673.0
38.38044000,-78.4968600,672.0
38.38048000,-78.4967500,671.0
38.38053000,-78.4966400,669.0
38.38058000,-78.4965300,668.0
38.38062000,-78.4964900,668.0
38.38066000,-78.4964200,668.0
38.38068000,-78.4963700,667.0
38.38073000,-78.4963000,667.0
38.38077000,-78.4962600,668.0
38.38081000,-78.4962400,669.0
38.38087000,-78.4962100,670.0
38.38091000,-78.4962000,671.0
38.38103000,-78.4961700,673.0
38.38109000,-78.4961500,674.0
38.38116000,-78.4961100,674.0
38.38121000,-78.4960900,675.0
38.38126000,-78.4960600,675.0
38.38130000,-78.4960400,675.0
38.38136000,-78.4959500,673.0
38.38136000,-78.4959400,673.0
38.38137000,-78.4957600,666.0
38.38136000,-78.4957100,664.0
38.38137000,-78.4956400,661.0
38.38138000,-78.4955200,656.0
38.38139000,-78.4954700,654.0
38.38141000,-78.4954200,652.0
38.38144000,-78.4953500,651.0
38.38150000,-78.4952700,649.0
38.38154000,-78.4952200,650.0
38.38158000,-78.4951800,651.0
38.38165000,-78.4951200,652.0
38.38170000,-78.4950800,652.0
38.38174000,-78.4950300,652.0
38.38180000,-78.4949600,652.0
38.38186000,-78.4949000,651.0
38.38193000,-78.4948300,651.0
38.38198000,-78.4947600,650.0
38.38202000,-78.4947100,649.0
38.38206000,-78.4946800,649.0
38.38210000,-78.4946400,648.0
38.38202000,-78.4946700,648.0
38.38183000,-78.4947300,647.0
38.38169000,-78.4947900,646.0
38.38159000,-78.4948500,645.0
38.38149000,-78.4949100,643.0
38.38137000,-78.4949200,639.0
38.38122000,-78.4949400,633.0
38.38107000,-78.4950100,627.0
38.38099000,-78.4951000,625.0
38.38091000,-78.4952200,623.0
38.38082000,-78.4953100,622.0
38.38072000,-78.4953800,623.0
