Latitude,Longitude,Elevation
37.83135000,-79.0929200,1000.0
37.83090000,-79.0927600,998.0
37.83101000,-79.0928400,998.0
37.83100000,-79.0929600,999.0
37.83092000,-79.0928700,999.0
37.83083000,-79.0929000,999.0
37.83075000,-79.0929600,1000.0
37.83068000,-79.0930400,1000.0
37.83061000,-79.0931200,1000.0
37.83053000,-79.0931700,1001.0
37.83043000,-79.0931600,1002.0
37.83034000,-79.0931500,1004.0
37.83026000,-79.0930800,1006.0
37.83019000,-79.0930100,1008.0
37.83011000,-79.0929400,1010.0
37.83005000,-79.0928500,1012.0
37.82999000,-79.0927600,1014.0
37.82991000,-79.0926900,1014.0
37.82988000,-79.0925800,1014.0
37.82984000,-79.0924700,1014.0
37.82979000,-79.0923600,1016.0
37.82975000,-79.0922600,1018.0
37.82967000,-79.0922000,1020.0
37.82958000,-79.0921600,1021.0
37.82950000,-79.0921100,1023.0
37.82942000,-79.0920300,1025.0
37.82935000,-79.0919700,1027.0
37.82926000,-79.0919200,1029.0
37.82917000,-79.0918800,1031.0
37.82909000,-79.0918400,1032.0
37.82901000,-79.0917800,1033.0
37.82893000,-79.0917200,1034.0
37.82884000,-79.0916900,1034.0
37.82875000,-79.0916600,1033.0
37.82866000,-79.0916500,1033.0
37.82856000,-79.0916700,1032.0
37.82847000,-79.0916900,1032.0
37.82836000,-79.0917000,1032.0
37.82825000,-79.0917100,1031.0
37.82815000,-79.0917500,1030.0
37.82809000,-79.0918400,1031.0
37.82802000,-79.0919200,1032.0
37.82795000,-79.0920000,1033.0
37.82788000,-79.0920700,1034.0
37.82779000,-79.0921100,1035.0
37.82771000,-79.0921700,1035.0
37.82765000,-79.0922500,1036.0
37.82756000,-79.0923000,1035.0
37.82747000,-79.0923200,1033.0
37.82738000,-79.0923400,1031.0
37.82728000,-79.0923500,1029.0
37.82718000,-79.0923400,1026.0
37.82709000,-79.0923300,1024.0
37.82700000,-79.0923500,1022.0
37.82693000,-79.0924300,1023.0
37.82685000,-79.0925100,1023.0
37.82678000,-79.0925800,1023.0
37.82671000,-79.0926600,1023.0
37.82663000,-79.0927300,1023.0
37.82655000,-79.0927800,1023.0
37.82646000,-79.0928300,1023.0
37.82636000,-79.0928700,1023.0
37.82626000,-79.0928800,1022.0
37.82617000,-79.0929100,1021.0
37.82607000,-79.0929200,1019.0
37.82598000,-79.0929400,1018.0
37.82588000,-79.0929900,1017.0
37.82579000,-79.0930200,1016.0
37.82570000,-79.0930600,1015.0
37.82562000,-79.0931300,1015.0
37.82553000,-79.0931800,1014.0
37.82544000,-79.0931800,1012.0
37.82535000,-79.0932100,1010.0
37.82526000,-79.0932400,1009.0
37.82517000,-79.0932900,1008.0
37.82510000,-79.0933500,1008.0
37.82501000,-79.0933700,1006.0
37.82502000,-79.0934900,1008.0
37.82511000,-79.0935400,1010.0
37.82520000,-79.0935200,1012.0
37.82528000,-79.0935300,1013.0
37.82537000,-79.0934900,1015.0
37.82547000,-79.0934800,1018.0
37.82556000,-79.0934500,1020.0
37.82566000,-79.0934200,1022.0
37.82575000,-79.0933900,1024.0
37.82583000,-79.0933500,1026.0
37.82593000,-79.0933300,1028.0
37.82602000,-79.0933000,1030.0
37.82600000,-79.0934100,1032.0
37.82598000,-79.0935200,1034.0
37.82590000,-79.0935800,1033.0
37.82587000,-79.0936900,1035.0
37.82587000,-79.0938100,1038.0
37.82588000,-79.0939300,1042.0
37.82591000,-79.0940400,1044.0
37.82592000,-79.0941700,1047.0
37.82590000,-79.0942800,1047.0
37.82598000,-79.0943700,1051.0
37.82605000,-79.0942900,1052.0
37.82611000,-79.0941900,1053.0
37.82620000,-79.0941500,1054.0
37.82626000,-79.0940600,1054.0
37.82638000,-79.0940600,1056.0
37.82644000,-79.0939600,1056.0
37.82650000,-79.0938700,1055.0
37.82659000,-79.0939100,1058.0
37.82667000,-79.0939600,1062.0
37.82676000,-79.0939500,1064.0
37.82685000,-79.0939900,1067.0
37.82693000,-79.0940500,1071.0
37.82702000,-79.0940100,1072.0
37.82694000,-79.0940900,1072.0
37.82685000,-79.0941200,1071.0
