Latitude,Longitude,Elevation
38.59313000,-78.3756000,1130.0
38.59310000,-78.3755800,1129.0
38.59313000,-78.3755300,1130.0
38.59320000,-78.3753500,1131.0
38.59322000,-78.3751800,1132.0
38.59322000,-78.3750000,1133.0
38.59320000,-78.3748300,1133.0
38.59319000,-78.3746800,1133.0
38.59320000,-78.3745900,1133.0
38.59324000,-78.3745100,1133.0
38.59322000,-78.3744200,1133.0
38.59321000,-78.3743100,1132.0
38.59324000,-78.3742000,1132.0
38.59330000,-78.3741100,1133.0
38.59340000,-78.3740700,1135.0
38.59351000,-78.3740000,1137.0
38.59360000,-78.3739000,1139.0
38.59362000,-78.3738200,1139.0
38.59362000,-78.3737200,1139.0
38.59362000,-78.3734500,1139.0
38.59361000,-78.3732900,1139.0
38.59364000,-78.3731400,1139.0
38.59372000,-78.3730100,1142.0
38.59373000,-78.3728800,1143.0
38.59377000,-78.3726500,1145.0
38.59385000,-78.3725400,1146.0
38.59393000,-78.3724200,1147.0
38.59403000,-78.3723400,1149.0
38.59412000,-78.3722100,1150.0
38.59414000,-78.3721000,1151.0
38.59414000,-78.3719400,1151.0
38.59413000,-78.3717600,1152.0
38.59411000,-78.3716100,1153.0
38.59413000,-78.3714700,1154.0
38.59417000,-78.3714000,1155.0
38.59425000,-78.3713800,1157.0
38.59435000,-78.3714200,1158.0
38.59444000,-78.3714700,1159.0
38.59452000,-78.3714900,1159.0
38.59459000,-78.3714000,1160.0
38.59486000,-78.3709600,1166.0
38.59529000,-78.3703300,1172.0
38.59539000,-78.3702500,1172.0
38.59546000,-78.3702700,1172.0
38.59557000,-78.3703400,1172.0
38.59566000,-78.3704700,1172.0
38.59582000,-78.3705900,1173.0
38.59592000,-78.3707200,1175.0
38.59605000,-78.3708100,1177.0
38.59619000,-78.3708800,1180.0
38.59625000,-78.3709300,1182.0
38.59633000,-78.3710300,1184.0
38.59635000,-78.3711900,1187.0
38.59640000,-78.3712700,1188.0
38.59655000,-78.3712300,1191.0
38.59665000,-78.3711600,1192.0
38.59668000,-78.3710700,1191.0
38.59670000,-78.3710000,1190.0
38.59674000,-78.3709600,1190.0
38.59679000,-78.3709600,1191.0
38.59681000,-78.3709600,1191.0
38.59692000,-78.3709900,1193.0
38.59704000,-78.3709500,1194.0
38.59717000,-78.3708900,1193.0
38.59725000,-78.3708400,1193.0
38.59730000,-78.3708500,1194.0
38.59734000,-78.3709000,1195.0
38.59743000,-78.3709400,1197.0
38.59748000,-78.3709200,1197.0
38.59754000,-78.3708700,1196.0
38.59762000,-78.3708400,1196.0
38.59771000,-78.3708200,1195.0
38.59778000,-78.3707900,1194.0
38.59783000,-78.3707700,1193.0
38.59786000,-78.3708200,1195.0
38.59791000,-78.3708900,1197.0
38.59799000,-78.3709200,1197.0
38.59807000,-78.3709700,1198.0
38.59823000,-78.3711100,1200.0
38.59829000,-78.3712000,1202.0
38.59834000,-78.3712900,1204.0
38.59846000,-78.3713700,1205.0
38.59848000,-78.3714100,1205.0
38.59847000,-78.3714700,1206.0
38.59848000,-78.3715500,1206.0
38.59844000,-78.3716200,1207.0
38.59843000,-78.3716300,1207.0
38.59837000,-78.3716400,1208.0
38.59825000,-78.3717400,1210.0
38.59815000,-78.3718600,1213.0
38.59806000,-78.3720200,1216.0
38.59801000,-78.3721500,1217.0
38.59801000,-78.3723500,1218.0
38.59801000,-78.3725800,1218.0
38.59801000,-78.3727700,1218.0
38.59809000,-78.3729600,1216.0
38.59815000,-78.3731000,1214.0
38.59819000,-78.3732100,1212.0
38.59831000,-78.3733600,1209.0
38.59837000,-78.3733800,1207.0
38.59842000,-78.3734200,1205.0
38.59847000,-78.3735000,1202.0
38.59847000,-78.3735100,1202.0
38.59847000,-78.3735000,1202.0
38.59842000,-78.3734200,1205.0
38.59837000,-78.3733800,1207.0
38.59831000,-78.3733600,1209.0
38.59819000,-78.3732100,1212.0
38.59815000,-78.3731000,1214.0
38.59809000,-78.3729600,1216.0
38.59801000,-78.3727700,1218.0
38.59791000,-78.3726800,1218.0
38.59773000,-78.3726100,1218.0
38.59765000,-78.3725600,1217.0
38.59762000,-78.3724800,1217.0
38.59758000,-78.3724100,1217.0
38.59750000,-78.3723500,1216.0
38.59733000,-78.3722300,1213.0
38.59726000,-78.3721800,1212.0
38.59719000,-78.3721700,1211.0
38.59708000,-78.3722000,1208.0
38.59693000,-78.3722600,1204.0
38.59687000,-78.3722600,1202.0
38.59681000,-78.3722400,1201.0
38.59675000,-78.3722000,1200.0
38.59670000,-78.3721600,1198.0
38.59667000,-78.3720500,1198.0
38.59666000,-78.3719200,1197.0
38.59672000,-78.3716600,1197.0
38.59661000,-78.3714000,1194.0
38.59640000,-78.3712700,1188.0
38.59635000,-78.3711900,1187.0
38.59633000,-78.3710300,1184.0
38.59625000,-78.3709300,1182.0
38.59619000,-78.3708800,1180.0
