Latitude,Longitude,Elevation
36.86477000,-81.9469800,928.0
36.86462000,-81.9470500,928.0
36.86451000,-81.9471200,928.0
36.86432000,-81.9472000,929.0
36.86417000,-81.9472800,933.0
36.86410000,-81.9473000,934.0
36.86396000,-81.9473200,935.0
36.86384000,-81.9473300,935.0
36.86372000,-81.9473100,933.0
36.86330000,-81.9473500,933.0
36.86325000,-81.9473600,933.0
36.86319000,-81.9474000,933.0
36.86314000,-81.9474500,934.0
36.86309000,-81.9475400,936.0
36.86303000,-81.9476200,936.0
36.86294000,-81.9477000,935.0
36.86288000,-81.9477700,933.0
36.86287000,-81.9478000,934.0
36.86283000,-81.9478900,934.0
36.86278000,-81.9479700,933.0
36.86274000,-81.9480000,932.0
36.86267000,-81.9480600,931.0
36.86261000,-81.9481500,931.0
36.86258000,-81.9482100,932.0
36.86255000,-81.9482900,932.0
36.86254000,-81.9483700,933.0
36.86254000,-81.9484500,934.0
36.86259000,-81.9486600,938.0
36.86259000,-81.9487500,939.0
36.86259000,-81.9488400,941.0
36.86258000,-81.9489100,941.0
36.86255000,-81.9490000,942.0
36.86249000,-81.9491600,942.0
36.86242000,-81.9493100,942.0
36.86233000,-81.9494500,942.0
36.86227000,-81.9496000,942.0
36.86223000,-81.9497000,941.0
36.86221000,-81.9498100,943.0
36.86219000,-81.9499700,944.0
36.86218000,-81.9500300,945.0
36.86218000,-81.9500700,944.0
36.86220000,-81.9501900,945.0
36.86222000,-81.9502900,944.0
36.86226000,-81.9503900,943.0
36.86239000,-81.9505500,943.0
36.86256000,-81.9507500,942.0
36.86279000,-81.9509800,944.0
36.86292000,-81.9511300,944.0
36.86306000,-81.9513300,946.0
36.86308000,-81.9513600,946.0
36.86308000,-81.9514100,946.0
36.86307000,-81.9514600,946.0
36.86307000,-81.9514800,946.0
36.86305000,-81.9515000,946.0
36.86301000,-81.9515400,946.0
36.86292000,-81.9515600,945.0
36.86273000,-81.9515900,942.0
36.86259000,-81.9516500,941.0
36.86246000,-81.9517100,940.0
36.86236000,-81.9517800,940.0
36.86225000,-81.9518900,940.0
36.86215000,-81.9520000,942.0
36.86210000,-81.9520800,943.0
36.86201000,-81.9522000,945.0
36.86194000,-81.9522700,946.0
36.86186000,-81.9523600,947.0
36.86177000,-81.9524800,949.0
36.86173000,-81.9525600,950.0
36.86170000,-81.9526300,950.0
36.86168000,-81.9528900,952.0
36.86169000,-81.9529600,952.0
36.86168000,-81.9530200,952.0
36.86166000,-81.9530700,951.0
36.86142000,-81.9533500,946.0
36.86143000,-81.9533700,946.0
36.86154000,-81.9535900,949.0
36.86155000,-81.9536400,949.0
36.86156000,-81.9537500,949.0
36.86157000,-81.9538300,949.0
36.86156000,-81.9539300,949.0
36.86152000,-81.9540200,949.0
36.86148000,-81.9541100,949.0
36.86124000,-81.9544000,944.0
36.86121000,-81.9544700,944.0
36.86120000,-81.9545400,944.0
36.86120000,-81.9546100,944.0
36.86126000,-81.9548900,947.0
36.86126000,-81.9549900,948.0
36.86117000,-81.9553800,948.0
36.86115000,-81.9555000,949.0
36.86116000,-81.9555500,950.0
36.86117000,-81.9555800,950.0
36.86119000,-81.9556100,950.0
36.86117000,-81.9556900,950.0
36.86117000,-81.9557500,951.0
36.86117000,-81.9558200,951.0
36.86117000,-81.9558800,951.0
36.86117000,-81.9559500,950.0
36.86118000,-81.9560100,950.0
36.86122000,-81.9560800,950.0
36.86125000,-81.9561200,950.0
36.86127000,-81.9561800,949.0
36.86130000,-81.9562300,949.0
36.86134000,-81.9562700,949.0
36.86142000,-81.9563100,950.0
36.86149000,-81.9563600,951.0
36.86154000,-81.9564000,952.0
36.86160000,-81.9564200,953.0
36.86170000,-81.9565300,956.0
36.86172000,-81.9566100,956.0
36.86168000,-81.9569300,954.0
36.86168000,-81.9570900,955.0
36.86168000,-81.9573000,956.0
36.86170000,-81.9574100,956.0
36.86170000,-81.9575100,956.0
36.86170000,-81.9575800,956.0
36.86170000,-81.9576400,956.0
36.86172000,-81.9577700,956.0
36.86177000,-81.9579200,957.0
36.86184000,-81.9580500,958.0
