Latitude,Longitude,Elevation
38.89604000,-77.0667900,2.0
38.89580000,-77.0667200,3.0
38.89576000,-77.0667000,2.0
38.89572000,-77.0666800,2.0
38.89569000,-77.0666200,2.0
38.89569000,-77.0665600,2.0
38.89569000,-77.0664800,2.0
38.89570000,-77.0664200,2.0
38.89573000,-77.0663600,2.0
38.89577000,-77.0663000,2.0
38.89580000,-77.0662400,2.0
38.89583000,-77.0661800,2.0
38.89586000,-77.0661300,2.0
38.89589000,-77.0660800,2.0
38.89592000,-77.0660200,2.0
38.89594000,-77.0659600,2.0
38.89597000,-77.0658900,2.0
38.89599000,-77.0658400,2.0
38.89603000,-77.0657900,2.0
38.89605000,-77.0657300,2.0
38.89609000,-77.0656700,2.0
38.89613000,-77.0656200,2.0
38.89616000,-77.0655600,2.0
38.89619000,-77.0655200,2.0
38.89623000,-77.0654800,2.0
38.89626000,-77.0654200,2.0
38.89629000,-77.0653800,2.0
38.89633000,-77.0653300,2.0
38.89635000,-77.0652700,2.0
38.89639000,-77.0652300,3.0
38.89639000,-77.0652100,4.0
38.89648000,-77.0650400,12.0
38.89648000,-77.0649700,13.0
38.89644000,-77.0649300,13.0
38.89641000,-77.0648900,13.0
38.89637000,-77.0648400,13.0
38.89635000,-77.0647900,13.0
38.89635000,-77.0647100,14.0
38.89636000,-77.0646400,15.0
38.89638000,-77.0645900,15.0
38.89641000,-77.0645200,16.0
38.89644000,-77.0644700,16.0
38.89648000,-77.0644100,17.0
38.89651000,-77.0643700,17.0
38.89654000,-77.0643300,18.0
38.89658000,-77.0642900,18.0
38.89662000,-77.0642500,18.0
38.89667000,-77.0642300,18.0
38.89671000,-77.0642100,18.0
38.89676000,-77.0642000,18.0
38.89681000,-77.0641700,18.0
38.89686000,-77.0641500,19.0
38.89690000,-77.0641200,20.0
38.89694000,-77.0641000,20.0
38.89699000,-77.0640900,20.0
38.89705000,-77.0640700,20.0
38.89710000,-77.0640500,21.0
38.89715000,-77.0640400,21.0
38.89720000,-77.0640400,20.0
38.89726000,-77.0640300,21.0
38.89731000,-77.0640300,21.0
38.89737000,-77.0640200,22.0
38.89741000,-77.0640000,22.0
38.89742000,-77.0640000,22.0
38.89719000,-77.0640300,21.0
38.89715000,-77.0640500,21.0
38.89710000,-77.0640600,21.0
38.89705000,-77.0640700,20.0
38.89699000,-77.0640800,20.0
38.89694000,-77.0640900,20.0
38.89689000,-77.0640900,20.0
38.89684000,-77.0641000,20.0
38.89679000,-77.0641200,20.0
38.89674000,-77.0641600,19.0
38.89670000,-77.0641900,18.0
38.89665000,-77.0642100,18.0
38.89659000,-77.0642200,19.0
38.89654000,-77.0642200,19.0
38.89650000,-77.0642000,20.0
38.89646000,-77.0641700,21.0
38.89644000,-77.0641100,22.0
38.89641000,-77.0640600,22.0
38.89639000,-77.0640100,23.0
38.89638000,-77.0639500,23.0
38.89636000,-77.0639000,23.0
38.89634000,-77.0638500,24.0
38.89633000,-77.0637900,24.0
38.89630000,-77.0637400,25.0
38.89628000,-77.0636700,25.0
38.89624000,-77.0636200,25.0
38.89620000,-77.0635700,26.0
38.89615000,-77.0634900,26.0
38.89611000,-77.0634400,26.0
38.89608000,-77.0633900,26.0
38.89604000,-77.0633500,26.0
38.89600000,-77.0633100,26.0
38.89597000,-77.0632700,26.0
38.89592000,-77.0632200,26.0
38.89587000,-77.0632000,26.0
38.89583000,-77.0631700,26.0
38.89577000,-77.0631500,25.0
38.89573000,-77.0631300,24.0
38.89568000,-77.0631100,24.0
38.89563000,-77.0630800,23.0
38.89557000,-77.0630600,22.0
38.89552000,-77.0630600,22.0
38.89546000,-77.0630500,22.0
38.89540000,-77.0630400,22.0
38.89535000,-77.0630300,22.0
38.89530000,-77.0630300,22.0
38.89528000,-77.0630300,22.0
38.89484000,-77.0628700,21.0
38.89479000,-77.0628700,21.0
38.89474000,-77.0628700,20.0
38.89468000,-77.0628700,19.0
38.89462000,-77.0628700,19.0
38.89456000,-77.0628700,18.0
38.89451000,-77.0628700,17.0
38.89445000,-77.0628700,16.0
38.89438000,-77.0628600,17.0
38.89430000,-77.0628600,17.0
38.89421000,-77.0628600,17.0
38.89415000,-77.0628600,18.0
38.89409000,-77.0628400,19.0
38.89402000,-77.0628200,20.0
38.89394000,-77.0627900,21.0
38.89386000,-77.0627700,22.0
38.89377000,-77.0627400,22.0
38.89371000,-77.0627100,22.0
38.89366000,-77.0626800,22.0
38.89360000,-77.0626300,22.0
38.89356000,-77.0626100,21.0
38.89355000,-77.0626000,21.0
38.89325000,-77.0624200,16.0
38.89320000,-77.0623900,15.0
38.89310000,-77.0623300,14.0
38.89300000,-77.0622800,13.0
38.89293000,-77.0622100,14.0
38.89288000,-77.0621600,14.0
38.89284000,-77.0621100,14.0
38.89277000,-77.0620400,13.0
38.89271000,-77.0619900,13.0
38.89265000,-77.0619400,12.0
38.89259000,-77.0618800,11.0
38.89254000,-77.0618200,11.0
38.89251000,-77.0617700,11.0
38.89249000,-77.0617200,10.0
38.89246000,-77.0616500,10.0
38.89244000,-77.0615800,10.0
38.89244000,-77.0615100,10.0
38.89243000,-77.0614300,10.0
38.89243000,-77.0613600,9.0
38.89242000,-77.0612400,9.0
38.89240000,-77.0611800,9.0
38.89239000,-77.0611300,9.0
38.89235000,-77.0610200,8.0
38.89233000,-77.0609200,7.0
38.89233000,-77.0607700,5.0
38.89234000,-77.0606400,3.0
38.89240000,-77.0605100,1.0
38.89246000,-77.0603800,0.0
38.89250000,-77.0602900,0.0
38.89253000,-77.0602400,-1.0
38.89256000,-77.0601800,-1.0
38.89261000,-77.0601800,-1.0
38.89267000,-77.0601800,0.0
38.89274000,-77.0601900,1.0
38.89281000,-77.0601900,1.0
38.89286000,-77.0601900,1.0
38.89295000,-77.0601900,0.0
38.89305000,-77.0602000,-1.0
38.89314000,-77.0602000,-1.0
38.89323000,-77.0601900,-2.0
38.89334000,-77.0601900,-2.0
38.89345000,-77.0601900,-1.0
38.89357000,-77.0601900,-1.0
38.89368000,-77.0601900,0.0
38.89380000,-77.0602200,-1.0
38.89399000,-77.0602800,-1.0
38.89417000,-77.0603500,2.0
38.89431000,-77.0603700,3.0
38.89446000,-77.0604000,4.0
38.89455000,-77.0604100,5.0
38.89456000,-77.0604100,5.0
38.89491000,-77.0604200,7.0
38.89507000,-77.0604200,8.0
38.89522000,-77.0604400,8.0
38.89538000,-77.0604600,7.0
38.89558000,-77.0604600,5.0
38.89578000,-77.0604600,3.0
38.89594000,-77.0604400,5.0
38.89619000,-77.0604000,8.0
38.89635000,-77.0603500,10.0
38.89657000,-77.0603200,12.0
38.89669000,-77.0603200,12.0
38.89689000,-77.0603700,12.0
38.89695000,-77.0603900,12.0
38.89735000,-77.0606500,9.0
38.89745000,-77.0607300,8.0
38.89750000,-77.0607900,8.0
38.89764000,-77.0608900,8.0
38.89780000,-77.0610000,7.0
38.89797000,-77.0611300,5.0
38.89809000,-77.0612600,4.0
38.89836000,-77.0614700,5.0
38.89851000,-77.0616200,8.0
38.89864000,-77.0617700,8.0
38.89875000,-77.0619500,9.0
38.89882000,-77.0620800,10.0
38.89889000,-77.0622000,12.0
38.89897000,-77.0623100,14.0
38.89906000,-77.0624100,16.0
38.89910000,-77.0624600,17.0
38.89926000,-77.0627000,11.0
38.89930000,-77.0627200,9.0
38.89935000,-77.0627900,7.0
38.89935000,-77.0628900,9.0
38.89935000,-77.0630000,12.0
38.89936000,-77.0631100,13.0
38.89939000,-77.0632100,12.0
38.89941000,-77.0632700,12.0
38.89942000,-77.0633200,12.0
38.89947000,-77.0636100,9.0
38.89945000,-77.0636600,10.0
38.89938000,-77.0637900,11.0
38.89933000,-77.0639200,12.0
38.89932000,-77.0640500,13.0
38.89932000,-77.0641100,13.0
38.89932000,-77.0642400,13.0
38.89931000,-77.0643700,13.0
38.89930000,-77.0644600,13.0
38.89924000,-77.0648500,12.0
38.89922000,-77.0649100,13.0
38.89919000,-77.0649600,13.0
38.89914000,-77.0650600,14.0
38.89912000,-77.0651800,14.0
38.89912000,-77.0653700,15.0
38.89912000,-77.0655200,16.0
38.89911000,-77.0656900,15.0
38.89909000,-77.0658300,14.0
38.89907000,-77.0659900,10.0
38.89905000,-77.0660900,7.0
38.89902000,-77.0661700,6.0
38.89900000,-77.0662600,5.0
38.89889000,-77.0663600,4.0
38.89883000,-77.0663600,4.0
38.89876000,-77.0663600,4.0
38.89866000,-77.0663200,5.0
38.89860000,-77.0662700,5.0
38.89851000,-77.0662000,6.0
38.89843000,-77.0661600,6.0
38.89825000,-77.0660700,7.0
38.89820000,-77.0660600,7.0
38.89813000,-77.0660400,8.0
38.89798000,-77.0660100,9.0
38.89790000,-77.0659800,9.0
38.89783000,-77.0659300,10.0
38.89774000,-77.0658500,11.0
38.89760000,-77.0657800,13.0
38.89749000,-77.0656900,15.0
38.89740000,-77.0656200,16.0
38.89726000,-77.0655200,17.0
38.89712000,-77.0654300,17.0
38.89706000,-77.0654000,16.0
38.89687000,-77.0652900,15.0
38.89683000,-77.0652600,15.0
38.89679000,-77.0652300,15.0
38.89673000,-77.0652100,14.0
38.89662000,-77.0651400,13.0
38.89659000,-77.0651200,12.0
38.89645000,-77.0651500,8.0
38.89637000,-77.0653200,2.0
38.89632000,-77.0654000,2.0
38.89630000,-77.0654500,2.0
38.89627000,-77.0655000,2.0
38.89624000,-77.0655600,2.0
38.89619000,-77.0656000,2.0
38.89616000,-77.0656600,2.0
38.89608000,-77.0657400,2.0
38.89604000,-77.0658100,2.0
38.89598000,-77.0659200,2.0
38.89596000,-77.0659800,2.0
38.89592000,-77.0660900,2.0
38.89589000,-77.0661400,2.0
38.89586000,-77.0662000,2.0
38.89583000,-77.0662500,2.0
38.89578000,-77.0662900,2.0
38.89574000,-77.0663300,2.0
38.89571000,-77.0663800,2.0
38.89570000,-77.0664500,2.0
38.89569000,-77.0665300,2.0
38.89570000,-77.0665900,2.0
38.89574000,-77.0666300,2.0
38.89579000,-77.0666500,2.0
38.89584000,-77.0666700,2.0
38.89589000,-77.0666800,2.0
38.89591000,-77.0666900,2.0
38.89604000,-77.0667900,2.0
