Latitude,Longitude,Elevation
37.83842000,-79.0232700,300.0
37.83842000,-79.0229000,295.0
37.83846000,-79.0228600,295.0
37.83848000,-79.0228100,295.0
37.83849000,-79.0227700,294.0
37.83848000,-79.0227100,294.0
37.83845000,-79.0226700,294.0
37.83844000,-79.0226300,294.0
37.83842000,-79.0225900,294.0
37.83841000,-79.0225500,294.0
37.83840000,-79.0225100,294.0
37.83840000,-79.0224700,294.0
37.83840000,-79.0224300,294.0
37.83842000,-79.0224000,294.0
37.83844000,-79.0223700,294.0
37.83845000,-79.0223300,294.0
37.83845000,-79.0222900,294.0
37.83845000,-79.0222500,294.0
37.83845000,-79.0222100,295.0
37.83846000,-79.0221600,295.0
37.83847000,-79.0221200,295.0
37.83846000,-79.0220800,295.0
37.83845000,-79.0220400,295.0
37.83845000,-79.0220100,295.0
37.83845000,-79.0219700,296.0
37.83845000,-79.0219300,296.0
37.83845000,-79.0218900,297.0
37.83847000,-79.0218500,297.0
37.83849000,-79.0218300,298.0
37.83853000,-79.0218000,299.0
37.83855000,-79.0217800,300.0
37.83858000,-79.0217600,300.0
37.83860000,-79.0217500,301.0
37.83863000,-79.0217300,302.0
37.83866000,-79.0217200,303.0
37.83869000,-79.0217200,303.0
37.83872000,-79.0217500,303.0
37.83874000,-79.0217600,303.0
37.83877000,-79.0217600,304.0
37.83879000,-79.0217300,305.0
37.83877000,-79.0217000,305.0
37.83875000,-79.0216700,305.0
37.83874000,-79.0216400,306.0
37.83872000,-79.0216100,306.0
37.83871000,-79.0215700,307.0
37.83870000,-79.0215300,307.0
37.83870000,-79.0215600,307.0
37.83872000,-79.0215300,308.0
37.83871000,-79.0215000,308.0
37.83868000,-79.0214700,308.0
37.83867000,-79.0214300,309.0
37.83866000,-79.0214000,309.0
37.83865000,-79.0213600,310.0
37.83862000,-79.0213300,310.0
37.83859000,-79.0212900,310.0
37.83857000,-79.0212700,310.0
37.83855000,-79.0212400,310.0
37.83857000,-79.0212100,311.0
37.83860000,-79.0212200,311.0
37.83864000,-79.0212300,312.0
37.83867000,-79.0212400,313.0
37.83870000,-79.0212600,313.0
37.83873000,-79.0212700,314.0
37.83876000,-79.0212900,314.0
37.83880000,-79.0213000,315.0
37.83883000,-79.0213100,315.0
37.83885000,-79.0213300,315.0
37.83888000,-79.0213600,315.0
37.83891000,-79.0213800,315.0
37.83894000,-79.0214000,316.0
37.83896000,-79.0214200,316.0
37.83899000,-79.0214300,316.0
37.83902000,-79.0214400,317.0
37.83905000,-79.0214300,318.0
37.83907000,-79.0214000,319.0
37.83905000,-79.0213600,320.0
37.83903000,-79.0213400,320.0
37.83902000,-79.0213100,321.0
37.83901000,-79.0212600,321.0
37.83900000,-79.0212200,323.0
37.83898000,-79.0211900,323.0
37.83896000,-79.0211600,323.0
37.83895000,-79.0211100,324.0
37.83894000,-79.0210700,324.0
37.83894000,-79.0210300,326.0
37.83894000,-79.0209900,327.0
37.83893000,-79.0209500,327.0
37.83891000,-79.0209300,327.0
37.83892000,-79.0208900,328.0
37.83895000,-79.0208700,330.0
37.83897000,-79.0208600,331.0
37.83900000,-79.0208500,333.0
37.83904000,-79.0208400,335.0
37.83907000,-79.0208500,336.0
37.83910000,-79.0208700,337.0
37.83912000,-79.0209000,336.0
37.83915000,-79.0209300,337.0
37.83917000,-79.0209500,337.0
37.83920000,-79.0209600,338.0
37.83923000,-79.0209900,338.0
37.83925000,-79.0210100,338.0
37.83928000,-79.0210300,339.0
37.83930000,-79.0210600,338.0
37.83933000,-79.0210800,339.0
37.83935000,-79.0211000,339.0
37.83938000,-79.0211000,340.0
37.83941000,-79.0211100,341.0
37.83938000,-79.0211000,340.0
37.83935000,-79.0211000,339.0
37.83932000,-79.0210800,339.0
37.83929000,-79.0210700,338.0
37.83926000,-79.0210600,337.0
37.83924000,-79.0210300,337.0
37.83923000,-79.0210000,337.0
37.83921000,-79.0209600,338.0
37.83921000,-79.0209100,340.0
37.83922000,-79.0208800,341.0
37.83922000,-79.0208200,343.0
37.83922000,-79.0207900,344.0
37.83921000,-79.0207600,344.0
37.83920000,-79.0207200,345.0
37.83919000,-79.0206900,345.0
37.83918000,-79.0206400,347.0
37.83918000,-79.0206000,348.0
37.83917000,-79.0205700,348.0
37.83915000,-79.0205400,348.0
37.83913000,-79.0205100,348.0
37.83911000,-79.0204700,348.0
37.83910000,-79.0204200,348.0
37.83909000,-79.0203900,348.0
37.83909000,-79.0203500,349.0
37.83908000,-79.0203100,349.0
37.83907000,-79.0202700,349.0
37.83907000,-79.0202300,350.0
37.83906000,-79.0201900,351.0
37.83905000,-79.0201500,351.0
37.83903000,-79.0201200,351.0
37.83903000,-79.0200700,352.0
37.83903000,-79.0200300,353.0
37.83902000,-79.0199800,353.0
37.83902000,-79.0199400,353.0
37.83903000,-79.0199000,354.0
37.83903000,-79.0198500,354.0
37.83904000,-79.0198000,355.0
37.83904000,-79.0197500,356.0
37.83907000,-79.0197500,357.0
37.83908000,-79.0197200,357.0
37.83908000,-79.0196800,358.0
37.83911000,-79.0196800,359.0
37.83913000,-79.0197100,360.0
37.83913000,-79.0197500,359.0
37.83915000,-79.0197900,359.0
37.83918000,-79.0198100,360.0
37.83920000,-79.0198300,361.0
37.83922000,-79.0198600,362.0
37.83924000,-79.0198900,362.0
37.83927000,-79.0199200,363.0
37.83929000,-79.0199500,364.0
37.83931000,-79.0199700,364.0
37.83934000,-79.0200000,365.0
37.83936000,-79.0200200,365.0
37.83938000,-79.0200400,365.0
37.83941000,-79.0200800,366.0
37.83943000,-79.0201000,366.0
37.83946000,-79.0201100,367.0
37.83950000,-79.0201200,367.0
37.83953000,-79.0201500,367.0
37.83955000,-79.0201600,367.0
37.83958000,-79.0201800,367.0
37.83962000,-79.0202000,367.0
37.83966000,-79.0202100,368.0
37.83970000,-79.0202200,368.0
37.83974000,-79.0202200,368.0
37.83977000,-79.0202200,368.0
37.83981000,-79.0202300,368.0
37.83984000,-79.0202300,368.0
37.83987000,-79.0202400,368.0
37.83990000,-79.0202300,369.0
37.83993000,-79.0202200,369.0
37.83996000,-79.0202000,370.0
37.83999000,-79.0201900,370.0
37.84002000,-79.0201700,371.0
37.84004000,-79.0201500,372.0
37.84007000,-79.0201200,373.0
37.84010000,-79.0201100,374.0
37.84013000,-79.0201000,375.0
37.84017000,-79.0201100,375.0
37.84021000,-79.0201000,376.0
37.84024000,-79.0200800,376.0
37.84027000,-79.0200600,377.0
37.84029000,-79.0200400,378.0
37.84031000,-79.0200100,378.0
37.84034000,-79.0199900,379.0
37.84037000,-79.0199600,380.0
37.84038000,-79.0199300,380.0
37.84042000,-79.0199000,381.0
37.84045000,-79.0198800,382.0
37.84048000,-79.0198700,382.0
37.84050000,-79.0198500,382.0
37.84052000,-79.0198200,383.0
37.84055000,-79.0198100,383.0
37.84057000,-79.0198000,383.0
37.84060000,-79.0197800,383.0
37.84063000,-79.0197600,383.0
37.84066000,-79.0197400,384.0
37.84069000,-79.0197200,384.0
37.84073000,-79.0197100,383.0
37.84076000,-79.0196800,383.0
37.84079000,-79.0196500,383.0
37.84081000,-79.0196300,383.0
37.84084000,-79.0196100,383.0
37.84087000,-79.0195900,383.0
37.84090000,-79.0195800,383.0
37.84093000,-79.0195700,383.0
37.84096000,-79.0195700,383.0
37.84099000,-79.0195600,383.0
37.84102000,-79.0195400,383.0
37.84105000,-79.0195200,383.0
37.84108000,-79.0195100,383.0
37.84111000,-79.0195000,383.0
37.84113000,-79.0194700,383.0
37.84115000,-79.0194500,383.0
37.84118000,-79.0194200,384.0
37.84121000,-79.0194000,384.0
37.84124000,-79.0193700,384.0
37.84126000,-79.0193500,384.0
37.84129000,-79.0193200,385.0
37.84131000,-79.0192900,385.0
37.84134000,-79.0192800,385.0
37.84137000,-79.0192700,385.0
37.84139000,-79.0192500,386.0
37.84142000,-79.0192300,386.0
37.84146000,-79.0192000,386.0
37.84148000,-79.0191700,386.0
37.84151000,-79.0191300,387.0
37.84153000,-79.0191000,387.0
37.84156000,-79.0190700,387.0
37.84159000,-79.0190500,387.0
37.84162000,-79.0190200,387.0
37.84164000,-79.0189800,387.0
37.84167000,-79.0189500,387.0
37.84169000,-79.0189000,387.0
37.84172000,-79.0188700,387.0
37.84174000,-79.0188500,387.0
37.84177000,-79.0188300,387.0
37.84178000,-79.0188000,387.0
37.84182000,-79.0187700,388.0
37.84186000,-79.0187300,388.0
37.84188000,-79.0187200,388.0
37.84190000,-79.0186900,388.0
37.84191000,-79.0186600,389.0
37.84194000,-79.0186100,389.0
37.84197000,-79.0185900,389.0
37.84202000,-79.0185800,389.0
37.84205000,-79.0185700,389.0
37.84209000,-79.0185400,389.0
37.84213000,-79.0185200,389.0
37.84215000,-79.0185100,389.0
37.84218000,-79.0184900,389.0
37.84221000,-79.0184700,390.0
37.84225000,-79.0184700,390.0
37.84228000,-79.0185000,390.0
37.84231000,-79.0185100,390.0
37.84234000,-79.0185300,391.0
37.84237000,-79.0185400,391.0
37.84240000,-79.0185500,391.0
37.84244000,-79.0185600,392.0
37.84248000,-79.0185800,392.0
37.84250000,-79.0185800,393.0
37.84254000,-79.0185900,393.0
37.84258000,-79.0185900,394.0
37.84261000,-79.0186000,394.0
37.84265000,-79.0186100,395.0
37.84268000,-79.0186200,395.0
37.84271000,-79.0186300,395.0
37.84274000,-79.0186400,396.0
37.84277000,-79.0186400,396.0
37.84280000,-79.0186300,397.0
37.84283000,-79.0186200,397.0
37.84287000,-79.0186400,397.0
37.84290000,-79.0186400,398.0
37.84293000,-79.0186500,398.0
37.84297000,-79.0186600,398.0
37.84300000,-79.0186600,398.0
37.84304000,-79.0186600,399.0
37.84307000,-79.0186700,399.0
37.84311000,-79.0186700,399.0
37.84313000,-79.0186500,400.0
37.84316000,-79.0186200,400.0
37.84318000,-79.0185900,401.0
37.84320000,-79.0185500,402.0
37.84322000,-79.0185100,402.0
37.84323000,-79.0184700,403.0
37.84324000,-79.0184400,404.0
37.84325000,-79.0184000,404.0
37.84327000,-79.0183600,405.0
37.84329000,-79.0183400,406.0
37.84333000,-79.0183300,406.0
37.84337000,-79.0183000,407.0
37.84339000,-79.0182800,408.0
37.84343000,-79.0182800,409.0
37.84347000,-79.0182900,409.0
37.84351000,-79.0183000,410.0
37.84354000,-79.0183100,410.0
37.84357000,-79.0183300,411.0
37.84360000,-79.0183500,411.0
37.84363000,-79.0183700,411.0
37.84365000,-79.0184000,410.0
37.84369000,-79.0184200,410.0
37.84372000,-79.0184300,410.0
37.84375000,-79.0184400,410.0
37.84379000,-79.0184400,411.0
37.84382000,-79.0184500,411.0
37.84384000,-79.0184700,411.0
37.84387000,-79.0184700,411.0
37.84392000,-79.0184700,412.0
37.84396000,-79.0184600,412.0
37.84399000,-79.0184500,413.0
37.84402000,-79.0184400,414.0
37.84405000,-79.0184300,414.0
37.84407000,-79.0184200,414.0
37.84410000,-79.0184200,415.0
37.84414000,-79.0184100,415.0
37.84416000,-79.0184100,415.0
37.84420000,-79.0183900,416.0
37.84422000,-79.0183700,417.0
37.84426000,-79.0183400,417.0
37.84428000,-79.0183200,418.0
37.84432000,-79.0183100,418.0
37.84436000,-79.0182900,419.0
