Latitude,Longitude,Elevation
37.89894000,-78.9867700,816.0
37.89891000,-78.9867500,816.0
37.89888000,-78.9867400,816.0
37.89885000,-78.9867300,815.0
37.89881000,-78.9867400,815.0
37.89878000,-78.9867500,815.0
37.89875000,-78.9867700,815.0
37.89873000,-78.9868000,815.0
37.89870000,-78.9868200,815.0
37.89868000,-78.9868400,815.0
37.89865000,-78.9868700,815.0
37.89863000,-78.9868900,815.0
37.89860000,-78.9869100,815.0
37.89857000,-78.9869200,815.0
37.89854000,-78.9869500,816.0
37.89851000,-78.9869700,816.0
37.89849000,-78.9869900,816.0
37.89846000,-78.9870200,816.0
37.89843000,-78.9870400,816.0
37.89840000,-78.9870600,817.0
37.89838000,-78.9870900,817.0
37.89836000,-78.9871100,818.0
37.89833000,-78.9871400,818.0
37.89829000,-78.9871600,819.0
37.89826000,-78.9871800,820.0
37.89823000,-78.9872000,821.0
37.89821000,-78.9872200,821.0
37.89818000,-78.9872400,822.0
37.89816000,-78.9872600,822.0
37.89813000,-78.9872800,823.0
37.89810000,-78.9873100,824.0
37.89807000,-78.9873300,824.0
37.89805000,-78.9873500,825.0
37.89802000,-78.9873700,826.0
37.89800000,-78.9873800,827.0
37.89797000,-78.9874000,828.0
37.89794000,-78.9874100,829.0
37.89791000,-78.9874300,830.0
37.89787000,-78.9874500,831.0
37.89784000,-78.9874600,832.0
37.89782000,-78.9874800,833.0
37.89779000,-78.9875000,834.0
37.89777000,-78.9875200,834.0
37.89775000,-78.9875500,835.0
37.89773000,-78.9875800,835.0
37.89771000,-78.9876000,835.0
37.89768000,-78.9876200,836.0
37.89764000,-78.9876400,836.0
37.89762000,-78.9876500,837.0
37.89759000,-78.9876700,837.0
37.89756000,-78.9876900,837.0
37.89753000,-78.9877000,838.0
37.89750000,-78.9877100,839.0
37.89746000,-78.9877300,840.0
37.89743000,-78.9877400,841.0
37.89740000,-78.9877600,841.0
37.89737000,-78.9877700,842.0
37.89734000,-78.9877800,843.0
37.89732000,-78.9878000,844.0
37.89729000,-78.9878300,844.0
37.89726000,-78.9878400,845.0
37.89723000,-78.9878600,846.0
37.89720000,-78.9878800,846.0
37.89717000,-78.9878900,847.0
37.89714000,-78.9879100,848.0
37.89712000,-78.9879200,848.0
37.89709000,-78.9879400,849.0
37.89705000,-78.9879600,850.0
37.89703000,-78.9879800,850.0
37.89701000,-78.9880100,850.0
37.89699000,-78.9880400,850.0
37.89696000,-78.9880600,851.0
37.89694000,-78.9880900,851.0
37.89691000,-78.9881200,853.0
37.89689000,-78.9881400,854.0
37.89688000,-78.9881700,854.0
37.89685000,-78.9882000,855.0
37.89683000,-78.9882300,855.0
37.89682000,-78.9882600,855.0
37.89681000,-78.9883000,855.0
37.89680000,-78.9883400,855.0
37.89680000,-78.9883800,854.0
37.89679000,-78.9884300,854.0
37.89678000,-78.9884600,854.0
37.89677000,-78.9885000,853.0
37.89678000,-78.9885400,852.0
37.89679000,-78.9885700,851.0
37.89679000,-78.9886100,851.0
37.89678000,-78.9886500,851.0
37.89677000,-78.9886800,851.0
37.89677000,-78.9887200,851.0
37.89676000,-78.9887500,851.0
37.89674000,-78.9887800,852.0
37.89672000,-78.9888100,852.0
37.89669000,-78.9888500,853.0
37.89667000,-78.9888800,853.0
37.89664000,-78.9888900,855.0
37.89661000,-78.9889000,856.0
37.89659000,-78.9889100,857.0
37.89655000,-78.9889300,858.0
37.89654000,-78.9889600,858.0
37.89652000,-78.9889900,858.0
37.89650000,-78.9890100,858.0
37.89648000,-78.9890400,858.0
37.89644000,-78.9890600,859.0
37.89641000,-78.9890800,859.0
37.89638000,-78.9890900,860.0
37.89635000,-78.9891100,861.0
37.89632000,-78.9891300,862.0
37.89629000,-78.9891400,863.0
37.89626000,-78.9891400,864.0
37.89623000,-78.9891500,865.0
37.89620000,-78.9891600,867.0
37.89616000,-78.9891800,868.0
37.89613000,-78.9891900,869.0
37.89610000,-78.9892000,870.0
37.89607000,-78.9892000,872.0
37.89604000,-78.9892000,873.0
37.89601000,-78.9892000,875.0
37.89598000,-78.9892100,876.0
37.89596000,-78.9892200,876.0
37.89593000,-78.9892300,878.0
37.89590000,-78.9892300,879.0
37.89587000,-78.9892300,881.0
37.89583000,-78.9892300,883.0
37.89580000,-78.9892300,884.0
37.89577000,-78.9892400,885.0
37.89574000,-78.9892500,885.0
37.89571000,-78.9892700,886.0
37.89568000,-78.9892800,887.0
37.89566000,-78.9893000,887.0
37.89563000,-78.9893100,888.0
37.89561000,-78.9893300,888.0
37.89558000,-78.9893600,889.0
37.89555000,-78.9893700,890.0
37.89552000,-78.9893800,891.0
37.89549000,-78.9894100,891.0
37.89546000,-78.9894300,892.0
37.89544000,-78.9894500,892.0
37.89540000,-78.9894800,892.0
37.89537000,-78.9895000,892.0
37.89535000,-78.9895300,892.0
37.89532000,-78.9895500,892.0
37.89528000,-78.9895700,893.0
37.89526000,-78.9896000,893.0
37.89523000,-78.9896100,894.0
37.89520000,-78.9896200,894.0
37.89516000,-78.9896200,896.0
37.89514000,-78.9896300,896.0
37.89511000,-78.9896400,897.0
37.89508000,-78.9896400,898.0
37.89505000,-78.9896400,899.0
37.89502000,-78.9896400,900.0
37.89502000,-78.9896000,901.0
37.89504000,-78.9895600,902.0
37.89505000,-78.9895200,903.0
37.89506000,-78.9894900,903.0
37.89507000,-78.9894400,904.0
37.89508000,-78.9894100,904.0
37.89509000,-78.9893800,905.0
37.89510000,-78.9893400,905.0
37.89510000,-78.9893000,906.0
37.89511000,-78.9892500,907.0
37.89512000,-78.9892100,907.0
37.89513000,-78.9891700,908.0
37.89514000,-78.9891300,908.0
37.89515000,-78.9890900,908.0
37.89516000,-78.9890500,908.0
37.89517000,-78.9890200,908.0
37.89518000,-78.9889800,908.0
37.89518000,-78.9889500,909.0
37.89518000,-78.9889000,909.0
37.89517000,-78.9888700,910.0
37.89514000,-78.9888700,910.0
37.89511000,-78.9888900,911.0
37.89508000,-78.9889000,912.0
37.89506000,-78.9889300,912.0
37.89504000,-78.9889500,913.0
37.89500000,-78.9889900,914.0
37.89498000,-78.9890100,914.0
37.89495000,-78.9890300,914.0
37.89493000,-78.9890700,914.0
37.89490000,-78.9891000,915.0
37.89487000,-78.9891300,915.0
37.89486000,-78.9891600,915.0
37.89483000,-78.9891900,915.0
37.89481000,-78.9892300,915.0
37.89480000,-78.9892700,915.0
37.89479000,-78.9893100,914.0
37.89477000,-78.9893400,914.0
37.89475000,-78.9893700,915.0
37.89473000,-78.9894000,915.0
37.89472000,-78.9894400,915.0
37.89470000,-78.9894700,915.0
37.89468000,-78.9895000,915.0
37.89465000,-78.9895200,915.0
37.89463000,-78.9895500,915.0
37.89462000,-78.9895800,915.0
37.89459000,-78.9896200,916.0
37.89457000,-78.9896500,916.0
37.89455000,-78.9896800,917.0
37.89452000,-78.9897200,918.0
37.89450000,-78.9897500,918.0
37.89448000,-78.9897900,918.0
37.89446000,-78.9898100,919.0
37.89444000,-78.9898500,919.0
37.89442000,-78.9898800,919.0
37.89441000,-78.9899100,919.0
37.89439000,-78.9899600,920.0
37.89438000,-78.9899900,920.0
37.89437000,-78.9900300,920.0
37.89435000,-78.9900600,920.0
37.89435000,-78.9901000,920.0
37.89434000,-78.9901400,920.0
37.89433000,-78.9901800,920.0
37.89431000,-78.9902100,920.0
37.89430000,-78.9902400,920.0
37.89427000,-78.9902700,921.0
37.89425000,-78.9902800,921.0
37.89421000,-78.9903100,921.0
37.89418000,-78.9903400,922.0
37.89415000,-78.9903700,922.0
37.89413000,-78.9903900,922.0
37.89411000,-78.9904100,922.0
37.89408000,-78.9904300,923.0
37.89405000,-78.9904400,924.0
37.89402000,-78.9904400,924.0
37.89400000,-78.9904600,925.0
37.89398000,-78.9905000,926.0
37.89396000,-78.9905200,927.0
37.89394000,-78.9905400,928.0
37.89392000,-78.9905700,928.0
37.89390000,-78.9905900,929.0
37.89388000,-78.9906200,929.0
37.89384000,-78.9906500,930.0
37.89381000,-78.9906800,931.0
37.89378000,-78.9907000,932.0
37.89376000,-78.9907100,932.0
37.89373000,-78.9907300,933.0
37.89370000,-78.9907500,935.0
37.89367000,-78.9907700,936.0
37.89365000,-78.9907900,937.0
37.89363000,-78.9908300,939.0
37.89362000,-78.9908700,940.0
37.89361000,-78.9909000,941.0
37.89359000,-78.9909300,942.0
37.89357000,-78.9909600,942.0
37.89355000,-78.9909800,943.0
37.89353000,-78.9910100,944.0
37.89351000,-78.9910500,945.0
37.89350000,-78.9910800,946.0
37.89348000,-78.9911100,947.0
37.89346000,-78.9911400,948.0
37.89343000,-78.9911600,948.0
37.89341000,-78.9911800,948.0
37.89339000,-78.9912100,949.0
37.89337000,-78.9912300,949.0
37.89335000,-78.9912500,950.0
37.89332000,-78.9912800,950.0
37.89330000,-78.9913000,950.0
37.89327000,-78.9913200,950.0
37.89323000,-78.9913400,950.0
37.89320000,-78.9913600,950.0
37.89317000,-78.9913800,951.0
37.89313000,-78.9914000,951.0
37.89310000,-78.9914100,951.0
37.89308000,-78.9914500,951.0
37.89307000,-78.9914800,951.0
37.89305000,-78.9915200,951.0
37.89304000,-78.9915600,950.0
37.89301000,-78.9915900,950.0
37.89299000,-78.9916200,950.0
37.89297000,-78.9916400,950.0
37.89294000,-78.9916700,950.0
37.89291000,-78.9916800,950.0
37.89288000,-78.9917000,949.0
37.89285000,-78.9917100,949.0
37.89282000,-78.9917300,949.0
37.89279000,-78.9917400,949.0
37.89275000,-78.9917600,948.0
37.89272000,-78.9917800,948.0
37.89270000,-78.9917900,948.0
37.89267000,-78.9918100,947.0
37.89264000,-78.9918300,947.0
37.89261000,-78.9918500,947.0
37.89257000,-78.9918700,947.0
37.89254000,-78.9918900,947.0
37.89252000,-78.9919100,947.0
37.89249000,-78.9919200,947.0
37.89245000,-78.9919300,947.0
37.89242000,-78.9919300,947.0
37.89239000,-78.9919500,947.0
37.89236000,-78.9919800,946.0
37.89232000,-78.9920000,946.0
37.89229000,-78.9920100,946.0
37.89226000,-78.9920200,946.0
37.89223000,-78.9920400,945.0
37.89220000,-78.9920500,945.0
37.89217000,-78.9920700,944.0
37.89215000,-78.9920900,944.0
37.89213000,-78.9921300,943.0
