Latitude,Longitude,Elevation
37.45752000,-80.0173300,459.0
37.45752000,-80.0173200,459.0
37.45749000,-80.0171800,460.0
37.45745000,-80.0170800,462.0
37.45738000,-80.0169600,463.0
37.45720000,-80.0168200,465.0
37.45712000,-80.0167300,465.0
37.45686000,-80.0163000,470.0
37.45663000,-80.0159500,473.0
37.45658000,-80.0158500,473.0
37.45650000,-80.0157800,473.0
37.45646000,-80.0157000,474.0
37.45639000,-80.0155800,474.0
37.45633000,-80.0153500,475.0
37.45628000,-80.0151600,474.0
37.45608000,-80.0146300,461.0
37.45601000,-80.0144700,454.0
37.45598000,-80.0143400,449.0
37.45593000,-80.0141800,444.0
37.45600000,-80.0138400,436.0
37.45596000,-80.0135600,436.0
37.45561000,-80.0132200,436.0
37.45556000,-80.0131200,436.0
37.45555000,-80.0130300,436.0
37.45555000,-80.0126000,438.0
37.45551000,-80.0125100,438.0
37.45540000,-80.0123800,437.0
37.45529000,-80.0122300,437.0
37.45519000,-80.0119900,436.0
37.45506000,-80.0116400,432.0
37.45483000,-80.0107700,424.0
37.45479000,-80.0104500,420.0
37.45479000,-80.0103300,419.0
37.45481000,-80.0102300,418.0
37.45485000,-80.0101400,418.0
37.45490000,-80.0100700,418.0
37.45504000,-80.0099400,418.0
37.45519000,-80.0098600,417.0
37.45533000,-80.0098100,417.0
37.45537000,-80.0097700,417.0
37.45539000,-80.0096900,415.0
37.45533000,-80.0094800,413.0
37.45530000,-80.0094100,412.0
37.45519000,-80.0092600,412.0
37.45512000,-80.0091200,412.0
37.45509000,-80.0090500,412.0
37.45478000,-80.0088100,410.0
37.45433000,-80.0085900,406.0
37.45429000,-80.0085700,406.0
37.45398000,-80.0083300,409.0
37.45376000,-80.0083100,410.0
37.45355000,-80.0082400,413.0
37.45343000,-80.0082400,415.0
37.45322000,-80.0082300,419.0
37.45275000,-80.0084000,420.0
37.45259000,-80.0084000,423.0
37.45250000,-80.0083400,426.0
37.45242000,-80.0081500,431.0
37.45227000,-80.0074600,437.0
37.45217000,-80.0071500,441.0
37.45203000,-80.0068700,446.0
37.45194000,-80.0065500,450.0
37.45182000,-80.0062900,452.0
37.45167000,-80.0058100,457.0
37.45162000,-80.0054500,463.0
37.45163000,-80.0053200,464.0
37.45167000,-80.0052400,466.0
37.45187000,-80.0050000,472.0
37.45203000,-80.0047500,479.0
37.45206000,-80.0046200,481.0
37.45206000,-80.0045400,481.0
37.45200000,-80.0045100,480.0
37.45197000,-80.0044100,479.0
37.45195000,-80.0043200,480.0
37.45197000,-80.0042200,481.0
37.45204000,-80.0042200,483.0
37.45209000,-80.0042500,484.0
37.45220000,-80.0042600,487.0
37.45233000,-80.0041100,492.0
37.45239000,-80.0040900,493.0
37.45245000,-80.0041000,494.0
37.45255000,-80.0041700,495.0
37.45264000,-80.0042800,496.0
37.45273000,-80.0045700,498.0
37.45279000,-80.0046200,499.0
37.45285000,-80.0046100,500.0
37.45289000,-80.0045400,501.0
37.45303000,-80.0041200,503.0
37.45300000,-80.0040500,503.0
37.45296000,-80.0039600,503.0
37.45291000,-80.0037700,504.0
37.45287000,-80.0036400,505.0
37.45282000,-80.0035100,506.0
37.45278000,-80.0034000,507.0
37.45276000,-80.0033800,508.0
37.45275000,-80.0033600,508.0
37.45262000,-80.0031200,510.0
37.45250000,-80.0028800,513.0
37.45235000,-80.0026100,514.0
37.45229000,-80.0024500,515.0
37.45225000,-80.0022800,516.0
37.45222000,-80.0021300,516.0
37.45222000,-80.0019900,516.0
37.45222000,-80.0018300,515.0
37.45224000,-80.0016800,514.0
37.45228000,-80.0013600,516.0
37.45236000,-80.0010900,520.0
37.45245000,-80.0006800,528.0
37.45251000,-80.0004000,534.0
37.45257000,-80.0000900,540.0
37.45261000,-79.9997600,545.0
37.45265000,-79.9994400,551.0
37.45269000,-79.9993200,553.0
37.45266000,-79.9991900,556.0
37.45261000,-79.9991300,557.0
37.45255000,-79.9990800,559.0
37.45234000,-79.9990100,560.0
37.45213000,-79.9989600,562.0
37.45181000,-79.9989500,563.0
37.45155000,-79.9989000,561.0
37.45132000,-79.9987800,557.0
37.45087000,-79.9987300,552.0
37.45055000,-79.9987600,553.0
37.44978000,-79.9986400,573.0
37.44962000,-79.9985900,578.0
37.44916000,-79.9984200,591.0
37.44891000,-79.9983800,599.0
37.44873000,-79.9983000,605.0
37.44851000,-79.9981700,612.0
37.44818000,-79.9978600,624.0
37.44806000,-79.9976500,631.0
37.44804000,-79.9975400,633.0
37.44809000,-79.9973100,636.0
37.44811000,-79.9971100,638.0
37.44814000,-79.9969500,638.0
37.44833000,-79.9966100,639.0
37.44836000,-79.9964700,640.0
37.44837000,-79.9963200,641.0
37.44836000,-79.9961700,643.0
37.44828000,-79.9958500,646.0
37.44822000,-79.9957300,646.0
37.44811000,-79.9956200,646.0
37.44802000,-79.9955800,647.0
37.44789000,-79.9955800,648.0
37.44778000,-79.9956100,649.0
37.44763000,-79.9956300,652.0
37.44742000,-79.9956800,657.0
37.44718000,-79.9956900,664.0
37.44711000,-79.9957100,666.0
37.44707000,-79.9957600,667.0
37.44705000,-79.9959800,668.0
37.44701000,-79.9960500,668.0
37.44667000,-79.9964400,672.0
37.44642000,-79.9965300,673.0
37.44633000,-79.9965100,674.0
37.44625000,-79.9965300,675.0
37.44630000,-79.9963800,678.0
37.44638000,-79.9960100,682.0
37.44636000,-79.9958900,684.0
37.44633000,-79.9956700,687.0
37.44627000,-79.9956900,690.0
37.44621000,-79.9959100,690.0
37.44617000,-79.9960300,689.0
37.44609000,-79.9961200,689.0
37.44598000,-79.9962000,688.0
37.44577000,-79.9962500,690.0
37.44567000,-79.9962200,693.0
37.44570000,-79.9961600,694.0
37.44581000,-79.9960600,696.0
37.44586000,-79.9959600,698.0
37.44590000,-79.9957900,703.0
37.44591000,-79.9956900,705.0
37.44590000,-79.9956100,708.0
37.44590000,-79.9955200,710.0
37.44588000,-79.9954300,712.0
37.44581000,-79.9955600,713.0
37.44562000,-79.9957200,713.0
37.44529000,-79.9957700,718.0
37.44512000,-79.9957200,724.0
37.44500000,-79.9957200,727.0
37.44476000,-79.9958300,734.0
37.44497000,-79.9956300,731.0
