Latitude,Longitude,Elevation
38.12901000,-78.7846600,796.0
38.12899000,-78.7846300,796.0
38.12902000,-78.7846600,796.0
38.12904000,-78.7846900,796.0
38.12905000,-78.7847100,796.0
38.12908000,-78.7847400,797.0
38.12911000,-78.7847700,797.0
38.12914000,-78.7847900,797.0
38.12917000,-78.7848200,797.0
38.12918000,-78.7848600,797.0
38.12920000,-78.7849000,797.0
38.12923000,-78.7849100,797.0
38.12925000,-78.7849500,796.0
38.12925000,-78.7849800,796.0
38.12925000,-78.7850200,796.0
38.12925000,-78.7850600,796.0
38.12924000,-78.7851100,795.0
38.12923000,-78.7851600,795.0
38.12922000,-78.7852000,795.0
38.12920000,-78.7852400,795.0
38.12919000,-78.7852800,794.0
38.12918000,-78.7853100,794.0
38.12916000,-78.7853400,794.0
38.12914000,-78.7853700,794.0
38.12911000,-78.7853800,794.0
38.12907000,-78.7854000,794.0
38.12904000,-78.7854100,794.0
38.12902000,-78.7854400,794.0
38.12900000,-78.7854600,794.0
38.12897000,-78.7855000,794.0
38.12896000,-78.7855400,794.0
38.12894000,-78.7855700,794.0
38.12892000,-78.7856200,794.0
38.12890000,-78.7856700,794.0
38.12888000,-78.7857000,795.0
38.12886000,-78.7857500,795.0
38.12884000,-78.7857800,795.0
38.12882000,-78.7858200,796.0
38.12879000,-78.7858400,796.0
38.12877000,-78.7858800,796.0
38.12875000,-78.7859300,797.0
38.12873000,-78.7859700,797.0
38.12871000,-78.7860100,798.0
38.12870000,-78.7860500,798.0
38.12869000,-78.7860900,798.0
38.12868000,-78.7861400,799.0
38.12866000,-78.7861900,800.0
38.12864000,-78.7862200,801.0
38.12864000,-78.7862700,801.0
38.12863000,-78.7863100,802.0
38.12864000,-78.7863500,802.0
38.12864000,-78.7863900,803.0
38.12864000,-78.7864200,803.0
38.12865000,-78.7864800,803.0
38.12865000,-78.7865300,804.0
38.12866000,-78.7865700,804.0
38.12865000,-78.7866100,804.0
38.12865000,-78.7866600,805.0
38.12865000,-78.7867100,804.0
38.12865000,-78.7867500,804.0
38.12863000,-78.7867800,805.0
38.12861000,-78.7868200,805.0
38.12860000,-78.7868600,805.0
38.12858000,-78.7868900,805.0
38.12857000,-78.7869400,805.0
38.12857000,-78.7869800,805.0
38.12855000,-78.7870200,805.0
38.12853000,-78.7870500,805.0
38.12850000,-78.7870700,805.0
38.12847000,-78.7870800,806.0
38.12844000,-78.7870900,806.0
38.12841000,-78.7871100,806.0
38.12838000,-78.7871200,807.0
38.12834000,-78.7871200,807.0
38.12831000,-78.7871300,807.0
38.12828000,-78.7871300,807.0
38.12825000,-78.7871400,807.0
38.12822000,-78.7871500,807.0
38.12817000,-78.7871500,807.0
38.12805000,-78.7871900,807.0
38.12792000,-78.7873000,808.0
38.12790000,-78.7873400,808.0
38.12787000,-78.7873600,808.0
38.12785000,-78.7873900,809.0
38.12782000,-78.7874100,809.0
38.12778000,-78.7874500,809.0
38.12775000,-78.7874900,810.0
38.12772000,-78.7875100,810.0
38.12770000,-78.7875400,810.0
38.12767000,-78.7875700,810.0
38.12765000,-78.7876000,810.0
38.12763000,-78.7876300,810.0
38.12761000,-78.7876800,810.0
38.12759000,-78.7877100,810.0
38.12757000,-78.7877400,810.0
38.12755000,-78.7877800,811.0
38.12753000,-78.7878300,810.0
38.12751000,-78.7878700,810.0
38.12751000,-78.7879100,810.0
38.12751000,-78.7879500,809.0
38.12749000,-78.7880000,809.0
38.12748000,-78.7880400,809.0
38.12747000,-78.7880900,808.0
38.12747000,-78.7881200,808.0
38.12747000,-78.7881800,807.0
38.12746000,-78.7882100,807.0
38.12747000,-78.7882500,806.0
38.12747000,-78.7883100,805.0
38.12748000,-78.7883500,804.0
38.12748000,-78.7883900,803.0
38.12748000,-78.7884300,802.0
38.12748000,-78.7884600,801.0
38.12748000,-78.7885100,800.0
38.12749000,-78.7885600,799.0
38.12749000,-78.7886000,798.0
38.12749000,-78.7886500,797.0
38.12748000,-78.7886900,797.0
38.12748000,-78.7887300,797.0
38.12748000,-78.7887700,796.0
38.12747000,-78.7888100,796.0
38.12745000,-78.7888500,796.0
38.12743000,-78.7889000,796.0
38.12743000,-78.7889400,795.0
38.12743000,-78.7889800,795.0
38.12744000,-78.7890200,795.0
38.12744000,-78.7890600,795.0
38.12744000,-78.7891000,794.0
38.12745000,-78.7891400,794.0
38.12746000,-78.7892000,793.0
38.12747000,-78.7892300,793.0
38.12747000,-78.7892700,793.0
38.12748000,-78.7893200,793.0
38.12749000,-78.7893700,792.0
38.12750000,-78.7894000,792.0
38.12752000,-78.7894400,791.0
38.12753000,-78.7894800,790.0
38.12752000,-78.7895300,791.0
38.12751000,-78.7895600,791.0
38.12750000,-78.7896100,792.0
38.12751000,-78.7896500,791.0
38.12751000,-78.7896900,791.0
38.12750000,-78.7897400,791.0
38.12750000,-78.7897800,791.0
38.12751000,-78.7898200,790.0
38.12753000,-78.7898600,789.0
38.12755000,-78.7899100,788.0
38.12756000,-78.7899500,788.0
38.12757000,-78.7899800,787.0
38.12758000,-78.7900300,786.0
38.12758000,-78.7900800,786.0
38.12760000,-78.7901200,785.0
38.12761000,-78.7901600,785.0
38.12761000,-78.7902000,784.0
38.12761000,-78.7902300,784.0
38.12762000,-78.7902900,783.0
38.12762000,-78.7903300,783.0
38.12764000,-78.7903700,782.0
38.12765000,-78.7904000,781.0
38.12767000,-78.7904500,780.0
38.12767000,-78.7904900,780.0
38.12768000,-78.7905300,779.0
38.12768000,-78.7905700,779.0
38.12769000,-78.7906100,778.0
38.12769000,-78.7906600,778.0
38.12769000,-78.7907100,777.0
38.12769000,-78.7907600,777.0
38.12769000,-78.7907900,777.0
38.12769000,-78.7908400,776.0
38.12769000,-78.7908700,776.0
38.12770000,-78.7909200,774.0
38.12771000,-78.7909800,772.0
38.12770000,-78.7910300,771.0
38.12768000,-78.7910600,771.0
38.12767000,-78.7911100,770.0
38.12766000,-78.7911400,769.0
38.12763000,-78.7912100,767.0
38.12762000,-78.7912600,766.0
38.12760000,-78.7913100,764.0
38.12759000,-78.7913600,763.0
38.12758000,-78.7914000,762.0
38.12756000,-78.7914300,762.0
38.12755000,-78.7914800,761.0
38.12753000,-78.7915200,760.0
38.12751000,-78.7915500,760.0
38.12749000,-78.7915900,760.0
38.12747000,-78.7916200,759.0
38.12744000,-78.7916500,759.0
38.12741000,-78.7916700,759.0
38.12738000,-78.7917100,759.0
38.12736000,-78.7917300,759.0
38.12734000,-78.7917700,759.0
38.12733000,-78.7918100,759.0
38.12731000,-78.7918500,759.0
38.12729000,-78.7919000,759.0
38.12728000,-78.7919300,759.0
38.12726000,-78.7919700,759.0
38.12726000,-78.7920200,759.0
38.12726000,-78.7920700,758.0
38.12726000,-78.7921100,758.0
38.12724000,-78.7921700,758.0
38.12723000,-78.7922300,758.0
38.12723000,-78.7922600,758.0
38.12722000,-78.7923000,759.0
38.12722000,-78.7923600,759.0
38.12721000,-78.7924000,759.0
38.12721000,-78.7924600,759.0
38.12720000,-78.7924900,759.0
38.12719000,-78.7925500,759.0
38.12718000,-78.7925800,759.0
38.12717000,-78.7926200,759.0
38.12717000,-78.7926700,759.0
38.12716000,-78.7927200,759.0
38.12715000,-78.7927600,759.0
38.12714000,-78.7928100,759.0
38.12713000,-78.7928500,759.0
38.12712000,-78.7928900,759.0
38.12711000,-78.7929300,759.0
38.12711000,-78.7929800,759.0
38.12711000,-78.7930300,759.0
38.12712000,-78.7930800,759.0
38.12713000,-78.7931100,759.0
38.12714000,-78.7931500,760.0
38.12714000,-78.7932100,760.0
38.12714000,-78.7932400,760.0
38.12713000,-78.7933000,760.0
38.12712000,-78.7933400,760.0
38.12713000,-78.7933900,761.0
38.12713000,-78.7934400,761.0
38.12714000,-78.7934900,761.0
38.12715000,-78.7935200,762.0
38.12717000,-78.7935500,762.0
38.12718000,-78.7935900,762.0
38.12719000,-78.7936300,762.0
38.12721000,-78.7936700,762.0
38.12722000,-78.7937000,762.0
38.12724000,-78.7937400,762.0
38.12725000,-78.7937800,762.0
38.12727000,-78.7938300,762.0
38.12728000,-78.7938600,762.0
38.12729000,-78.7939200,762.0
38.12729000,-78.7939700,762.0
38.12729000,-78.7940100,762.0
38.12730000,-78.7940600,761.0
38.12730000,-78.7941100,761.0
38.12731000,-78.7941600,761.0
38.12732000,-78.7942100,761.0
38.12732000,-78.7942400,762.0
38.12732000,-78.7943000,762.0
38.12732000,-78.7943300,762.0
38.12732000,-78.7943700,762.0
38.12732000,-78.7944300,762.0
38.12731000,-78.7944800,763.0
38.12730000,-78.7945300,763.0
38.12729000,-78.7945700,763.0
38.12727000,-78.7946100,764.0
38.12726000,-78.7946400,764.0
38.12723000,-78.7946700,764.0
38.12720000,-78.7947000,764.0
38.12718000,-78.7947300,764.0
38.12716000,-78.7947600,765.0
38.12715000,-78.7948000,766.0
38.12713000,-78.7948500,766.0
38.12711000,-78.7949000,767.0
38.12709000,-78.7949500,768.0
38.12707000,-78.7949900,768.0
38.12706000,-78.7950300,769.0
38.12704000,-78.7950700,770.0
38.12702000,-78.7951100,771.0
38.12701000,-78.7951500,772.0
38.12699000,-78.7952000,773.0
38.12698000,-78.7952500,775.0
38.12696000,-78.7952900,776.0
38.12695000,-78.7953300,777.0
38.12693000,-78.7953600,777.0
38.12692000,-78.7953900,778.0
38.12690000,-78.7954200,778.0
38.12688000,-78.7954500,779.0
38.12686000,-78.7954900,779.0
38.12684000,-78.7955200,780.0
38.12681000,-78.7955600,780.0
38.12679000,-78.7956000,781.0
38.12677000,-78.7956400,781.0
38.12675000,-78.7956800,782.0
38.12676000,-78.7957200,783.0
38.12675000,-78.7957700,784.0
38.12673000,-78.7958200,785.0
38.12671000,-78.7958500,785.0
38.12669000,-78.7958900,784.0
38.12668000,-78.7959200,784.0
38.12666000,-78.7959500,784.0
38.12664000,-78.7959900,784.0
38.12662000,-78.7960200,784.0
38.12660000,-78.7960500,783.0
38.12658000,-78.7960800,783.0
38.12655000,-78.7961100,783.0
38.12654000,-78.7961500,784.0
38.12652000,-78.7961900,784.0
38.12650000,-78.7962300,785.0
38.12648000,-78.7962500,785.0
38.12646000,-78.7962800,786.0
38.12643000,-78.7963100,786.0
38.12640000,-78.7963500,787.0
38.12637000,-78.7963800,787.0
38.12634000,-78.7964100,788.0
38.12632000,-78.7964500,789.0
38.12630000,-78.7964800,791.0
38.12627000,-78.7965100,792.0
38.12618000,-78.7966000,796.0
38.12614000,-78.7966200,797.0
38.12611000,-78.7966500,799.0
38.12609000,-78.7966900,799.0
38.12607000,-78.7967200,799.0
38.12605000,-78.7967600,799.0
38.12603000,-78.7968000,799.0
38.12602000,-78.7968400,800.0
38.12600000,-78.7968900,800.0
38.12598000,-78.7969400,801.0
38.12596000,-78.7969900,802.0
38.12595000,-78.7970200,802.0
38.12593000,-78.7970700,802.0
38.12590000,-78.7971100,802.0
38.12589000,-78.7971500,802.0
38.12588000,-78.7971900,803.0
38.12587000,-78.7972400,803.0
38.12586000,-78.7972900,804.0
38.12585000,-78.7973400,805.0
38.12584000,-78.7973800,805.0
38.12582000,-78.7974200,805.0
38.12582000,-78.7974600,806.0
38.12581000,-78.7975000,807.0
38.12580000,-78.7975400,807.0
38.12579000,-78.7975800,808.0
38.12577000,-78.7976100,808.0
38.12575000,-78.7976700,809.0
38.12573000,-78.7977100,809.0
38.12571000,-78.7977500,810.0
38.12570000,-78.7977900,811.0
38.12568000,-78.7978300,811.0
38.12567000,-78.7978700,813.0
38.12566000,-78.7979200,814.0
38.12563000,-78.7979300,814.0
38.12561000,-78.7979400,814.0
38.12559000,-78.7979800,815.0
38.12557000,-78.7980300,816.0
38.12556000,-78.7980700,817.0
38.12553000,-78.7981000,818.0
38.12550000,-78.7981400,818.0
38.12547000,-78.7981700,819.0
38.12544000,-78.7982000,819.0
38.12542000,-78.7982300,819.0
38.12540000,-78.7982700,820.0
38.12537000,-78.7983000,820.0
38.12535000,-78.7983300,821.0
38.12532000,-78.7983600,821.0
38.12529000,-78.7983700,821.0
38.12527000,-78.7984000,822.0
38.12524000,-78.7984300,822.0
38.12521000,-78.7984500,822.0
38.12518000,-78.7984700,823.0
38.12515000,-78.7984900,823.0
38.12512000,-78.7985000,823.0
38.12508000,-78.7985200,823.0
38.12506000,-78.7985400,823.0
38.12504000,-78.7985700,824.0
38.12503000,-78.7986000,825.0
38.12500000,-78.7986200,825.0
38.12498000,-78.7986500,825.0
38.12495000,-78.7986800,825.0
38.12492000,-78.7987100,824.0
38.12489000,-78.7987200,823.0
38.12487000,-78.7987500,823.0
38.12485000,-78.7987900,824.0
38.12484000,-78.7988400,825.0
38.12482000,-78.7988800,825.0
38.12482000,-78.7989200,827.0
38.12480000,-78.7989700,828.0
38.12479000,-78.7990100,829.0
38.12477000,-78.7990400,830.0
38.12478000,-78.7990800,832.0
38.12478000,-78.7991200,833.0
38.12477000,-78.7991600,835.0
38.12476000,-78.7992000,836.0
38.12474000,-78.7992400,836.0
38.12473000,-78.7992800,837.0
38.12472000,-78.7993200,838.0
38.12472000,-78.7993600,840.0
38.12470000,-78.7993900,840.0
38.12469000,-78.7994300,841.0
38.12468000,-78.7994700,841.0
38.12467000,-78.7995200,842.0
38.12464000,-78.7995400,841.0
38.12463000,-78.7995700,841.0
38.12461000,-78.7996100,841.0
38.12460000,-78.7996500,842.0
38.12459000,-78.7997000,842.0
38.12457000,-78.7997200,842.0
38.12455000,-78.7997600,841.0
38.12453000,-78.7997900,841.0
38.12451000,-78.7998200,841.0
38.12449000,-78.7998700,841.0
38.12447000,-78.7999100,841.0
38.12446000,-78.7999500,841.0
38.12446000,-78.7999900,842.0
38.12445000,-78.8000300,843.0
38.12444000,-78.8000800,845.0
38.12445000,-78.8001200,847.0
38.12443000,-78.8001700,849.0
38.12442000,-78.8002000,850.0
38.12441000,-78.8002400,851.0
38.12440000,-78.8002700,852.0
38.12440000,-78.8003100,853.0
38.12440000,-78.8003600,854.0
38.12440000,-78.8004100,855.0
38.12440000,-78.8004600,856.0
38.12439000,-78.8004900,856.0
38.12438000,-78.8005500,857.0
38.12437000,-78.8005800,858.0
38.12436000,-78.8006200,858.0
38.12435000,-78.8006600,859.0
38.12435000,-78.8007100,860.0
38.12435000,-78.8007700,861.0
38.12435000,-78.8008000,862.0
38.12435000,-78.8008500,863.0
38.12434000,-78.8008900,864.0
38.12434000,-78.8009300,865.0
38.12433000,-78.8009700,866.0
38.12431000,-78.8010200,866.0
38.12430000,-78.8010700,867.0
38.12428000,-78.8011000,867.0
38.12427000,-78.8011400,868.0
38.12424000,-78.8011800,868.0
38.12422000,-78.8012100,868.0
38.12421000,-78.8012400,869.0
38.12420000,-78.8012900,870.0
38.12419000,-78.8013300,871.0
38.12417000,-78.8013800,871.0
38.12416000,-78.8014100,872.0
38.12414000,-78.8014400,872.0
38.12412000,-78.8014800,873.0
38.12410000,-78.8015300,874.0
38.12406000,-78.8015500,873.0
38.12403000,-78.8015800,873.0
38.12401000,-78.8016100,874.0
38.12399000,-78.8016300,874.0
38.12397000,-78.8016600,874.0
38.12394000,-78.8016900,874.0
38.12391000,-78.8017200,875.0
38.12390000,-78.8017700,876.0
38.12393000,-78.8017800,877.0
38.12396000,-78.8018000,879.0
38.12399000,-78.8018000,879.0
38.12402000,-78.8017900,880.0
38.12405000,-78.8017700,880.0
38.12407000,-78.8017700,880.0
38.12410000,-78.8017700,881.0
38.12413000,-78.8017600,881.0
38.12416000,-78.8017600,882.0
38.12421000,-78.8017500,883.0
38.12424000,-78.8017500,883.0
38.12427000,-78.8017400,884.0
38.12430000,-78.8017300,884.0
38.12433000,-78.8017200,885.0
38.12436000,-78.8017100,885.0
38.12439000,-78.8016900,886.0
38.12442000,-78.8016700,886.0
38.12445000,-78.8017000,887.0
38.12448000,-78.8017100,888.0
38.12451000,-78.8017100,888.0
38.12453000,-78.8017100,889.0
38.12456000,-78.8017200,890.0
38.12459000,-78.8017300,890.0
38.12462000,-78.8017300,891.0
38.12465000,-78.8017600,892.0
38.12467000,-78.8017900,892.0
38.12470000,-78.8017700,892.0
38.12473000,-78.8017500,893.0
38.12475000,-78.8017300,893.0
38.12478000,-78.8017100,893.0
38.12480000,-78.8016800,893.0
38.12482000,-78.8016500,893.0
38.12484000,-78.8016200,893.0
38.12487000,-78.8016000,893.0
38.12491000,-78.8015700,893.0
38.12493000,-78.8015500,893.0
38.12496000,-78.8015200,893.0
38.12499000,-78.8015000,893.0
38.12502000,-78.8014700,892.0
38.12504000,-78.8014500,892.0
38.12506000,-78.8014200,892.0
38.12509000,-78.8013900,892.0
38.12511000,-78.8013600,892.0
38.12514000,-78.8013300,891.0
38.12517000,-78.8013100,891.0
38.12520000,-78.8012800,891.0
38.12522000,-78.8012500,891.0
38.12525000,-78.8012100,892.0
38.12527000,-78.8011700,892.0
38.12530000,-78.8011400,892.0
38.12533000,-78.8011300,892.0
38.12536000,-78.8011400,893.0
38.12536000,-78.8011000,893.0
38.12539000,-78.8010900,893.0
38.12541000,-78.8010600,894.0
38.12544000,-78.8010500,894.0
38.12547000,-78.8010200,895.0
38.12547000,-78.8009800,896.0
38.12550000,-78.8009900,896.0
38.12552000,-78.8009600,897.0
38.12551000,-78.8009200,898.0
38.12554000,-78.8009200,899.0
38.12551000,-78.8009500,897.0
38.12548000,-78.8009600,896.0
38.12545000,-78.8009800,895.0
38.12543000,-78.8010100,895.0
38.12541000,-78.8010400,894.0
38.12538000,-78.8010600,893.0
38.12535000,-78.8010900,893.0
38.12532000,-78.8011100,892.0
38.12530000,-78.8011400,892.0
38.12527000,-78.8011700,892.0
38.12525000,-78.8012000,892.0
38.12522000,-78.8012100,891.0
38.12520000,-78.8012400,891.0
38.12517000,-78.8012500,891.0
38.12516000,-78.8012900,891.0
38.12514000,-78.8013200,891.0
38.12512000,-78.8013400,891.0
38.12509000,-78.8013700,892.0
38.12507000,-78.8013800,892.0
38.12504000,-78.8014000,892.0
38.12501000,-78.8014100,892.0
38.12497000,-78.8014400,892.0
38.12495000,-78.8014800,892.0
38.12493000,-78.8015000,892.0
38.12491000,-78.8015300,892.0
38.12488000,-78.8015600,892.0
38.12486000,-78.8016000,892.0
38.12484000,-78.8016300,893.0
38.12482000,-78.8016700,893.0
38.12480000,-78.8017000,893.0
38.12477000,-78.8017200,893.0
38.12473000,-78.8017500,893.0
38.12471000,-78.8017200,892.0
38.12468000,-78.8017200,892.0
38.12465000,-78.8017200,891.0
38.12462000,-78.8017300,891.0
38.12460000,-78.8017300,890.0
38.12457000,-78.8017100,890.0
38.12454000,-78.8017100,889.0
38.12450000,-78.8017100,888.0
38.12447000,-78.8017100,888.0
38.12445000,-78.8016800,887.0
38.12443000,-78.8016600,886.0
38.12439000,-78.8016600,885.0
38.12436000,-78.8016400,884.0
38.12433000,-78.8016500,883.0
38.12429000,-78.8016700,883.0
38.12427000,-78.8016600,882.0
38.12424000,-78.8016900,882.0
38.12421000,-78.8016900,881.0
38.12419000,-78.8017000,881.0
38.12416000,-78.8017000,880.0
38.12413000,-78.8017000,879.0
38.12409000,-78.8017000,878.0
38.12406000,-78.8017100,878.0
38.12403000,-78.8017200,878.0
38.12401000,-78.8017200,877.0
38.12398000,-78.8017200,876.0
38.12395000,-78.8017200,876.0
38.12391000,-78.8017000,874.0
38.12388000,-78.8017300,874.0
38.12391000,-78.8017400,875.0
38.12393000,-78.8017100,875.0
38.12395000,-78.8016700,874.0
38.12397000,-78.8016400,874.0
38.12400000,-78.8016200,874.0
38.12403000,-78.8016100,874.0
38.12406000,-78.8016000,875.0
38.12407000,-78.8015600,874.0
38.12410000,-78.8015300,874.0
38.12412000,-78.8015200,874.0
38.12415000,-78.8014800,874.0
38.12414000,-78.8014400,872.0
38.12414000,-78.8014000,871.0
38.12416000,-78.8013700,871.0
38.12417000,-78.8013200,870.0
38.12416000,-78.8012800,868.0
38.12418000,-78.8012400,868.0
38.12421000,-78.8012100,868.0
38.12423000,-78.8011800,868.0
38.12426000,-78.8011500,868.0
38.12430000,-78.8011400,869.0
38.12431000,-78.8011100,869.0
38.12431000,-78.8010700,868.0
38.12432000,-78.8010300,867.0
38.12432000,-78.8009800,866.0
38.12432000,-78.8009500,865.0
38.12431000,-78.8009100,863.0
38.12432000,-78.8008600,862.0
38.12432000,-78.8008200,861.0
38.12433000,-78.8007800,861.0
38.12435000,-78.8007400,861.0
38.12436000,-78.8007000,860.0
38.12437000,-78.8006600,860.0
38.12438000,-78.8006100,859.0
38.12439000,-78.8005700,858.0
38.12439000,-78.8005400,857.0
38.12441000,-78.8005100,857.0
38.12442000,-78.8004600,857.0
38.12443000,-78.8004200,857.0
38.12443000,-78.8003800,856.0
38.12444000,-78.8003300,855.0
38.12446000,-78.8003000,855.0
38.12446000,-78.8002500,854.0
38.12448000,-78.8002100,853.0
38.12449000,-78.8001700,852.0
38.12451000,-78.8001400,851.0
38.12452000,-78.8001100,850.0
38.12452000,-78.8000700,849.0
38.12452000,-78.8000200,847.0
38.12454000,-78.7999900,847.0
38.12455000,-78.7999500,847.0
38.12457000,-78.7999200,847.0
38.12459000,-78.7998900,848.0
38.12461000,-78.7998600,848.0
38.12463000,-78.7998100,848.0
38.12464000,-78.7997700,847.0
38.12465000,-78.7997400,847.0
38.12466000,-78.7997000,847.0
38.12467000,-78.7996600,846.0
38.12468000,-78.7996100,845.0
38.12469000,-78.7995800,845.0
38.12470000,-78.7995300,844.0
38.12471000,-78.7994800,843.0
38.12473000,-78.7994400,843.0
38.12475000,-78.7993900,842.0
38.12477000,-78.7993500,841.0
38.12478000,-78.7993000,840.0
38.12478000,-78.7992600,839.0
38.12478000,-78.7992300,838.0
38.12479000,-78.7991800,836.0
38.12480000,-78.7991400,835.0
38.12481000,-78.7991000,834.0
38.12482000,-78.7990700,833.0
38.12484000,-78.7990400,832.0
38.12485000,-78.7989800,831.0
38.12486000,-78.7989500,830.0
38.12487000,-78.7989000,828.0
38.12489000,-78.7988600,828.0
38.12491000,-78.7988300,828.0
38.12492000,-78.7987900,827.0
38.12494000,-78.7987600,827.0
38.12496000,-78.7987100,826.0
38.12498000,-78.7986800,826.0
38.12501000,-78.7986500,826.0
38.12504000,-78.7986400,826.0
38.12506000,-78.7986300,827.0
38.12509000,-78.7986000,826.0
38.12511000,-78.7985600,825.0
38.12513000,-78.7985400,824.0
38.12516000,-78.7985200,825.0
38.12519000,-78.7985100,825.0
38.12522000,-78.7985000,825.0
38.12525000,-78.7984700,824.0
38.12528000,-78.7984700,825.0
38.12531000,-78.7984400,824.0
38.12532000,-78.7983900,823.0
38.12534000,-78.7983500,821.0
38.12537000,-78.7983200,821.0
38.12539000,-78.7982800,820.0
38.12541000,-78.7982500,820.0
38.12544000,-78.7982200,819.0
38.12546000,-78.7981900,819.0
38.12549000,-78.7981800,820.0
38.12552000,-78.7981500,819.0
38.12554000,-78.7981200,819.0
38.12558000,-78.7980800,818.0
38.12560000,-78.7980600,818.0
38.12562000,-78.7980300,817.0
38.12563000,-78.7980000,816.0
38.12566000,-78.7979600,816.0
38.12568000,-78.7979200,815.0
