Latitude,Longitude,Elevation
38.96447000,-77.1531700,81.0
38.96435000,-77.1532400,80.0
38.96435000,-77.1532500,80.0
38.96438000,-77.1532300,80.0
38.96442000,-77.1532000,80.0
38.96446000,-77.1531600,81.0
38.96451000,-77.1531400,80.0
38.96456000,-77.1531100,80.0
38.96461000,-77.1531200,80.0
38.96465000,-77.1531500,79.0
38.96469000,-77.1531600,79.0
38.96474000,-77.1531700,78.0
38.96476000,-77.1532200,78.0
38.96478000,-77.1532800,77.0
38.96481000,-77.1533300,77.0
38.96484000,-77.1533900,76.0
38.96487000,-77.1534400,75.0
38.96489000,-77.1535000,74.0
38.96492000,-77.1535500,74.0
38.96494000,-77.1536100,73.0
38.96495000,-77.1536700,73.0
38.96498000,-77.1537400,73.0
38.96500000,-77.1537900,73.0
38.96502000,-77.1538700,73.0
38.96505000,-77.1539500,73.0
38.96507000,-77.1540200,73.0
38.96510000,-77.1541000,73.0
38.96514000,-77.1541600,73.0
38.96517000,-77.1542500,72.0
38.96518000,-77.1543300,72.0
38.96518000,-77.1544200,71.0
38.96517000,-77.1545000,71.0
38.96517000,-77.1545900,71.0
38.96521000,-77.1546500,70.0
38.96526000,-77.1547000,69.0
38.96528000,-77.1547700,68.0
38.96528000,-77.1548500,68.0
38.96533000,-77.1549100,65.0
38.96538000,-77.1548700,62.0
38.96542000,-77.1548500,60.0
38.96538000,-77.1549200,62.0
38.96540000,-77.1549900,61.0
38.96546000,-77.1549700,57.0
38.96553000,-77.1549500,53.0
38.96552000,-77.1550200,54.0
38.96547000,-77.1550500,56.0
38.96541000,-77.1550700,59.0
38.96542000,-77.1551400,58.0
38.96544000,-77.1552000,56.0
38.96548000,-77.1552400,53.0
38.96554000,-77.1552300,50.0
38.96560000,-77.1552300,47.0
38.96566000,-77.1552200,44.0
38.96571000,-77.1552200,41.0
38.96571000,-77.1552300,41.0
38.96573000,-77.1552400,40.0
38.96573000,-77.1552300,40.0
38.96575000,-77.1552200,39.0
38.96577000,-77.1552900,38.0
38.96575000,-77.1553800,38.0
38.96573000,-77.1554600,39.0
38.96572000,-77.1555500,39.0
38.96573000,-77.1556400,38.0
38.96571000,-77.1557200,38.0
38.96570000,-77.1557900,38.0
38.96571000,-77.1558700,37.0
38.96569000,-77.1559500,38.0
38.96570000,-77.1560200,37.0
38.96572000,-77.1560700,36.0
38.96574000,-77.1561300,35.0
38.96573000,-77.1561900,35.0
38.96573000,-77.1562600,35.0
38.96576000,-77.1564000,32.0
38.96577000,-77.1564600,32.0
38.96578000,-77.1565200,32.0
38.96576000,-77.1565900,33.0
38.96574000,-77.1566400,33.0
38.96571000,-77.1566900,35.0
38.96567000,-77.1567300,36.0
38.96562000,-77.1567400,38.0
38.96559000,-77.1567400,39.0
38.96554000,-77.1567100,41.0
38.96549000,-77.1566700,42.0
38.96553000,-77.1566800,41.0
38.96549000,-77.1566800,42.0
38.96552000,-77.1566800,42.0
38.96551000,-77.1566900,41.0
38.96551000,-77.1567000,41.0
38.96550000,-77.1567300,41.0
38.96551000,-77.1567500,41.0
38.96553000,-77.1567900,40.0
38.96554000,-77.1568100,40.0
38.96558000,-77.1568100,39.0
38.96555000,-77.1568300,39.0
38.96548000,-77.1568200,40.0
38.96547000,-77.1568200,40.0
38.96549000,-77.1567600,41.0
38.96553000,-77.1567200,41.0
38.96555000,-77.1567000,41.0
38.96555000,-77.1566800,41.0
38.96558000,-77.1566800,40.0
38.96556000,-77.1567200,40.0
38.96551000,-77.1567700,40.0
38.96546000,-77.1568100,41.0
38.96540000,-77.1568500,41.0
38.96540000,-77.1568800,41.0
38.96540000,-77.1569600,41.0
38.96540000,-77.1570300,41.0
38.96545000,-77.1570800,40.0
38.96550000,-77.1571300,38.0
38.96554000,-77.1571900,35.0
38.96555000,-77.1572700,35.0
38.96558000,-77.1573300,33.0
38.96562000,-77.1573700,31.0
38.96565000,-77.1574000,30.0
38.96562000,-77.1573800,31.0
38.96563000,-77.1573700,31.0
38.96564000,-77.1573700,30.0
38.96565000,-77.1573700,30.0
38.96566000,-77.1574500,30.0
38.96564000,-77.1575200,31.0
38.96565000,-77.1576000,32.0
38.96568000,-77.1576700,32.0
38.96572000,-77.1577500,32.0
38.96576000,-77.1578200,32.0
38.96579000,-77.1578900,33.0
38.96579000,-77.1579700,35.0
38.96580000,-77.1579900,35.0
38.96581000,-77.1580000,35.0
38.96579000,-77.1580500,37.0
38.96578000,-77.1581200,39.0
38.96580000,-77.1582000,40.0
38.96582000,-77.1582800,41.0
38.96585000,-77.1583500,41.0
38.96585000,-77.1584300,40.0
38.96581000,-77.1585100,41.0
38.96580000,-77.1585900,41.0
38.96579000,-77.1586700,41.0
38.96579000,-77.1587500,41.0
38.96583000,-77.1588200,38.0
38.96584000,-77.1589000,37.0
38.96584000,-77.1589800,37.0
38.96587000,-77.1590600,35.0
38.96588000,-77.1591400,35.0
38.96591000,-77.1592300,35.0
38.96595000,-77.1593000,35.0
38.96597000,-77.1593800,35.0
38.96594000,-77.1594700,39.0
38.96592000,-77.1595400,41.0
38.96592000,-77.1596200,43.0
38.96597000,-77.1596800,42.0
38.96601000,-77.1597600,42.0
38.96604000,-77.1598300,41.0
38.96607000,-77.1599100,40.0
38.96610000,-77.1599900,39.0
38.96611000,-77.1600600,39.0
38.96609000,-77.1601300,40.0
38.96610000,-77.1602200,39.0
38.96612000,-77.1602900,37.0
38.96609000,-77.1603700,38.0
38.96607000,-77.1604300,38.0
38.96606000,-77.1604900,37.0
38.96605000,-77.1605500,36.0
