Latitude,Longitude,Elevation
38.96279000,-77.1516500,81.0
38.96278000,-77.1516200,81.0
38.96279000,-77.1516600,81.0
38.96280000,-77.1516900,81.0
38.96283000,-77.1517300,81.0
38.96284000,-77.1517500,81.0
38.96287000,-77.1517900,81.0
38.96289000,-77.1518100,81.0
38.96292000,-77.1518400,81.0
38.96294000,-77.1518700,81.0
38.96297000,-77.1518900,81.0
38.96300000,-77.1519100,81.0
38.96302000,-77.1519300,81.0
38.96305000,-77.1519500,81.0
38.96308000,-77.1519800,82.0
38.96311000,-77.1520100,82.0
38.96314000,-77.1520300,82.0
38.96316000,-77.1520600,82.0
38.96320000,-77.1520800,82.0
38.96324000,-77.1520900,82.0
38.96328000,-77.1520800,82.0
38.96332000,-77.1520700,82.0
38.96335000,-77.1520800,83.0
38.96338000,-77.1520900,83.0
38.96342000,-77.1520900,83.0
38.96345000,-77.1520900,83.0
38.96349000,-77.1520900,83.0
38.96352000,-77.1520800,83.0
38.96355000,-77.1520900,83.0
38.96358000,-77.1521100,83.0
38.96362000,-77.1521300,82.0
38.96365000,-77.1521500,82.0
38.96368000,-77.1521600,82.0
38.96371000,-77.1521800,82.0
38.96375000,-77.1522100,82.0
38.96376000,-77.1522400,82.0
38.96377000,-77.1522800,82.0
38.96378000,-77.1523300,82.0
38.96381000,-77.1523500,82.0
38.96383000,-77.1523800,82.0
38.96386000,-77.1523900,82.0
38.96390000,-77.1524100,82.0
38.96393000,-77.1524300,82.0
38.96396000,-77.1524500,82.0
38.96399000,-77.1524500,82.0
38.96403000,-77.1524600,82.0
38.96405000,-77.1524900,82.0
38.96408000,-77.1525000,82.0
38.96410000,-77.1525400,82.0
38.96412000,-77.1525700,82.0
38.96413000,-77.1526100,82.0
38.96413000,-77.1526500,82.0
38.96413000,-77.1527000,82.0
38.96413000,-77.1527400,82.0
38.96413000,-77.1527800,82.0
38.96414000,-77.1528200,82.0
38.96414000,-77.1528600,82.0
38.96416000,-77.1529100,82.0
38.96418000,-77.1529300,81.0
38.96420000,-77.1529400,81.0
38.96423000,-77.1529400,82.0
38.96426000,-77.1529500,82.0
38.96429000,-77.1529500,82.0
38.96433000,-77.1529700,82.0
38.96435000,-77.1530000,82.0
38.96438000,-77.1530400,81.0
38.96441000,-77.1530700,81.0
38.96443000,-77.1531000,81.0
38.96445000,-77.1531200,81.0
38.96447000,-77.1531500,81.0
38.96450000,-77.1531700,80.0
38.96453000,-77.1531900,80.0
38.96455000,-77.1532100,80.0
38.96458000,-77.1532200,79.0
38.96461000,-77.1532400,79.0
38.96465000,-77.1532300,79.0
38.96469000,-77.1532300,78.0
38.96472000,-77.1532400,78.0
38.96475000,-77.1532600,78.0
38.96478000,-77.1532900,77.0
38.96480000,-77.1533300,77.0
38.96480000,-77.1533700,76.0
38.96483000,-77.1534000,76.0
38.96486000,-77.1534200,75.0
38.96486000,-77.1534700,75.0
38.96487000,-77.1535100,75.0
38.96488000,-77.1535500,74.0
38.96490000,-77.1535900,74.0
38.96491000,-77.1536200,74.0
38.96493000,-77.1536700,73.0
38.96495000,-77.1537100,73.0
38.96494000,-77.1537400,74.0
38.96495000,-77.1537900,74.0
38.96497000,-77.1538300,74.0
38.96499000,-77.1538700,74.0
38.96501000,-77.1539000,73.0
38.96503000,-77.1539400,73.0
38.96504000,-77.1539800,74.0
38.96503000,-77.1540200,74.0
38.96502000,-77.1540600,75.0
38.96503000,-77.1541100,75.0
38.96504000,-77.1541400,75.0
38.96505000,-77.1541800,75.0
38.96506000,-77.1542100,75.0
38.96507000,-77.1542500,74.0
38.96508000,-77.1542800,74.0
38.96508000,-77.1543200,74.0
38.96510000,-77.1543500,73.0
38.96510000,-77.1543800,73.0
38.96511000,-77.1544200,73.0
38.96511000,-77.1544600,72.0
38.96511000,-77.1545100,72.0
38.96511000,-77.1545600,72.0
38.96512000,-77.1546000,72.0
38.96512000,-77.1546500,72.0
38.96514000,-77.1547000,71.0
38.96516000,-77.1547300,71.0
38.96519000,-77.1547600,70.0
