Latitude,Longitude,Elevation
38.58275000,-77.3735100,86.0
38.58287000,-77.3736800,86.0
38.58288000,-77.3735100,87.0
38.58265000,-77.3732600,88.0
38.58292000,-77.3733400,88.0
38.58313000,-77.3734800,88.0
38.58334000,-77.3736000,90.0
38.58356000,-77.3736800,91.0
38.58369000,-77.3737300,92.0
38.58383000,-77.3737700,93.0
38.58392000,-77.3739200,94.0
38.58406000,-77.3739700,94.0
38.58419000,-77.3740500,94.0
38.58431000,-77.3741600,94.0
38.58441000,-77.3742900,95.0
38.58449000,-77.3744400,95.0
38.58458000,-77.3745700,95.0
38.58461000,-77.3747500,95.0
38.58443000,-77.3749600,95.0
38.58471000,-77.3748500,95.0
38.58479000,-77.3750000,94.0
38.58471000,-77.3751500,93.0
38.58473000,-77.3753300,92.0
38.58467000,-77.3755000,91.0
38.58458000,-77.3756300,91.0
38.58445000,-77.3756900,91.0
38.58439000,-77.3758600,91.0
38.58437000,-77.3760400,91.0
38.58423000,-77.3760700,91.0
38.58415000,-77.3759300,90.0
38.58406000,-77.3758000,90.0
38.58400000,-77.3759600,90.0
38.58393000,-77.3762800,89.0
38.58390000,-77.3764600,87.0
38.58383000,-77.3766300,84.0
38.58373000,-77.3767500,83.0
38.58367000,-77.3769100,83.0
38.58357000,-77.3770400,82.0
38.58349000,-77.3771800,82.0
38.58387000,-77.3776800,83.0
38.58409000,-77.3779000,82.0
38.58421000,-77.3782300,84.0
38.58422000,-77.3784000,86.0
38.58418000,-77.3787400,89.0
38.58427000,-77.3790700,92.0
38.58451000,-77.3792700,94.0
38.58475000,-77.3794600,95.0
38.58494000,-77.3797300,95.0
38.58499000,-77.3800800,97.0
38.58520000,-77.3803200,99.0
38.58518000,-77.3806800,99.0
38.58518000,-77.3810200,99.0
38.58498000,-77.3812500,97.0
38.58507000,-77.3819400,96.0
38.58520000,-77.3822500,98.0
38.58538000,-77.3825100,100.0
38.58556000,-77.3827800,100.0
38.58545000,-77.3831100,97.0
38.58527000,-77.3833700,94.0
38.58507000,-77.3836200,93.0
38.58484000,-77.3838300,89.0
38.58466000,-77.3840900,86.0
38.58493000,-77.3842100,88.0
38.58501000,-77.3845600,90.0
38.58502000,-77.3849100,90.0
38.58491000,-77.3852300,91.0
38.58482000,-77.3855600,94.0
38.58468000,-77.3858700,93.0
38.58467000,-77.3862400,89.0
38.58485000,-77.3865100,86.0
38.58493000,-77.3868500,83.0
38.58484000,-77.3871900,81.0
38.58457000,-77.3872300,79.0
38.58430000,-77.3871600,77.0
38.58378000,-77.3874100,77.0
38.58351000,-77.3873700,80.0
38.58311000,-77.3878300,86.0
38.58303000,-77.3879800,88.0
38.58301000,-77.3881500,89.0
38.58295000,-77.3883200,90.0
38.58285000,-77.3884600,91.0
38.58276000,-77.3886000,92.0
38.58264000,-77.3886800,91.0
38.58256000,-77.3888200,91.0
38.58243000,-77.3888900,90.0
38.58230000,-77.3889900,89.0
38.58217000,-77.3890600,88.0
38.58205000,-77.3891700,88.0
38.58196000,-77.3893200,88.0
38.58184000,-77.3894300,88.0
38.58171000,-77.3895000,88.0
38.58160000,-77.3896100,89.0
38.58149000,-77.3897300,91.0
38.58139000,-77.3898400,93.0
38.58136000,-77.3900100,95.0
38.58131000,-77.3901800,94.0
38.58127000,-77.3903600,94.0
38.58122000,-77.3905300,95.0
38.58120000,-77.3907100,96.0
38.58112000,-77.3908600,99.0
38.58107000,-77.3910300,100.0
38.58103000,-77.3912000,101.0
38.58089000,-77.3915000,105.0
38.58084000,-77.3916700,106.0
38.58083000,-77.3918400,106.0
38.58082000,-77.3920100,105.0
38.58083000,-77.3921900,105.0
38.58089000,-77.3923500,104.0
38.58092000,-77.3925200,104.0
38.58094000,-77.3927000,104.0
38.58095000,-77.3928900,104.0
38.58093000,-77.3930700,104.0
38.58092000,-77.3932500,103.0
38.58095000,-77.3934300,103.0
38.58093000,-77.3936200,103.0
38.58093000,-77.3938000,103.0
38.58084000,-77.3939500,103.0
38.58083000,-77.3941300,103.0
38.58084000,-77.3943000,103.0
38.58084000,-77.3944900,102.0
38.58086000,-77.3946600,102.0
38.58097000,-77.3949900,101.0
38.58095000,-77.3951600,100.0
38.58098000,-77.3953300,100.0
38.58119000,-77.3955500,103.0
38.58117000,-77.3957400,103.0
38.58112000,-77.3959100,104.0
38.58100000,-77.3960100,104.0
38.58087000,-77.3960900,104.0
38.58073000,-77.3960900,103.0
38.58059000,-77.3960800,103.0
38.58045000,-77.3961300,102.0
38.58031000,-77.3961900,102.0
38.58017000,-77.3961800,103.0
38.58004000,-77.3962400,103.0
38.57991000,-77.3963200,102.0
38.57979000,-77.3964100,102.0
38.57967000,-77.3965400,100.0
38.57954000,-77.3965900,98.0
38.57942000,-77.3966900,96.0
38.57929000,-77.3967500,94.0
38.57917000,-77.3968600,93.0
38.57905000,-77.3969700,92.0
38.57891000,-77.3970200,90.0
38.57884000,-77.3971800,89.0
38.57860000,-77.3973900,87.0
38.57851000,-77.3975300,87.0
38.57841000,-77.3976500,87.0
38.57831000,-77.3977700,87.0
38.57821000,-77.3979000,87.0
38.57808000,-77.3979900,86.0
38.57784000,-77.3981500,87.0
38.57757000,-77.3982500,85.0
38.57742000,-77.3982500,84.0
38.57736000,-77.3984100,83.0
38.57723000,-77.3987200,82.0
38.57699000,-77.3989100,83.0
38.57675000,-77.3990900,83.0
38.57669000,-77.3994300,85.0
38.57652000,-77.3997000,88.0
38.57640000,-77.3997800,89.0
38.57628000,-77.3998800,90.0
38.57605000,-77.4000800,92.0
38.57586000,-77.4003600,94.0
38.57580000,-77.4005200,95.0
38.57575000,-77.4006900,95.0
38.57564000,-77.4008000,95.0
38.57557000,-77.4009600,93.0
38.57554000,-77.4011300,91.0
38.57544000,-77.4012900,88.0
38.57539000,-77.4014500,85.0
38.57526000,-77.4015200,83.0
38.57513000,-77.4015800,82.0
38.57507000,-77.4017400,81.0
38.57493000,-77.4018100,81.0
38.57479000,-77.4018900,81.0
38.57452000,-77.4019400,75.0
38.57399000,-77.4018400,67.0
38.57344000,-77.4018000,65.0
38.57318000,-77.4017000,65.0
38.57290000,-77.4015900,65.0
38.57263000,-77.4016400,64.0
38.57234000,-77.4016900,63.0
38.57210000,-77.4015000,63.0
38.57204000,-77.4011500,61.0
38.57204000,-77.4008000,63.0
38.57202000,-77.4004500,64.0
38.57186000,-77.4001500,64.0
38.57190000,-77.3997400,62.0
38.57178000,-77.3990800,61.0
38.57190000,-77.3987600,59.0
38.57209000,-77.3985100,62.0
38.57227000,-77.3982400,61.0
38.57248000,-77.3980000,61.0
38.57257000,-77.3976600,62.0
38.57279000,-77.3974500,63.0
