Latitude,Longitude,Elevation
38.76635000,-77.4071500,103.0
38.76625000,-77.4071700,104.0
38.76627000,-77.4071400,104.0
38.76629000,-77.4071100,103.0
38.76632000,-77.4070900,103.0
38.76634000,-77.4071000,103.0
38.76637000,-77.4071100,103.0
38.76640000,-77.4071100,103.0
38.76643000,-77.4071200,103.0
38.76640000,-77.4071500,103.0
38.76638000,-77.4071700,103.0
38.76637000,-77.4072100,103.0
38.76635000,-77.4072500,103.0
38.76633000,-77.4072800,103.0
38.76630000,-77.4073100,103.0
38.76629000,-77.4073400,102.0
38.76627000,-77.4073800,102.0
38.76626000,-77.4074200,102.0
38.76624000,-77.4074500,102.0
38.76623000,-77.4074800,102.0
38.76621000,-77.4075200,102.0
38.76619000,-77.4075500,102.0
38.76618000,-77.4075900,102.0
38.76617000,-77.4076200,102.0
38.76616000,-77.4076600,102.0
38.76616000,-77.4077000,102.0
38.76614000,-77.4077400,102.0
38.76613000,-77.4077700,102.0
38.76611000,-77.4078100,102.0
38.76609000,-77.4078400,102.0
38.76609000,-77.4078800,102.0
38.76609000,-77.4079200,102.0
38.76608000,-77.4079600,102.0
38.76606000,-77.4080000,102.0
38.76603000,-77.4080400,102.0
38.76599000,-77.4080500,102.0
38.76595000,-77.4080500,102.0
38.76591000,-77.4080700,101.0
38.76588000,-77.4081000,101.0
38.76587000,-77.4081300,101.0
38.76585000,-77.4081800,101.0
38.76584000,-77.4082300,101.0
38.76583000,-77.4082700,101.0
38.76583000,-77.4083100,101.0
38.76583000,-77.4083500,100.0
38.76587000,-77.4083400,100.0
38.76590000,-77.4083300,100.0
38.76592000,-77.4083300,100.0
38.76593000,-77.4083700,100.0
38.76593000,-77.4084000,100.0
38.76592000,-77.4084400,100.0
38.76591000,-77.4084800,99.0
38.76589000,-77.4085300,99.0
38.76588000,-77.4085600,99.0
38.76587000,-77.4086000,99.0
38.76586000,-77.4086400,99.0
38.76585000,-77.4086800,98.0
38.76583000,-77.4087000,98.0
38.76581000,-77.4087200,98.0
38.76579000,-77.4087600,98.0
38.76577000,-77.4088000,97.0
38.76575000,-77.4088300,97.0
38.76572000,-77.4088400,97.0
38.76569000,-77.4088300,97.0
38.76565000,-77.4088400,97.0
38.76563000,-77.4088400,96.0
38.76560000,-77.4088500,96.0
38.76557000,-77.4088500,96.0
38.76554000,-77.4088700,95.0
38.76551000,-77.4088800,95.0
38.76548000,-77.4088900,95.0
38.76545000,-77.4089000,94.0
38.76541000,-77.4088900,94.0
38.76538000,-77.4088900,94.0
38.76535000,-77.4089000,93.0
38.76532000,-77.4088900,93.0
38.76528000,-77.4088800,93.0
38.76525000,-77.4088800,92.0
38.76522000,-77.4088900,92.0
38.76519000,-77.4089000,92.0
38.76516000,-77.4089100,91.0
38.76513000,-77.4089100,91.0
38.76510000,-77.4089100,90.0
38.76508000,-77.4089100,90.0
38.76505000,-77.4089200,90.0
38.76502000,-77.4089300,90.0
38.76499000,-77.4089400,89.0
38.76496000,-77.4089400,89.0
38.76492000,-77.4089400,88.0
38.76489000,-77.4089500,88.0
38.76486000,-77.4089500,87.0
38.76483000,-77.4089400,87.0
38.76481000,-77.4089200,87.0
38.76478000,-77.4089000,86.0
38.76478000,-77.4088700,86.0
38.76475000,-77.4088900,86.0
38.76472000,-77.4089000,85.0
38.76469000,-77.4089000,85.0
38.76467000,-77.4088800,85.0
38.76467000,-77.4088400,85.0
38.76468000,-77.4087900,86.0
38.76466000,-77.4088200,85.0
38.76463000,-77.4088400,85.0
38.76460000,-77.4088500,85.0
38.76456000,-77.4088400,85.0
38.76453000,-77.4088300,84.0
38.76449000,-77.4088200,84.0
38.76446000,-77.4088100,84.0
38.76443000,-77.4088000,84.0
38.76440000,-77.4088200,84.0
38.76438000,-77.4088400,84.0
38.76435000,-77.4088600,84.0
38.76436000,-77.4088900,83.0
38.76440000,-77.4089000,83.0
38.76442000,-77.4089000,83.0
38.76445000,-77.4088800,84.0
38.76448000,-77.4088900,84.0
38.76451000,-77.4089000,84.0
38.76454000,-77.4089000,84.0
38.76451000,-77.4088700,84.0
38.76448000,-77.4088700,84.0
38.76445000,-77.4088700,84.0
38.76448000,-77.4088400,84.0
38.76451000,-77.4088400,84.0
38.76448000,-77.4088600,84.0
38.76445000,-77.4088700,84.0
38.76442000,-77.4088700,84.0
38.76440000,-77.4089100,83.0
38.76437000,-77.4089400,83.0
38.76434000,-77.4089500,83.0
38.76432000,-77.4089600,83.0
38.76429000,-77.4089700,83.0
38.76425000,-77.4089800,83.0
38.76423000,-77.4089600,83.0
38.76419000,-77.4089600,83.0
38.76416000,-77.4089600,84.0
38.76414000,-77.4089900,84.0
38.76412000,-77.4090100,84.0
38.76410000,-77.4090500,85.0
38.76408000,-77.4090700,85.0
38.76407000,-77.4091000,85.0
38.76405000,-77.4091300,85.0
38.76402000,-77.4091500,86.0
38.76399000,-77.4091600,86.0
38.76396000,-77.4091700,86.0
38.76392000,-77.4091900,87.0
38.76389000,-77.4092000,87.0
38.76386000,-77.4092000,88.0
38.76383000,-77.4092000,88.0
38.76381000,-77.4091800,89.0
38.76378000,-77.4091800,90.0
38.76375000,-77.4091900,90.0
38.76376000,-77.4092200,90.0
38.76376000,-77.4091900,90.0
38.76377000,-77.4092300,89.0
38.76379000,-77.4092700,89.0
38.76379000,-77.4093100,88.0
38.76379000,-77.4093500,88.0
38.76377000,-77.4093900,88.0
38.76375000,-77.4094100,88.0
38.76373000,-77.4094300,88.0
38.76369000,-77.4094400,88.0
38.76366000,-77.4094500,89.0
38.76364000,-77.4094700,89.0
38.76361000,-77.4094900,89.0
38.76358000,-77.4094900,89.0
38.76355000,-77.4095100,89.0
38.76353000,-77.4095500,89.0
38.76351000,-77.4095900,88.0
38.76348000,-77.4096100,88.0
38.76345000,-77.4096400,88.0
38.76342000,-77.4096600,88.0
38.76339000,-77.4096700,89.0
38.76336000,-77.4096700,89.0
38.76333000,-77.4096600,89.0
38.76330000,-77.4096600,90.0
38.76327000,-77.4096400,91.0
38.76325000,-77.4096400,91.0
38.76321000,-77.4096200,92.0
38.76319000,-77.4095900,92.0
38.76317000,-77.4095700,93.0
38.76314000,-77.4095400,93.0
38.76312000,-77.4095000,94.0
38.76310000,-77.4094800,95.0
38.76308000,-77.4094700,95.0
38.76306000,-77.4094500,95.0
38.76305000,-77.4094100,95.0
38.76301000,-77.4094200,95.0
38.76298000,-77.4094200,95.0
38.76295000,-77.4094100,95.0
38.76292000,-77.4093800,95.0
38.76289000,-77.4093600,95.0
38.76285000,-77.4093500,95.0
38.76282000,-77.4093400,95.0
38.76280000,-77.4093200,95.0
38.76277000,-77.4093000,96.0
38.76272000,-77.4092600,96.0
38.76273000,-77.4092300,96.0
38.76276000,-77.4092200,96.0
38.76280000,-77.4092200,96.0
38.76283000,-77.4092000,96.0
38.76280000,-77.4091700,96.0
38.76277000,-77.4091600,97.0
38.76275000,-77.4091800,97.0
38.76272000,-77.4092000,96.0
38.76268000,-77.4092100,97.0
38.76265000,-77.4092100,97.0
38.76262000,-77.4092100,97.0
38.76258000,-77.4092000,97.0
38.76255000,-77.4092000,97.0
38.76252000,-77.4091900,97.0
38.76249000,-77.4091800,97.0
38.76247000,-77.4091500,98.0
38.76246000,-77.4091200,98.0
38.76243000,-77.4091300,98.0
38.76241000,-77.4091600,98.0
38.76238000,-77.4091600,98.0
38.76234000,-77.4091800,97.0
38.76232000,-77.4092100,97.0
38.76230000,-77.4092500,97.0
38.76229000,-77.4092800,97.0
38.76228000,-77.4093200,97.0
38.76229000,-77.4093600,97.0
38.76229000,-77.4094000,97.0
38.76226000,-77.4094200,97.0
38.76223000,-77.4094400,97.0
38.76219000,-77.4094600,97.0
38.76215000,-77.4094800,97.0
38.76211000,-77.4094900,97.0
38.76208000,-77.4094800,97.0
38.76208000,-77.4095400,97.0
38.76208000,-77.4095800,97.0
38.76208000,-77.4096300,98.0
38.76208000,-77.4096700,98.0
38.76208000,-77.4097100,98.0
38.76207000,-77.4097400,98.0
38.76208000,-77.4097800,98.0
38.76208000,-77.4098200,98.0
38.76209000,-77.4098700,98.0
38.76208000,-77.4099100,98.0
38.76207000,-77.4099500,98.0
38.76207000,-77.4099900,99.0
38.76207000,-77.4100300,99.0
38.76206000,-77.4100800,99.0
38.76204000,-77.4101100,99.0
38.76202000,-77.4101400,99.0
38.76199000,-77.4101800,100.0
38.76198000,-77.4102100,100.0
38.76199000,-77.4102500,100.0
38.76197000,-77.4102800,100.0
38.76196000,-77.4103200,100.0
38.76195000,-77.4103600,100.0
38.76195000,-77.4104100,100.0
38.76195000,-77.4104500,100.0
38.76196000,-77.4104900,100.0
38.76194000,-77.4105300,100.0
38.76193000,-77.4105600,99.0
38.76192000,-77.4106000,99.0
38.76191000,-77.4106300,99.0
38.76189000,-77.4106700,99.0
38.76189000,-77.4107100,99.0
38.76188000,-77.4107500,99.0
38.76187000,-77.4107900,99.0
38.76186000,-77.4108200,99.0
38.76184000,-77.4108500,100.0
38.76181000,-77.4108900,100.0
38.76179000,-77.4109200,100.0
38.76177000,-77.4109500,100.0
38.76173000,-77.4109700,101.0
38.76172000,-77.4110000,101.0
38.76171000,-77.4110400,101.0
38.76169000,-77.4110600,101.0
38.76166000,-77.4110800,101.0
38.76163000,-77.4110900,101.0
38.76160000,-77.4110900,101.0
38.76157000,-77.4111000,100.0
38.76155000,-77.4111300,100.0
38.76156000,-77.4111700,100.0
38.76156000,-77.4112100,101.0
38.76157000,-77.4112500,101.0
38.76154000,-77.4112900,100.0
38.76152000,-77.4113000,100.0
38.76149000,-77.4113100,100.0
38.76147000,-77.4113400,100.0
38.76146000,-77.4113800,100.0
38.76143000,-77.4113900,99.0
38.76140000,-77.4114000,99.0
38.76137000,-77.4114000,98.0
38.76132000,-77.4114100,98.0
38.76129000,-77.4114200,97.0
38.76127000,-77.4114400,97.0
38.76124000,-77.4114500,96.0
38.76121000,-77.4114600,96.0
38.76119000,-77.4114700,95.0
38.76115000,-77.4114700,95.0
38.76112000,-77.4114800,94.0
38.76109000,-77.4115000,94.0
38.76107000,-77.4115300,93.0
38.76105000,-77.4115600,93.0
38.76102000,-77.4115700,93.0
38.76100000,-77.4115900,92.0
38.76097000,-77.4116100,92.0
38.76097000,-77.4116400,92.0
38.76097000,-77.4116800,91.0
38.76096000,-77.4117200,91.0
38.76095000,-77.4117500,91.0
38.76094000,-77.4117800,90.0
38.76093000,-77.4118200,90.0
38.76093000,-77.4118700,90.0
38.76094000,-77.4119100,90.0
38.76097000,-77.4119300,90.0
38.76097000,-77.4119700,90.0
38.76097000,-77.4120100,90.0
38.76100000,-77.4120300,90.0
38.76103000,-77.4120400,90.0
38.76102000,-77.4120700,90.0
38.76102000,-77.4121100,89.0
38.76103000,-77.4121500,89.0
38.76102000,-77.4121900,89.0
38.76101000,-77.4122300,88.0
38.76100000,-77.4122700,88.0
38.76100000,-77.4123000,88.0
38.76100000,-77.4123400,87.0
38.76101000,-77.4123700,87.0
38.76101000,-77.4124100,87.0
38.76100000,-77.4124700,87.0
38.76099000,-77.4125000,86.0
38.76099000,-77.4125500,86.0
38.76099000,-77.4125900,86.0
38.76098000,-77.4126200,85.0
38.76098000,-77.4126700,85.0
38.76097000,-77.4127100,85.0
38.76096000,-77.4127500,84.0
38.76097000,-77.4127900,84.0
38.76099000,-77.4128200,85.0
38.76096000,-77.4128100,84.0
38.76095000,-77.4128400,84.0
38.76095000,-77.4128900,84.0
38.76096000,-77.4129400,83.0
38.76096000,-77.4129800,83.0
38.76096000,-77.4130200,83.0
38.76096000,-77.4130600,83.0
38.76098000,-77.4130900,83.0
38.76100000,-77.4131300,83.0
38.76099000,-77.4131700,83.0
38.76099000,-77.4132100,83.0
38.76098000,-77.4132500,83.0
38.76098000,-77.4132900,83.0
38.76098000,-77.4133300,83.0
38.76097000,-77.4133700,82.0
38.76095000,-77.4134000,82.0
38.76094000,-77.4134300,82.0
38.76092000,-77.4134800,82.0
38.76090000,-77.4135000,82.0
38.76087000,-77.4135100,82.0
38.76085000,-77.4135500,82.0
38.76082000,-77.4135600,81.0
38.76080000,-77.4135900,81.0
38.76079000,-77.4136300,81.0
38.76076000,-77.4136600,81.0
38.76075000,-77.4136900,81.0
38.76073000,-77.4137300,81.0
38.76070000,-77.4137400,81.0
38.76067000,-77.4137600,81.0
38.76065000,-77.4137900,81.0
38.76062000,-77.4138300,81.0
38.76062000,-77.4138800,82.0
38.76062000,-77.4139200,82.0
38.76061000,-77.4139500,82.0
38.76061000,-77.4139900,82.0
38.76061000,-77.4140300,83.0
38.76060000,-77.4140800,83.0
38.76059000,-77.4141200,83.0
38.76059000,-77.4141600,83.0
38.76058000,-77.4142000,83.0
38.76057000,-77.4142300,83.0
38.76057000,-77.4142800,83.0
38.76058000,-77.4143200,83.0
38.76059000,-77.4143600,83.0
38.76059000,-77.4144000,83.0
38.76058000,-77.4144300,83.0
38.76058000,-77.4144800,83.0
38.76058000,-77.4145200,83.0
38.76056000,-77.4145500,83.0
38.76056000,-77.4145900,82.0
38.76055000,-77.4146400,82.0
38.76056000,-77.4146800,82.0
38.76056000,-77.4147200,82.0
38.76055000,-77.4147700,82.0
38.76055000,-77.4148000,82.0
38.76055000,-77.4148400,82.0
38.76056000,-77.4148700,81.0
38.76059000,-77.4149100,81.0
38.76059000,-77.4149500,81.0
38.76059000,-77.4149900,81.0
38.76061000,-77.4150300,81.0
38.76061000,-77.4150700,81.0
38.76061000,-77.4151100,81.0
38.76063000,-77.4151400,81.0
38.76065000,-77.4151700,80.0
38.76067000,-77.4152000,80.0
38.76067000,-77.4152400,80.0
38.76070000,-77.4152700,80.0
38.76071000,-77.4153100,79.0
38.76072000,-77.4153400,79.0
38.76074000,-77.4153200,79.0
38.76075000,-77.4153500,78.0
38.76077000,-77.4153800,78.0
38.76078000,-77.4154300,78.0
38.76080000,-77.4154500,77.0
38.76082000,-77.4154900,77.0
38.76085000,-77.4155000,77.0
38.76087000,-77.4155200,77.0
38.76089000,-77.4155600,76.0
38.76092000,-77.4155800,76.0
38.76093000,-77.4156100,76.0
