Latitude,Longitude,Elevation
37.37900000,-80.1559900,536.0
37.37903000,-80.1560500,536.0
37.37903000,-80.1560200,536.0
37.37906000,-80.1560400,536.0
37.37909000,-80.1560600,536.0
37.37913000,-80.1560700,536.0
37.37916000,-80.1560800,536.0
37.37918000,-80.1561100,537.0
37.37921000,-80.1561300,537.0
37.37925000,-80.1561400,537.0
37.37928000,-80.1561500,537.0
37.37931000,-80.1561700,538.0
37.37933000,-80.1561800,538.0
37.37937000,-80.1561800,538.0
37.37940000,-80.1561600,537.0
37.37943000,-80.1561500,537.0
37.37945000,-80.1561300,537.0
37.37947000,-80.1561000,536.0
37.37948000,-80.1560600,536.0
37.37950000,-80.1560200,535.0
37.37953000,-80.1559900,535.0
37.37954000,-80.1559600,534.0
37.37956000,-80.1559200,534.0
37.37957000,-80.1558800,534.0
37.37956000,-80.1558300,533.0
37.37954000,-80.1558200,533.0
37.37953000,-80.1557900,533.0
37.37952000,-80.1557400,533.0
37.37949000,-80.1556900,532.0
37.37946000,-80.1556800,532.0
37.37942000,-80.1556600,532.0
37.37940000,-80.1556400,532.0
37.37937000,-80.1556200,532.0
37.37934000,-80.1556000,532.0
37.37931000,-80.1555900,532.0
37.37928000,-80.1555700,532.0
37.37924000,-80.1555500,532.0
37.37920000,-80.1555400,532.0
37.37918000,-80.1555100,533.0
37.37916000,-80.1554900,533.0
37.37913000,-80.1554700,533.0
37.37909000,-80.1554600,534.0
37.37906000,-80.1554500,534.0
37.37902000,-80.1554300,534.0
37.37900000,-80.1554100,534.0
37.37898000,-80.1553900,535.0
37.37896000,-80.1553600,535.0
37.37893000,-80.1553400,535.0
37.37889000,-80.1553200,535.0
37.37885000,-80.1553200,536.0
37.37882000,-80.1553100,536.0
37.37879000,-80.1552900,536.0
37.37877000,-80.1552600,536.0
37.37874000,-80.1552300,536.0
37.37871000,-80.1552000,537.0
37.37869000,-80.1551800,537.0
37.37865000,-80.1551600,537.0
37.37862000,-80.1551400,537.0
37.37859000,-80.1551200,537.0
37.37856000,-80.1551000,537.0
37.37853000,-80.1550600,537.0
37.37851000,-80.1550400,537.0
37.37849000,-80.1550000,537.0
37.37848000,-80.1549600,537.0
37.37846000,-80.1549300,537.0
37.37844000,-80.1549100,537.0
37.37842000,-80.1548800,537.0
37.37841000,-80.1548400,537.0
37.37839000,-80.1548100,537.0
37.37837000,-80.1547700,537.0
37.37835000,-80.1547400,537.0
37.37832000,-80.1547400,536.0
37.37829000,-80.1547000,537.0
37.37827000,-80.1546800,537.0
37.37825000,-80.1546400,537.0
37.37822000,-80.1546000,537.0
37.37819000,-80.1545700,537.0
37.37816000,-80.1545500,537.0
37.37814000,-80.1545200,537.0
37.37812000,-80.1545000,537.0
37.37809000,-80.1544800,537.0
37.37806000,-80.1544500,537.0
37.37806000,-80.1544100,538.0
37.37806000,-80.1543800,539.0
37.37807000,-80.1543400,539.0
37.37807000,-80.1543100,540.0
37.37807000,-80.1542600,541.0
37.37807000,-80.1542200,542.0
37.37809000,-80.1541900,542.0
37.37812000,-80.1541600,543.0
37.37813000,-80.1541300,544.0
37.37816000,-80.1541500,544.0
37.37816000,-80.1541800,543.0
37.37817000,-80.1541400,544.0
37.37816000,-80.1541000,544.0
37.37816000,-80.1540500,545.0
37.37815000,-80.1540100,546.0
37.37815000,-80.1539700,547.0
37.37812000,-80.1539800,546.0
37.37809000,-80.1540000,546.0
37.37806000,-80.1540100,545.0
37.37802000,-80.1540100,545.0
37.37798000,-80.1540000,545.0
37.37796000,-80.1539800,545.0
37.37793000,-80.1539700,545.0
37.37789000,-80.1539600,545.0
37.37786000,-80.1539500,545.0
37.37783000,-80.1539200,545.0
37.37780000,-80.1539000,545.0
37.37777000,-80.1538900,545.0
37.37774000,-80.1538800,546.0
37.37771000,-80.1538700,546.0
37.37769000,-80.1538400,547.0
37.37766000,-80.1538100,547.0
37.37764000,-80.1537900,548.0
37.37761000,-80.1537800,548.0
37.37759000,-80.1537600,548.0
37.37756000,-80.1537300,549.0
37.37753000,-80.1537100,550.0
37.37751000,-80.1536700,550.0
37.37749000,-80.1536300,551.0
37.37747000,-80.1536000,551.0
37.37745000,-80.1535700,552.0
37.37743000,-80.1535500,552.0
37.37741000,-80.1535200,553.0
37.37740000,-80.1534700,554.0
37.37740000,-80.1534300,555.0
37.37738000,-80.1534000,556.0
37.37735000,-80.1533800,556.0
37.37733000,-80.1533600,556.0
37.37730000,-80.1533400,557.0
37.37729000,-80.1533100,557.0
37.37729000,-80.1532700,558.0
37.37728000,-80.1532300,559.0
37.37727000,-80.1531900,560.0
37.37727000,-80.1531500,561.0
37.37727000,-80.1531100,562.0
37.37727000,-80.1530600,563.0
37.37727000,-80.1530300,563.0
37.37727000,-80.1529900,564.0
37.37727000,-80.1529500,565.0
37.37726000,-80.1529200,565.0
37.37725000,-80.1528800,566.0
37.37724000,-80.1528400,566.0
37.37723000,-80.1528000,566.0
37.37726000,-80.1527900,567.0
37.37728000,-80.1528200,567.0
37.37731000,-80.1528400,567.0
37.37734000,-80.1528400,568.0
37.37738000,-80.1528500,568.0
37.37741000,-80.1528600,569.0
37.37744000,-80.1528600,569.0
37.37747000,-80.1528600,570.0
37.37751000,-80.1528600,570.0
37.37754000,-80.1528600,571.0
37.37757000,-80.1528500,572.0
37.37760000,-80.1528400,573.0
37.37763000,-80.1528300,574.0
37.37765000,-80.1528200,575.0
37.37768000,-80.1528000,576.0
37.37770000,-80.1527800,577.0
37.37773000,-80.1527500,578.0
37.37776000,-80.1527500,579.0
37.37778000,-80.1527400,579.0
37.37782000,-80.1527100,580.0
37.37784000,-80.1526900,581.0
37.37787000,-80.1526700,581.0
37.37789000,-80.1526400,582.0
37.37792000,-80.1526100,583.0
37.37794000,-80.1526000,584.0
37.37796000,-80.1525600,585.0
37.37799000,-80.1525400,586.0
37.37801000,-80.1525200,586.0
37.37803000,-80.1524900,587.0
37.37805000,-80.1524600,588.0
37.37807000,-80.1524400,589.0
37.37810000,-80.1524400,589.0
37.37812000,-80.1524100,590.0
37.37814000,-80.1523800,591.0
37.37817000,-80.1523600,592.0
37.37820000,-80.1523400,593.0
37.37823000,-80.1523300,594.0
37.37826000,-80.1523200,594.0
37.37828000,-80.1523000,595.0
37.37832000,-80.1523000,596.0
37.37835000,-80.1523200,596.0
37.37837000,-80.1523400,596.0
37.37841000,-80.1523500,596.0
37.37844000,-80.1523600,596.0
37.37847000,-80.1523500,597.0
37.37850000,-80.1523700,597.0
37.37853000,-80.1523800,598.0
37.37857000,-80.1523800,598.0
37.37860000,-80.1523800,599.0
37.37858000,-80.1523400,599.0
37.37856000,-80.1523100,600.0
37.37854000,-80.1522800,600.0
37.37852000,-80.1522400,601.0
37.37851000,-80.1522100,601.0
37.37849000,-80.1521800,601.0
37.37848000,-80.1521400,603.0
37.37846000,-80.1521000,603.0
37.37845000,-80.1520600,604.0
37.37843000,-80.1520400,605.0
37.37841000,-80.1520100,605.0
37.37839000,-80.1519800,606.0
37.37837000,-80.1519400,607.0
37.37837000,-80.1519000,608.0
37.37835000,-80.1518700,609.0
37.37833000,-80.1518400,610.0
37.37830000,-80.1518200,611.0
37.37828000,-80.1517900,611.0
37.37826000,-80.1517600,612.0
37.37825000,-80.1517300,613.0
37.37823000,-80.1517000,614.0
37.37820000,-80.1516800,614.0
37.37817000,-80.1516700,614.0
37.37815000,-80.1516300,615.0
37.37814000,-80.1516000,615.0
37.37812000,-80.1515600,616.0
37.37809000,-80.1515400,616.0
37.37806000,-80.1515200,616.0
37.37803000,-80.1515000,615.0
37.37802000,-80.1514700,616.0
37.37801000,-80.1514300,616.0
37.37802000,-80.1514000,617.0
37.37802000,-80.1513600,618.0
37.37800000,-80.1513300,618.0
37.37798000,-80.1513000,618.0
37.37797000,-80.1512600,619.0
37.37796000,-80.1512300,619.0
37.37793000,-80.1512100,618.0
37.37791000,-80.1511700,619.0
37.37790000,-80.1511400,619.0
37.37790000,-80.1511000,620.0
37.37790000,-80.1510600,620.0
37.37788000,-80.1510300,620.0
37.37787000,-80.1510000,621.0
37.37785000,-80.1509600,621.0
37.37785000,-80.1509300,621.0
37.37786000,-80.1508800,623.0
37.37789000,-80.1508800,623.0
37.37791000,-80.1508900,624.0
37.37794000,-80.1509000,624.0
37.37796000,-80.1509300,624.0
37.37798000,-80.1509500,624.0
37.37801000,-80.1509700,624.0
37.37804000,-80.1509800,625.0
37.37807000,-80.1509900,625.0
37.37811000,-80.1509900,626.0
37.37813000,-80.1509900,627.0
37.37816000,-80.1509900,627.0
37.37819000,-80.1510000,627.0
37.37822000,-80.1510000,628.0
37.37825000,-80.1509800,629.0
37.37827000,-80.1510100,629.0
37.37830000,-80.1510300,629.0
37.37834000,-80.1510300,630.0
37.37837000,-80.1510300,630.0
37.37840000,-80.1510400,631.0
37.37844000,-80.1510300,632.0
37.37847000,-80.1510200,633.0
37.37852000,-80.1510300,633.0
37.37854000,-80.1510500,633.0
37.37857000,-80.1510600,634.0
37.37860000,-80.1510600,634.0
37.37863000,-80.1510700,635.0
37.37867000,-80.1510800,635.0
37.37870000,-80.1510700,635.0
37.37873000,-80.1510600,635.0
37.37876000,-80.1510600,635.0
37.37879000,-80.1510600,636.0
37.37881000,-80.1510800,635.0
37.37884000,-80.1510700,636.0
37.37887000,-80.1510600,636.0
37.37889000,-80.1510500,637.0
37.37891000,-80.1510300,637.0
37.37893000,-80.1510000,638.0
37.37893000,-80.1509600,639.0
37.37890000,-80.1509300,640.0
37.37888000,-80.1509100,641.0
37.37886000,-80.1508800,642.0
37.37883000,-80.1508700,642.0
37.37882000,-80.1508400,642.0
37.37881000,-80.1508000,643.0
37.37880000,-80.1507700,644.0
37.37878000,-80.1507500,644.0
37.37876000,-80.1507100,645.0
37.37874000,-80.1506800,645.0
37.37873000,-80.1506500,646.0
37.37872000,-80.1506100,647.0
37.37871000,-80.1505700,648.0
37.37870000,-80.1505400,648.0
37.37869000,-80.1505000,649.0
37.37868000,-80.1504600,650.0
37.37866000,-80.1504300,650.0
37.37865000,-80.1503900,651.0
37.37864000,-80.1503400,652.0
37.37864000,-80.1503100,652.0
37.37865000,-80.1502700,654.0
37.37864000,-80.1502400,654.0
37.37864000,-80.1501900,654.0
37.37865000,-80.1501600,655.0
37.37866000,-80.1501300,655.0
37.37867000,-80.1500900,656.0
37.37868000,-80.1500600,657.0
37.37870000,-80.1500800,657.0
37.37874000,-80.1501000,658.0
37.37876000,-80.1501200,658.0
37.37878000,-80.1501500,658.0
37.37881000,-80.1501500,659.0
37.37884000,-80.1501800,660.0
37.37886000,-80.1501900,660.0
37.37889000,-80.1502000,661.0
37.37893000,-80.1502100,661.0
37.37895000,-80.1502400,661.0
37.37898000,-80.1502500,662.0
37.37901000,-80.1502400,662.0
37.37904000,-80.1502400,663.0
37.37908000,-80.1502400,664.0
37.37911000,-80.1502500,664.0
37.37914000,-80.1502500,665.0
37.37917000,-80.1502500,665.0
37.37920000,-80.1502500,666.0
37.37923000,-80.1502500,666.0
37.37926000,-80.1502500,667.0
37.37929000,-80.1502500,667.0
37.37932000,-80.1502400,668.0
37.37935000,-80.1502300,669.0
37.37937000,-80.1502100,670.0
37.37940000,-80.1502100,670.0
37.37943000,-80.1502200,670.0
37.37947000,-80.1502300,671.0
37.37950000,-80.1502300,672.0
37.37953000,-80.1502300,672.0
37.37956000,-80.1502200,673.0
37.37959000,-80.1502200,674.0
37.37960000,-80.1502500,673.0
37.37962000,-80.1502800,672.0
37.37960000,-80.1503100,671.0
37.37961000,-80.1502700,672.0
37.37965000,-80.1502600,674.0
37.37969000,-80.1502500,675.0
37.37973000,-80.1502500,676.0
37.37977000,-80.1502500,676.0
37.37980000,-80.1502600,677.0
37.37983000,-80.1502800,676.0
37.37985000,-80.1502900,676.0
37.37987000,-80.1503200,676.0
37.37991000,-80.1503100,677.0
37.37994000,-80.1503200,677.0
37.37996000,-80.1503400,677.0
37.37999000,-80.1503500,677.0
37.38002000,-80.1503500,677.0
37.38004000,-80.1503700,678.0
37.38011000,-80.1503500,681.0
