Latitude,Longitude,Elevation
38.53906000,-78.3480800,347.0
38.53897000,-78.3481400,349.0
38.53898000,-78.3481700,350.0
38.53900000,-78.3482000,350.0
38.53903000,-78.3482200,350.0
38.53904000,-78.3482600,351.0
38.53907000,-78.3483000,351.0
38.53909000,-78.3483300,351.0
38.53912000,-78.3483700,352.0
38.53914000,-78.3483900,352.0
38.53916000,-78.3484200,352.0
38.53917000,-78.3484600,352.0
38.53919000,-78.3485000,353.0
38.53921000,-78.3485300,353.0
38.53924000,-78.3485500,352.0
38.53926000,-78.3485800,352.0
38.53928000,-78.3486000,352.0
38.53930000,-78.3486300,352.0
38.53931000,-78.3486700,352.0
38.53933000,-78.3487100,352.0
38.53934000,-78.3487400,352.0
38.53936000,-78.3487800,352.0
38.53937000,-78.3488400,352.0
38.53937000,-78.3489000,352.0
38.53935000,-78.3489500,353.0
38.53934000,-78.3490000,353.0
38.53934000,-78.3490500,353.0
38.53934000,-78.3491100,353.0
38.53935000,-78.3491500,353.0
38.53935000,-78.3492000,353.0
38.53935000,-78.3492600,354.0
38.53936000,-78.3493100,354.0
38.53938000,-78.3493600,354.0
38.53942000,-78.3493600,352.0
38.53946000,-78.3493400,352.0
38.53950000,-78.3493200,351.0
38.53953000,-78.3493500,351.0
38.53956000,-78.3493400,351.0
38.53959000,-78.3493500,351.0
38.53962000,-78.3493400,351.0
38.53965000,-78.3493400,350.0
38.53968000,-78.3493600,350.0
38.53968000,-78.3494000,351.0
38.53970000,-78.3494400,351.0
38.53972000,-78.3494600,351.0
38.53974000,-78.3494900,351.0
38.53976000,-78.3495200,351.0
38.53979000,-78.3495600,352.0
38.53981000,-78.3496000,353.0
38.53982000,-78.3496300,353.0
38.53984000,-78.3496700,353.0
38.53986000,-78.3497100,354.0
38.53988000,-78.3497400,354.0
38.53990000,-78.3497600,354.0
38.53993000,-78.3497900,355.0
38.53995000,-78.3498100,355.0
38.53997000,-78.3498400,355.0
38.53998000,-78.3498800,356.0
38.53998000,-78.3499200,356.0
38.53997000,-78.3499600,356.0
38.53996000,-78.3499900,356.0
38.53995000,-78.3500300,357.0
38.53995000,-78.3500800,357.0
38.53994000,-78.3501100,357.0
38.53994000,-78.3501600,358.0
38.53995000,-78.3501900,358.0
38.53999000,-78.3502200,358.0
38.54001000,-78.3502300,358.0
38.54005000,-78.3502500,358.0
38.54008000,-78.3502800,358.0
38.54011000,-78.3503000,358.0
38.54014000,-78.3503200,358.0
38.54016000,-78.3503300,358.0
38.54020000,-78.3503400,358.0
38.54022000,-78.3503500,358.0
38.54025000,-78.3503700,358.0
38.54027000,-78.3504100,358.0
38.54028000,-78.3504500,359.0
38.54029000,-78.3504900,359.0
38.54030000,-78.3505300,359.0
38.54032000,-78.3505800,359.0
38.54034000,-78.3506200,360.0
38.54036000,-78.3506500,360.0
38.54039000,-78.3506700,360.0
38.54041000,-78.3507000,360.0
38.54043000,-78.3507300,360.0
38.54045000,-78.3507700,360.0
38.54047000,-78.3508100,361.0
38.54049000,-78.3508400,361.0
38.54051000,-78.3508800,361.0
38.54053000,-78.3509000,361.0
38.54056000,-78.3509400,360.0
38.54058000,-78.3509700,360.0
38.54059000,-78.3510100,360.0
38.54061000,-78.3510400,360.0
38.54062000,-78.3510800,360.0
38.54063000,-78.3511100,360.0
38.54065000,-78.3511500,360.0
38.54068000,-78.3511800,359.0
38.54071000,-78.3512000,359.0
38.54073000,-78.3512200,359.0
38.54075000,-78.3512600,358.0
38.54077000,-78.3513000,358.0
38.54079000,-78.3513400,357.0
38.54081000,-78.3513700,357.0
38.54083000,-78.3514100,357.0
38.54084000,-78.3514500,356.0
38.54085000,-78.3514900,356.0
38.54087000,-78.3515200,356.0
38.54090000,-78.3515400,356.0
38.54093000,-78.3515600,356.0
38.54095000,-78.3515800,356.0
38.54097000,-78.3516200,356.0
38.54098000,-78.3516500,356.0
38.54100000,-78.3516900,356.0
38.54101000,-78.3517200,356.0
38.54104000,-78.3517500,357.0
38.54106000,-78.3517700,357.0
38.54108000,-78.3518000,357.0
38.54111000,-78.3518200,357.0
38.54113000,-78.3518400,357.0
38.54116000,-78.3518600,357.0
38.54118000,-78.3518800,357.0
38.54122000,-78.3518900,358.0
38.54125000,-78.3519100,358.0
38.54128000,-78.3519300,358.0
38.54132000,-78.3519500,358.0
38.54137000,-78.3519500,358.0
38.54140000,-78.3519300,359.0
38.54142000,-78.3518900,359.0
38.54143000,-78.3518600,359.0
38.54147000,-78.3518300,359.0
38.54150000,-78.3518100,359.0
38.54152000,-78.3517900,359.0
38.54154000,-78.3517700,359.0
38.54157000,-78.3517600,359.0
38.54160000,-78.3517500,360.0
38.54163000,-78.3517400,360.0
38.54167000,-78.3517300,360.0
38.54171000,-78.3517200,360.0
38.54173000,-78.3517000,360.0
38.54176000,-78.3516700,360.0
38.54178000,-78.3516400,360.0
38.54181000,-78.3516100,360.0
38.54182000,-78.3515800,360.0
38.54184000,-78.3515400,361.0
38.54185000,-78.3515100,361.0
38.54186000,-78.3514700,361.0
38.54188000,-78.3514300,361.0
38.54189000,-78.3513900,361.0
38.54188000,-78.3513500,361.0
38.54188000,-78.3513100,361.0
38.54188000,-78.3512600,361.0
38.54189000,-78.3512200,361.0
38.54189000,-78.3511700,361.0
38.54189000,-78.3511300,361.0
38.54191000,-78.3510900,362.0
38.54193000,-78.3510600,363.0
38.54194000,-78.3510200,363.0
38.54196000,-78.3509900,364.0
38.54199000,-78.3509600,364.0
38.54201000,-78.3509500,365.0
38.54205000,-78.3509400,365.0
38.54208000,-78.3509500,365.0
38.54211000,-78.3509600,365.0
38.54214000,-78.3509600,366.0
38.54217000,-78.3509500,366.0
38.54221000,-78.3509600,366.0
38.54224000,-78.3509700,366.0
38.54227000,-78.3509800,366.0
38.54231000,-78.3509800,365.0
38.54234000,-78.3509700,365.0
38.54238000,-78.3509700,365.0
38.54241000,-78.3509600,365.0
38.54244000,-78.3509400,366.0
38.54247000,-78.3509100,366.0
38.54249000,-78.3509000,366.0
38.54253000,-78.3508700,367.0
38.54256000,-78.3508400,368.0
38.54260000,-78.3508000,370.0
38.54264000,-78.3507800,371.0
38.54268000,-78.3507600,372.0
38.54272000,-78.3507500,373.0
38.54276000,-78.3507500,374.0
38.54280000,-78.3507500,374.0
38.54285000,-78.3507300,377.0
38.54289000,-78.3507300,377.0
38.54292000,-78.3507500,377.0
38.54296000,-78.3507700,378.0
38.54300000,-78.3507800,379.0
38.54304000,-78.3507900,379.0
38.54309000,-78.3508100,379.0
38.54313000,-78.3508100,380.0
38.54317000,-78.3508200,380.0
38.54320000,-78.3508400,379.0
38.54325000,-78.3508500,379.0
38.54329000,-78.3508600,380.0
38.54333000,-78.3508700,380.0
38.54337000,-78.3508900,380.0
38.54340000,-78.3509200,379.0
38.54343000,-78.3509600,379.0
38.54347000,-78.3509900,378.0
