Latitude,Longitude,Elevation
38.58589000,-78.3827700,1072.0
38.58577000,-78.3823600,1069.0
38.58574000,-78.3822100,1067.0
38.58571000,-78.3820200,1066.0
38.58570000,-78.3817400,1065.0
38.58570000,-78.3814800,1063.0
38.58564000,-78.3815100,1062.0
38.58555000,-78.3815400,1062.0
38.58550000,-78.3815900,1061.0
38.58543000,-78.3816400,1061.0
38.58531000,-78.3817500,1060.0
38.58525000,-78.3818400,1059.0
38.58516000,-78.3818800,1058.0
38.58504000,-78.3818100,1056.0
38.58500000,-78.3817400,1056.0
38.58490000,-78.3815900,1056.0
38.58475000,-78.3814200,1054.0
38.58471000,-78.3813800,1053.0
38.58466000,-78.3813300,1052.0
38.58462000,-78.3812900,1051.0
38.58460000,-78.3812200,1050.0
38.58453000,-78.3811500,1048.0
38.58411000,-78.3809400,1042.0
38.58405000,-78.3808700,1041.0
38.58400000,-78.3808400,1040.0
38.58387000,-78.3808000,1038.0
38.58379000,-78.3807600,1037.0
38.58360000,-78.3807400,1034.0
38.58355000,-78.3807400,1033.0
38.58345000,-78.3807300,1033.0
38.58318000,-78.3807200,1032.0
38.58304000,-78.3807100,1031.0
38.58288000,-78.3807100,1030.0
38.58270000,-78.3807000,1029.0
38.58255000,-78.3807000,1028.0
38.58240000,-78.3806600,1026.0
38.58205000,-78.3806400,1023.0
38.58187000,-78.3805800,1022.0
38.58175000,-78.3805000,1021.0
38.58170000,-78.3804500,1020.0
38.58156000,-78.3803400,1019.0
38.58136000,-78.3802700,1017.0
38.58111000,-78.3800900,1016.0
38.58090000,-78.3800100,1015.0
38.58073000,-78.3799200,1014.0
38.58069000,-78.3798600,1013.0
38.58056000,-78.3797900,1013.0
38.58050000,-78.3797300,1013.0
38.58042000,-78.3796400,1013.0
38.58026000,-78.3795800,1013.0
38.57997000,-78.3794000,1012.0
38.57993000,-78.3793600,1012.0
38.57989000,-78.3793000,1012.0
38.57977000,-78.3792000,1012.0
38.57974000,-78.3791600,1012.0
38.57959000,-78.3790500,1013.0
38.57955000,-78.3790000,1013.0
38.57945000,-78.3788700,1012.0
38.57939000,-78.3788000,1012.0
38.57934000,-78.3787500,1012.0
38.57928000,-78.3787000,1011.0
38.57918000,-78.3784700,1010.0
38.57906000,-78.3783300,1008.0
38.57902000,-78.3782700,1008.0
38.57899000,-78.3782000,1007.0
38.57892000,-78.3780300,1006.0
38.57882000,-78.3779200,1005.0
38.57878000,-78.3778800,1005.0
38.57874000,-78.3778400,1005.0
38.57850000,-78.3777500,1004.0
38.57842000,-78.3777100,1004.0
38.57825000,-78.3776700,1003.0
38.57799000,-78.3775300,1002.0
38.57780000,-78.3773600,1001.0
38.57774000,-78.3771600,1001.0
38.57772000,-78.3770100,1001.0
38.57771000,-78.3769200,1001.0
38.57768000,-78.3767300,1001.0
38.57766000,-78.3765900,1001.0
38.57765000,-78.3765200,1001.0
38.57758000,-78.3764300,1002.0
38.57737000,-78.3763400,1002.0
38.57727000,-78.3761600,1001.0
38.57719000,-78.3759500,1000.0
38.57714000,-78.3758900,999.0
38.57703000,-78.3757800,998.0
38.57690000,-78.3756000,997.0
38.57684000,-78.3754600,997.0
38.57677000,-78.3753800,996.0
38.57671000,-78.3753000,995.0
38.57644000,-78.3751700,992.0
38.57637000,-78.3750400,991.0
38.57614000,-78.3749500,989.0
38.57608000,-78.3748300,988.0
38.57597000,-78.3746600,985.0
38.57592000,-78.3745400,983.0
38.57589000,-78.3743300,980.0
38.57592000,-78.3740600,979.0
38.57590000,-78.3739600,978.0
38.57590000,-78.3738100,977.0
38.57589000,-78.3737200,976.0
38.57588000,-78.3735100,974.0
38.57585000,-78.3733800,973.0
38.57584000,-78.3732400,971.0
38.57586000,-78.3730800,969.0
38.57590000,-78.3729600,968.0
38.57593000,-78.3728300,966.0
38.57609000,-78.3726200,962.0
38.57614000,-78.3725600,961.0
38.57619000,-78.3725100,961.0
38.57625000,-78.3723900,961.0
38.57628000,-78.3723100,961.0
38.57630000,-78.3722300,961.0
38.57631000,-78.3721700,961.0
38.57631000,-78.3720100,960.0
38.57627000,-78.3718200,960.0
38.57619000,-78.3715100,957.0
38.57609000,-78.3714900,957.0
38.57602000,-78.3714200,957.0
38.57598000,-78.3713400,956.0
38.57594000,-78.3712300,954.0
38.57591000,-78.3711300,953.0
38.57588000,-78.3709900,950.0
38.57586000,-78.3708700,948.0
38.57581000,-78.3707400,947.0
38.57576000,-78.3707100,946.0
38.57571000,-78.3707300,946.0
38.57558000,-78.3707000,945.0
38.57545000,-78.3706600,944.0
38.57530000,-78.3706300,943.0
38.57512000,-78.3705800,943.0
38.57495000,-78.3705000,943.0
38.57459000,-78.3704300,943.0
38.57452000,-78.3704300,943.0
38.57435000,-78.3704000,942.0
38.57426000,-78.3703600,941.0
38.57422000,-78.3703300,940.0
38.57409000,-78.3702800,938.0
38.57400000,-78.3702100,936.0
38.57389000,-78.3701900,935.0
38.57366000,-78.3701000,933.0
38.57352000,-78.3699000,930.0
38.57340000,-78.3697900,929.0
38.57327000,-78.3697200,928.0
38.57318000,-78.3696500,926.0
38.57299000,-78.3696100,924.0
38.57295000,-78.3695800,923.0
38.57274000,-78.3694800,918.0
38.57266000,-78.3693800,916.0
38.57256000,-78.3693400,916.0
38.57246000,-78.3693300,915.0
38.57231000,-78.3692900,914.0
38.57225000,-78.3692700,913.0
38.57213000,-78.3692400,911.0
38.57194000,-78.3692200,909.0
38.57182000,-78.3691800,907.0
38.57175000,-78.3691800,907.0
38.57152000,-78.3690200,905.0
38.57121000,-78.3689100,903.0
38.57107000,-78.3688600,902.0
38.57099000,-78.3687900,901.0
38.57078000,-78.3687100,900.0
38.57064000,-78.3685700,896.0
38.57053000,-78.3684900,893.0
38.57045000,-78.3684100,890.0
38.57029000,-78.3683100,888.0
38.57022000,-78.3682000,888.0
38.57013000,-78.3681400,888.0
38.56987000,-78.3680300,886.0
38.56974000,-78.3679900,884.0
38.56954000,-78.3679600,884.0
38.56935000,-78.3679400,883.0
38.56929000,-78.3679200,883.0
38.56924000,-78.3678000,881.0
38.56913000,-78.3676900,878.0
38.56909000,-78.3676300,877.0
38.56903000,-78.3675200,874.0
38.56886000,-78.3673400,870.0
38.56881000,-78.3673000,870.0
38.56870000,-78.3672900,870.0
38.56865000,-78.3672800,870.0
38.56857000,-78.3672500,870.0
38.56845000,-78.3671000,870.0
38.56841000,-78.3670400,869.0
38.56834000,-78.3670000,869.0
38.56828000,-78.3669000,868.0
38.56823000,-78.3667300,865.0
38.56818000,-78.3666500,863.0
38.56814000,-78.3665200,860.0
38.56807000,-78.3664600,858.0
38.56790000,-78.3664400,857.0
38.56783000,-78.3664600,857.0
38.56758000,-78.3664900,856.0
38.56729000,-78.3664100,853.0
38.56714000,-78.3663800,851.0
38.56712000,-78.3662900,850.0
38.56710000,-78.3660600,847.0
38.56696000,-78.3660800,846.0
38.56683000,-78.3659800,844.0
38.56676000,-78.3659300,843.0
38.56669000,-78.3658000,841.0
38.56660000,-78.3657100,840.0
38.56630000,-78.3656800,836.0
38.56617000,-78.3655800,834.0
38.56598000,-78.3656100,834.0
38.56594000,-78.3655300,833.0
38.56579000,-78.3654100,832.0
38.56562000,-78.3652900,829.0
38.56549000,-78.3652400,827.0
38.56538000,-78.3651700,824.0
38.56532000,-78.3650800,822.0
38.56531000,-78.3649600,820.0
38.56525000,-78.3648100,819.0
38.56514000,-78.3647300,817.0
38.56499000,-78.3646800,814.0
38.56487000,-78.3646600,812.0
38.56480000,-78.3647000,812.0
38.56476000,-78.3647200,812.0
38.56471000,-78.3646900,811.0
38.56466000,-78.3646400,810.0
38.56465000,-78.3645300,809.0
38.56463000,-78.3644600,808.0
38.56463000,-78.3643500,808.0
38.56463000,-78.3642600,808.0
38.56445000,-78.3640900,804.0
38.56440000,-78.3640700,803.0
38.56432000,-78.3640500,802.0
38.56422000,-78.3640200,799.0
38.56412000,-78.3639600,796.0
38.56414000,-78.3638200,796.0
38.56408000,-78.3636500,795.0
38.56407000,-78.3635300,795.0
38.56404000,-78.3633800,796.0
38.56397000,-78.3633100,794.0
38.56382000,-78.3632400,791.0
38.56357000,-78.3632100,786.0
38.56339000,-78.3632100,781.0
38.56336000,-78.3631000,781.0
38.56315000,-78.3630400,774.0
38.56310000,-78.3629000,772.0
38.56292000,-78.3627700,765.0
38.56284000,-78.3628300,761.0
38.56282000,-78.3630000,761.0
38.56275000,-78.3629400,758.0
38.56274000,-78.3628100,757.0
38.56267000,-78.3627600,755.0
38.56261000,-78.3623900,753.0
38.56253000,-78.3623500,750.0
38.56247000,-78.3620800,748.0
38.56241000,-78.3621900,745.0
38.56227000,-78.3619600,737.0
38.56220000,-78.3619300,733.0
38.56194000,-78.3616600,719.0
38.56191000,-78.3615100,717.0
38.56175000,-78.3613900,709.0
38.56152000,-78.3608200,696.0
38.56143000,-78.3604000,686.0
38.56141000,-78.3599700,681.0
38.56138000,-78.3598400,678.0
