Latitude,Longitude,Elevation
37.89602000,-79.0451300,782.0
37.89597000,-79.0451700,782.0
37.89591000,-79.0450400,782.0
37.89599000,-79.0449800,782.0
37.89607000,-79.0449700,782.0
37.89612000,-79.0450200,782.0
37.89621000,-79.0449400,782.0
37.89635000,-79.0443500,781.0
37.89656000,-79.0435000,772.0
37.89681000,-79.0428300,764.0
37.89720000,-79.0420800,755.0
37.89730000,-79.0413300,748.0
37.89761000,-79.0405500,743.0
37.89793000,-79.0398900,738.0
37.89824000,-79.0392200,734.0
37.89849000,-79.0382800,730.0
37.89866000,-79.0380400,729.0
37.89853000,-79.0386300,734.0
37.89840000,-79.0392100,738.0
37.89827000,-79.0398000,744.0
37.89814000,-79.0403900,753.0
37.89801000,-79.0409800,761.0
37.89788000,-79.0415600,765.0
37.89775000,-79.0421500,770.0
37.89757000,-79.0427500,776.0
37.89740000,-79.0433500,782.0
37.89722000,-79.0439500,790.0
37.89753000,-79.0448500,808.0
37.89805000,-79.0456700,819.0
37.89849000,-79.0460300,819.0
37.89859000,-79.0461500,819.0
37.89867000,-79.0463500,820.0
37.89896000,-79.0466500,822.0
37.89913000,-79.0468000,825.0
37.89928000,-79.0469500,829.0
37.89960000,-79.0469700,832.0
37.89989000,-79.0468500,833.0
37.90039000,-79.0467400,836.0
37.90079000,-79.0466500,835.0
37.90113000,-79.0467800,835.0
37.90152000,-79.0471900,834.0
37.90178000,-79.0478300,833.0
37.90189000,-79.0482300,834.0
37.90223000,-79.0484100,836.0
37.90233000,-79.0482600,834.0
37.90257000,-79.0478800,831.0
37.90267000,-79.0476900,830.0
37.90291000,-79.0472500,828.0
37.90314000,-79.0467800,832.0
37.90321000,-79.0464100,832.0
37.90326000,-79.0460300,835.0
37.90326000,-79.0454000,832.0
37.90348000,-79.0450100,837.0
37.90355000,-79.0446900,834.0
37.90369000,-79.0442700,838.0
37.90396000,-79.0434100,845.0
37.90418000,-79.0429400,845.0
37.90433000,-79.0427200,843.0
37.90457000,-79.0427000,846.0
37.90491000,-79.0429400,854.0
37.90509000,-79.0431800,856.0
37.90498000,-79.0437100,861.0
37.90474000,-79.0442400,867.0
37.90465000,-79.0445900,870.0
37.90453000,-79.0452500,873.0
37.90453000,-79.0456400,875.0
