Latitude,Longitude,Elevation
38.99237000,-77.9680800,276.0
38.99224000,-77.9678200,270.0
38.99255000,-77.9683600,279.0
38.99258000,-77.9683800,280.0
38.99254000,-77.9685900,280.0
38.99255000,-77.9686700,281.0
38.99256000,-77.9687500,283.0
38.99258000,-77.9688300,284.0
38.99262000,-77.9688900,285.0
38.99281000,-77.9690800,289.0
38.99291000,-77.9691900,290.0
38.99298000,-77.9692500,291.0
38.99308000,-77.9693100,292.0
38.99318000,-77.9693500,294.0
38.99328000,-77.9693800,296.0
38.99341000,-77.9694000,299.0
38.99352000,-77.9694100,302.0
38.99360000,-77.9694000,304.0
38.99369000,-77.9694000,307.0
38.99380000,-77.9694100,309.0
38.99389000,-77.9694200,311.0
38.99398000,-77.9694400,313.0
38.99405000,-77.9694900,314.0
38.99411000,-77.9695500,315.0
38.99425000,-77.9696700,319.0
38.99443000,-77.9697900,323.0
38.99454000,-77.9698600,325.0
38.99466000,-77.9699200,328.0
38.99481000,-77.9699500,330.0
38.99495000,-77.9699700,332.0
38.99506000,-77.9700100,333.0
38.99518000,-77.9700400,335.0
38.99531000,-77.9701000,338.0
38.99547000,-77.9702000,342.0
38.99561000,-77.9703300,347.0
38.99570000,-77.9704400,349.0
38.99581000,-77.9705900,351.0
38.99591000,-77.9707500,354.0
38.99605000,-77.9709200,357.0
38.99629000,-77.9712700,363.0
38.99639000,-77.9714000,366.0
38.99647000,-77.9716100,368.0
38.99662000,-77.9719500,373.0
38.99678000,-77.9723000,378.0
38.99689000,-77.9725900,384.0
38.99693000,-77.9726900,386.0
38.99694000,-77.9727500,387.0
38.99689000,-77.9730400,389.0
38.99687000,-77.9732000,391.0
38.99683000,-77.9733400,392.0
38.99671000,-77.9735600,392.0
38.99655000,-77.9737500,390.0
38.99644000,-77.9738800,389.0
38.99632000,-77.9739300,386.0
38.99621000,-77.9739800,383.0
38.99603000,-77.9741500,378.0
38.99589000,-77.9742800,375.0
38.99575000,-77.9743700,371.0
38.99564000,-77.9744900,369.0
38.99561000,-77.9746100,370.0
38.99574000,-77.9751000,375.0
38.99579000,-77.9752600,376.0
38.99584000,-77.9754000,377.0
38.99593000,-77.9754600,379.0
38.99603000,-77.9755400,381.0
38.99615000,-77.9756200,384.0
38.99622000,-77.9756600,386.0
38.99632000,-77.9756700,389.0
38.99638000,-77.9756400,391.0
38.99645000,-77.9755600,393.0
38.99650000,-77.9755600,395.0
38.99657000,-77.9756400,397.0
38.99665000,-77.9756900,399.0
38.99674000,-77.9757300,401.0
38.99690000,-77.9758300,404.0
38.99705000,-77.9758900,407.0
38.99714000,-77.9759000,409.0
38.99719000,-77.9758800,410.0
38.99726000,-77.9757700,412.0
38.99734000,-77.9751800,415.0
38.99740000,-77.9750500,417.0
38.99749000,-77.9749700,419.0
38.99755000,-77.9750300,420.0
38.99762000,-77.9751100,422.0
38.99772000,-77.9752300,424.0
38.99785000,-77.9753400,427.0
38.99797000,-77.9754200,428.0
38.99804000,-77.9755200,429.0
38.99813000,-77.9757300,430.0
38.99825000,-77.9760500,431.0
38.99833000,-77.9762900,432.0
38.99847000,-77.9763800,434.0
38.99863000,-77.9764300,436.0
38.99881000,-77.9764400,439.0
38.99898000,-77.9764700,441.0
38.99912000,-77.9765000,442.0
38.99927000,-77.9765200,443.0
38.99952000,-77.9764800,447.0
38.99968000,-77.9764400,451.0
38.99982000,-77.9762800,453.0
39.00001000,-77.9760700,455.0
