Latitude,Longitude,Elevation
36.63333000,-81.5086700,1421.0
36.63380000,-81.5092500,1415.0
36.63469000,-81.5093600,1421.0
36.63469000,-81.5093400,1422.0
36.63494000,-81.5094900,1425.0
36.63511000,-81.5097300,1425.0
36.63522000,-81.5098900,1428.0
36.63537000,-81.5100900,1431.0
36.63542000,-81.5101300,1432.0
36.63559000,-81.5101400,1436.0
36.63579000,-81.5101200,1439.0
36.63594000,-81.5100700,1442.0
36.63604000,-81.5100200,1444.0
36.63611000,-81.5098500,1447.0
36.63620000,-81.5095900,1451.0
36.63627000,-81.5094000,1455.0
36.63633000,-81.5092300,1456.0
36.63637000,-81.5091000,1457.0
36.63642000,-81.5089500,1455.0
36.63648000,-81.5088800,1455.0
36.63711000,-81.5083200,1459.0
36.63753000,-81.5082000,1463.0
36.63805000,-81.5082600,1475.0
36.63857000,-81.5083300,1474.0
36.63887000,-81.5087700,1481.0
36.63917000,-81.5092000,1483.0
36.63883000,-81.5096700,1484.0
36.63850000,-81.5101500,1489.0
36.63816000,-81.5106200,1489.0
36.63820000,-81.5113000,1491.0
36.63825000,-81.5119700,1492.0
36.63829000,-81.5126400,1502.0
36.63833000,-81.5133200,1507.0
36.63856000,-81.5138000,1514.0
36.63880000,-81.5142900,1518.0
36.63903000,-81.5147700,1523.0
36.63926000,-81.5152500,1529.0
36.63971000,-81.5153500,1523.0
36.64015000,-81.5154400,1515.0
36.64060000,-81.5155400,1513.0
36.64105000,-81.5156400,1518.0
36.64150000,-81.5157400,1517.0
36.64194000,-81.5158300,1515.0
36.64239000,-81.5159300,1524.0
36.64244000,-81.5159500,1525.0
36.64265000,-81.5159800,1529.0
36.64280000,-81.5160500,1531.0
36.64293000,-81.5159900,1532.0
36.64309000,-81.5159900,1533.0
36.64323000,-81.5160700,1535.0
36.64334000,-81.5162100,1538.0
36.64351000,-81.5164000,1544.0
36.64367000,-81.5164800,1546.0
36.64383000,-81.5165100,1549.0
36.64408000,-81.5165300,1552.0
36.64442000,-81.5163900,1555.0
36.64457000,-81.5164000,1557.0
36.64475000,-81.5164500,1559.0
36.64544000,-81.5163800,1573.0
36.64551000,-81.5163000,1574.0
36.64563000,-81.5161100,1575.0
36.64572000,-81.5159200,1575.0
36.64581000,-81.5157700,1576.0
36.64607000,-81.5155500,1579.0
36.64638000,-81.5151900,1584.0
36.64656000,-81.5151300,1589.0
36.64668000,-81.5151700,1592.0
36.64701000,-81.5151100,1592.0
36.64714000,-81.5151800,1595.0
36.64731000,-81.5152700,1598.0
36.64766000,-81.5154200,1605.0
36.64782000,-81.5154900,1607.0
36.64803000,-81.5156500,1611.0
36.64837000,-81.5157400,1610.0
36.64865000,-81.5156300,1611.0
36.64877000,-81.5157400,1611.0
36.64894000,-81.5157800,1610.0
36.64905000,-81.5158200,1610.0
36.64924000,-81.5159100,1611.0
36.64938000,-81.5159100,1612.0
36.64954000,-81.5159100,1612.0
36.64971000,-81.5159200,1612.0
36.65005000,-81.5159500,1614.0
36.65019000,-81.5159800,1616.0
36.65032000,-81.5160800,1619.0
36.65045000,-81.5161900,1621.0
