Latitude,Longitude,Elevation
38.95892000,-77.2049000,67.0
38.95891000,-77.2048900,67.0
38.95961000,-77.2049100,69.0
38.95962000,-77.2049100,69.0
38.95991000,-77.2047800,70.0
38.95995000,-77.2047200,70.0
38.95995000,-77.2046100,72.0
38.95993000,-77.2043400,78.0
38.95984000,-77.2039500,84.0
38.95978000,-77.2037000,85.0
38.95962000,-77.2036100,87.0
38.95956000,-77.2035200,87.0
38.95941000,-77.2033100,87.0
38.95928000,-77.2030400,86.0
38.95920000,-77.2026900,87.0
38.95916000,-77.2024100,88.0
38.95920000,-77.2022800,88.0
38.95920000,-77.2022000,88.0
38.95918000,-77.2019600,88.0
38.95918000,-77.2017700,89.0
38.95908000,-77.2015900,90.0
38.95899000,-77.2014000,92.0
38.95885000,-77.2012100,94.0
38.95846000,-77.2010300,95.0
38.95823000,-77.2009500,94.0
38.95817000,-77.2007400,95.0
38.95790000,-77.2004300,97.0
38.95777000,-77.2004500,96.0
38.95756000,-77.2002500,96.0
38.95743000,-77.1999400,96.0
38.95738000,-77.1996900,97.0
38.95719000,-77.1994400,99.0
38.95711000,-77.1992500,100.0
38.95696000,-77.1991900,99.0
38.95687000,-77.1989500,99.0
38.95683000,-77.1986500,101.0
38.95652000,-77.1984000,100.0
38.95643000,-77.1983600,100.0
38.95658000,-77.1982800,102.0
38.95669000,-77.1982400,103.0
38.95680000,-77.1982400,105.0
38.95707000,-77.1982700,107.0
38.95724000,-77.1982500,107.0
38.95746000,-77.1982000,106.0
38.95781000,-77.1980500,105.0
38.95806000,-77.1979500,105.0
38.95832000,-77.1977900,108.0
38.95851000,-77.1976000,111.0
38.95876000,-77.1973000,114.0
38.95900000,-77.1971500,116.0
38.95921000,-77.1970500,117.0
38.95958000,-77.1970300,114.0
38.96040000,-77.1970000,109.0
38.96068000,-77.1969700,106.0
38.96080000,-77.1969500,106.0
38.96098000,-77.1969300,106.0
38.96124000,-77.1969000,105.0
38.96158000,-77.1968900,104.0
38.96177000,-77.1968600,103.0
38.96187000,-77.1968200,103.0
38.96200000,-77.1968100,103.0
38.96208000,-77.1967900,104.0
38.96217000,-77.1967500,104.0
38.96226000,-77.1966900,105.0
38.96237000,-77.1966100,105.0
38.96244000,-77.1965500,105.0
38.96254000,-77.1964900,105.0
38.96267000,-77.1964100,104.0
38.96280000,-77.1963500,103.0
38.96296000,-77.1962900,102.0
38.96304000,-77.1962500,101.0
38.96311000,-77.1962500,100.0
38.96316000,-77.1962300,99.0
38.96326000,-77.1961100,97.0
38.96335000,-77.1959700,97.0
38.96343000,-77.1958900,97.0
38.96362000,-77.1957500,95.0
38.96385000,-77.1956000,94.0
38.96404000,-77.1954400,93.0
38.96460000,-77.1953300,88.0
38.96475000,-77.1953200,88.0
38.96489000,-77.1952600,89.0
38.96509000,-77.1952300,90.0
38.96515000,-77.1952200,90.0
38.96527000,-77.1952200,90.0
38.96552000,-77.1952400,90.0
38.96588000,-77.1953000,89.0
38.96601000,-77.1953500,87.0
38.96614000,-77.1953900,84.0
38.96624000,-77.1954300,79.0
38.96628000,-77.1955300,76.0
38.96636000,-77.1956200,72.0
38.96646000,-77.1956800,68.0
38.96655000,-77.1956500,65.0
38.96665000,-77.1956700,61.0
38.96676000,-77.1957100,56.0
38.96686000,-77.1957400,53.0
38.96686000,-77.1958400,50.0
38.96676000,-77.1959600,51.0
38.96671000,-77.1960800,50.0
38.96666000,-77.1962800,48.0
38.96659000,-77.1963600,49.0
38.96653000,-77.1963900,51.0
38.96642000,-77.1964500,55.0
38.96637000,-77.1965100,56.0
38.96650000,-77.1966000,50.0
38.96665000,-77.1968500,42.0
38.96666000,-77.1972200,41.0
38.96663000,-77.1974400,42.0
38.96665000,-77.1976000,41.0
38.96671000,-77.1979300,38.0
38.96674000,-77.1980900,36.0
38.96678000,-77.1983600,36.0
38.96686000,-77.1986500,37.0
38.96691000,-77.1989400,38.0
38.96695000,-77.1992100,39.0
38.96696000,-77.1993700,41.0
38.96698000,-77.1995900,43.0
38.96707000,-77.2003500,37.0
38.96718000,-77.2008400,39.0
38.96725000,-77.2012500,37.0
38.96732000,-77.2014300,36.0
38.96752000,-77.2020600,32.0
38.96759000,-77.2023100,31.0
38.96765000,-77.2023600,30.0
38.96768000,-77.2028300,36.0
38.96743000,-77.2022400,37.0
38.96741000,-77.2021800,37.0
38.96655000,-77.2018200,66.0
38.96630000,-77.2017600,71.0
38.96598000,-77.2017100,75.0
38.96589000,-77.2017200,75.0
38.96585000,-77.2016800,76.0
38.96584000,-77.2016000,77.0
38.96584000,-77.2016600,77.0
38.96578000,-77.2018200,74.0
38.96575000,-77.2019700,72.0
38.96573000,-77.2021400,69.0
38.96570000,-77.2022600,68.0
38.96562000,-77.2024100,65.0
38.96554000,-77.2025900,61.0
38.96549000,-77.2027700,58.0
38.96543000,-77.2029400,55.0
38.96538000,-77.2030100,54.0
38.96536000,-77.2031700,53.0
38.96536000,-77.2035100,56.0
38.96536000,-77.2036400,57.0
38.96537000,-77.2037400,60.0
38.96534000,-77.2038500,61.0
38.96511000,-77.2040700,64.0
38.96478000,-77.2042500,62.0
38.96422000,-77.2043300,62.0
38.96379000,-77.2044000,60.0
38.96361000,-77.2044400,60.0
38.96314000,-77.2045300,61.0
38.96289000,-77.2046500,62.0
38.96228000,-77.2048500,60.0
38.96191000,-77.2049700,58.0
38.96135000,-77.2051100,60.0
38.96051000,-77.2053900,63.0
38.96035000,-77.2054500,61.0
38.96009000,-77.2053900,61.0
38.96001000,-77.2053100,62.0
38.95996000,-77.2052700,62.0
38.95991000,-77.2052500,62.0
38.95942000,-77.2050700,66.0
38.95892000,-77.2049000,67.0
